legacy_position,sample_id,group_label,time_h,dox,myc,cpt_level,replicate,background_context
1,1_4_ctrl_RP1,4_ctrl,4,None_Dox,None_MYC,None_CPT,1,baseline_background
2,2_4_Tam_RP1,4_Tam,4,None_Dox,MYC,None_CPT,1,MYC_background
3,3_4_ctrl_RP2,4_ctrl,4,None_Dox,None_MYC,None_CPT,2,baseline_background
4,4_4_Tam_RP2,4_Tam,4,None_Dox,MYC,None_CPT,2,MYC_background
5,5_4D_RP1,4D,4,Dox,None_MYC,None_CPT,1,baseline_background
6,6_4DT_RP1,4DT,4,Dox,MYC,None_CPT,1,MYC_background
7,7_4D_RP2,4D,4,Dox,None_MYC,None_CPT,2,baseline_background
8,8_4DT_RP2,4DT,4,Dox,MYC,None_CPT,2,MYC_background
9,9_4D_L_CPT_RP1,4D_L_CPT,4,Dox,None_MYC,LCPT,1,LCPT
10,10_4DT_L_CPT_RP1,4DT_L_CPT,4,Dox,MYC,LCPT,1,LCPT
11,11_4D_L_CPT_RP2,4D_L_CPT,4,Dox,None_MYC,LCPT,2,LCPT
12,12_4DT_L_CPT_RP2,4DT_L_CPT,4,Dox,MYC,LCPT,2,LCPT
13,13_4D_H_CPT_RP1,4D_H_CPT,4,Dox,None_MYC,HCPT,1,HCPT
14,14_4DT_H_CPT_RP1,4DT_H_CPT,4,Dox,MYC,HCPT,1,HCPT
15,15_4D_H_CPT_RP2,4D_H_CPT,4,Dox,None_MYC,HCPT,2,HCPT
16,16_4DT_H_CPT_RP2,4DT_H_CPT,4,Dox,MYC,HCPT,2,HCPT
17,17_24_ctrl_RP1,24_ctrl,24,None_Dox,None_MYC,None_CPT,1,baseline_background
18,18_24_Tam_RP1,24_Tam,24,None_Dox,MYC,None_CPT,1,MYC_background
19,19_24_ctrl_RP2,24_ctrl,24,None_Dox,None_MYC,None_CPT,2,baseline_background
20,20_24_Tam_RP2,24_Tam,24,None_Dox,MYC,None_CPT,2,MYC_background
21,21_24D_RP1,24D,24,Dox,None_MYC,None_CPT,1,baseline_background
22,22_24DT_RP1,24DT,24,Dox,MYC,None_CPT,1,MYC_background
23,23_24D_RP2,24D,24,Dox,None_MYC,None_CPT,2,baseline_background
24,24_24DT_RP2,24DT,24,Dox,MYC,None_CPT,2,MYC_background
25,25_24D_L_CPT_RP1,24D_L_CPT,24,Dox,None_MYC,LCPT,1,LCPT
26,26_24DT_L_CPT_RP1,24DT_L_CPT,24,Dox,MYC,LCPT,1,LCPT
27,27_24D_L_CPT_RP2,24D_L_CPT,24,Dox,None_MYC,LCPT,2,LCPT
28,28_24DT_L_CPT_RP2,24DT_L_CPT,24,Dox,MYC,LCPT,2,LCPT
29,29_24D_H_CPT_RP1,24D_H_CPT,24,Dox,None_MYC,HCPT,1,HCPT
30,30_24DT_H_CPT_RP1,24DT_H_CPT,24,Dox,MYC,HCPT,1,HCPT
31,31_24D_H_CPT_RP2,24D_H_CPT,24,Dox,None_MYC,HCPT,2,HCPT
32,32_24DT_H_CPT_RP2,24DT_H_CPT,24,Dox,MYC,HCPT,2,HCPT
