gene_id	1_4_ctrl_RP1	2_4_Tam_RP1	3_4_ctrl_RP2	4_4_Tam_RP2	5_4D_RP1	6_4DT_RP1	7_4D_RP2	8_4DT_RP2	9_4D_L_CPT_RP1	10_4DT_L_CPT_RP1	11_4D_L_CPT_RP2	12_4DT_L_CPT_RP2	13_4D_H_CPT_RP1	14_4DT_H_CPT_RP1	15_4D_H_CPT_RP2	16_4DT_H_CPT_RP2	17_24_ctrl_RP1	18_24_Tam_RP1	19_24_ctrl_RP2	20_24_Tam_RP2	21_24D_RP1	22_24DT_RP1	23_24D_RP2	24_24DT_RP2	25_24D_L_CPT_RP1	26_24DT_L_CPT_RP1	27_24D_L_CPT_RP2	28_24DT_L_CPT_RP2	29_24D_H_CPT_RP1	30_24DT_H_CPT_RP1	31_24D_H_CPT_RP2	32_24DT_H_CPT_RP2
ENSG00000000003_TSPAN6	11.51	10.06	11.26	9.86	12.62	11.54	9.93	11.98	9.85	9.95	9.77	9.87	10.18	8.87	9.33	9.31	11.6	9.99	10.25	9.64	8.97	8.21	9.74	6.42	16.75	12.47	17.53	11.3	8.84	4.39	8.65	4.71
ENSG00000000005_TNMD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000000419_DPM1	48.44	44.13	45.96	46.69	42.28	52.31	41.61	54.02	33.64	41.22	29.83	32.56	21.14	23.07	22.21	26.58	34.99	34.94	33.48	34.7	33.38	27.79	34.5	30.22	44.27	36.76	45.29	36.14	24.14	15.53	25.51	17.7
ENSG00000000457_SCYL3	4.26	4.22	4.92	4.5	4.68	3.51	3.96	3.38	3.06	2.2	2.78	2.17	0.89	1.24	0.75	0.72	5.35	5.83	6.06	5.63	6.2	6.67	5.21	7.45	5.16	6.88	3.53	6.21	6.44	8.66	8.51	8.88
ENSG00000000460_C1orf112	9.19	7.22	7.94	6.85	6.95	12.31	6.53	10.5	2.69	3.64	3.24	3.66	3.3	3.74	3.0	3.36	6.59	9.18	6.84	9.54	13.06	11.71	11.59	15.63	11.81	12.66	10.15	11.73	7.2	13.53	9.86	13.94
ENSG00000000938_FGR	0.1	0.04	0.06	0.11	0.02	0.06	0.04	0.04	0.04	0.0	0.09	0.03	0.11	0.0	0.04	0.05	0.0	0.0	0.0	0.13	0.03	0.0	0.02	0.0	0.02	0.0	0.05	0.14	0.08	0.04	0.1	0.21
ENSG00000000971_CFH	4.31	3.75	4.88	3.6	4.43	3.23	4.14	2.96	3.54	3.58	4.82	3.46	6.06	3.97	4.59	4.46	6.21	5.2	7.13	5.35	3.62	2.93	4.21	3.12	5.03	3.16	5.25	3.94	4.67	5.79	5.83	3.62
ENSG00000001036_FUCA2	67.68	70.79	65.43	65.38	58.61	73.74	64.95	72.06	56.47	59.07	58.25	55.71	56.1	57.34	59.76	60.72	49.55	60.17	54.17	58.57	60.09	55.66	62.35	54.41	85.24	67.03	85.46	64.43	42.42	38.32	44.75	40.01
ENSG00000001084_GCLC	75.55	69.29	67.32	68.38	72.04	63.47	61.19	60.71	20.08	24.17	22.47	23.3	16.03	14.85	14.12	13.88	43.17	46.19	42.71	40.44	57.92	55.36	56.33	58.79	43.06	47.03	38.12	42.24	37.9	47.57	45.58	55.39
ENSG00000001167_NFYA	14.98	16.27	13.25	14.13	12.86	16.57	12.93	15.94	18.62	18.82	18.21	16.47	3.52	5.18	2.92	3.53	13.46	12.18	13.19	12.29	12.81	14.1	12.07	13.97	17.19	16.5	17.54	16.34	21.17	19.67	20.65	19.68
ENSG00000001460_STPG1	5.87	3.75	4.65	3.71	4.75	3.65	4.82	4.82	3.62	3.09	4.37	3.38	1.21	1.34	1.15	1.27	4.53	3.91	4.35	5.32	4.3	6.47	6.0	6.78	10.2	7.9	9.43	9.69	11.28	7.27	8.88	8.45
ENSG00000001461_NIPAL3	28.58	28.65	26.93	28.23	28.34	24.72	26.64	26.51	16.77	14.09	17.25	15.54	22.4	20.85	19.15	20.65	32.2	31.57	31.98	31.13	30.53	38.09	33.62	41.92	34.36	37.54	30.16	33.89	35.49	47.93	39.99	41.53
ENSG00000001497_LAS1L	17.3	20.43	17.46	17.66	15.87	21.88	16.17	21.32	10.7	13.0	9.52	13.22	9.88	12.98	9.77	12.15	16.43	20.5	17.32	20.93	22.4	22.28	21.25	25.74	22.47	25.24	23.41	24.63	12.74	20.66	14.67	21.04
ENSG00000001561_ENPP4	1.6	1.61	1.48	1.47	1.42	1.01	1.29	0.99	0.8	0.72	0.67	0.55	1.08	1.3	1.2	1.25	2.17	1.65	2.62	1.76	1.53	0.82	1.56	1.0	0.96	0.64	0.92	0.62	0.86	0.63	0.76	0.68
ENSG00000001617_SEMA3F	34.57	31.42	32.29	31.27	41.15	26.15	36.58	26.27	26.31	19.36	25.62	17.89	27.81	22.64	29.75	27.27	31.02	25.95	29.53	25.61	25.96	37.51	25.57	41.5	36.92	43.38	32.7	43.27	44.0	60.21	53.15	58.86
ENSG00000001626_CFTR	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000001629_ANKIB1	36.23	28.65	23.93	24.63	20.43	23.8	21.26	27.0	15.81	14.52	12.91	17.28	16.19	14.4	18.97	19.91	32.17	28.87	25.68	27.87	33.49	39.87	32.89	44.75	26.73	49.02	26.27	41.53	38.83	77.66	46.98	61.73
ENSG00000001630_CYP51A1	157.5	138.43	150.25	137.05	156.27	177.08	131.34	171.87	112.58	118.96	104.59	105.4	98.2	85.88	101.52	91.53	95.13	111.91	98.92	109.8	68.24	64.37	72.57	63.76	85.2	73.7	82.86	72.59	47.18	45.97	47.06	44.38
ENSG00000001631_KRIT1	22.67	22.38	21.7	23.65	20.77	19.9	20.41	22.36	7.81	9.22	9.61	9.14	11.73	12.42	8.95	11.22	19.56	24.47	21.35	21.52	29.39	42.43	27.74	45.14	23.34	43.28	23.18	37.85	35.7	71.36	58.05	67.66
ENSG00000002016_RAD52	7.59	7.52	7.26	8.18	10.15	10.35	8.66	8.98	5.2	4.97	4.39	5.03	1.8	4.37	2.11	2.17	10.25	11.42	11.8	10.32	15.14	34.4	15.21	41.13	18.42	33.96	19.34	35.48	34.18	63.02	42.84	58.4
ENSG00000002330_BAD	47.49	43.46	45.12	43.72	57.85	49.28	53.95	41.57	51.0	34.25	49.64	35.97	51.61	40.04	60.73	44.16	49.19	43.0	50.82	38.97	40.85	37.93	43.57	38.14	40.47	36.73	39.73	37.83	30.48	33.48	38.0	32.02
ENSG00000002549_LAP3	47.64	43.27	43.32	42.24	48.24	45.92	41.22	43.16	37.96	42.43	36.01	39.0	31.02	32.81	30.57	36.11	38.35	37.87	39.15	41.57	40.27	35.36	39.65	33.1	43.0	38.85	44.04	32.21	37.07	24.0	32.86	30.33
ENSG00000002586_CD99	134.2	112.89	136.43	110.21	150.89	125.43	138.83	127.54	148.82	126.07	152.75	114.54	173.78	142.58	177.39	149.1	93.4	98.81	95.15	98.99	115.51	115.68	118.57	124.23	105.07	98.39	105.02	96.03	136.92	111.33	138.98	104.52
