,X10_4DT_L_CPT_RP1,X11_4D_L_CPT_RP2,X12_4DT_L_CPT_RP2,X13_4D_H_CPT_RP1,X14_4DT_H_CPT_RP1,X1_4_ctrl_RP1,X15_4D_H_CPT_RP2,X16_4DT_H_CPT_RP2,X17_24_ctrl_RP1,X18_24_Tam_RP1,X19_24_ctrl_RP2,X20_24_Tam_RP2,X21_24D_RP1,X22_24DT_RP1,X23_24D_RP2,X24_24DT_RP2,X2_4_Tam_RP1,X25_24D_L_CPT_RP1,X26_24DT_L_CPT_RP1,X27_24D_L_CPT_RP2,X28_24DT_L_CPT_RP2,X29_24D_H_CPT_RP1,X30_24DT_H_CPT_RP1,X31_24D_H_CPT_RP2,X32_24DT_H_CPT_RP2,X3_4_ctrl_RP2,X4_4_Tam_RP2,X5_4D_RP1,X6_4DT_RP1,X7_4D_RP2,X8_4DT_RP2,X9_4D_L_CPT_RP1,version,name,4_ctrl_mean,4_Tam_mean,4D_mean,4DT_mean,4D_L_CPT_mean,4DT_L_CPT_mean,4D_H_CPT_mean,4DT_H_CPT_mean,24_ctrl_mean,24_Tam_mean,24D_mean,24DT_mean,24D_L_CPT_mean,24DT_L_CPT_mean,24D_H_CPT_mean,24DT_H_CPT_mean
1,1010,822,812,762,776,946,778,956,801,689,788,769,616,452,746,383,795,1309,762,1547,672,521,177,451,192,891,920,807,979,812,982,890,ENSG00000000003,TSPAN6,856.5,793.25,758.9166667,679.4166667,1142,814,628,525.25,794.5,729,652.3333333,439.6666667,1428,717,486,184.5
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1064,641,695,416,546,1092,479,713,670,653,673,735,604,434,730,456,924,876,602,1042,572,386,183,368,239,984,1177,731,1227,921,1259,774,ENSG00000000419,DPM1,854.75,872.25,664.9166667,665.8333333,833.25,733.25,412.25,420.25,671.5,694,541,414.3333333,959,587,377,211
4,266,266,196,98,127,496,81,102,457,501,528,548,457,405,533,460,418,446,402,390,383,395,366,441,444,485,494,380,360,417,354,316,ENSG00000000457,SCYL3,491.5,490.25,336.875,322.0833333,354.5,311.75,253.75,259.75,492.5,524.5,426.8333333,410,418,392.5,418,405
5,171,129,150,115,184,426,131,199,278,380,308,404,481,385,515,437,337,438,363,486,334,220,289,258,318,374,419,269,612,333,544,115,ENSG00000000460,C1orf112,346.5,385,311.5,332.1666667,292,254.5,181,247.5,293,392,377,354.3333333,462,348.5,239,303.5
6,0,3,2,6,0,3,2,2,0,0,0,2,1,0,1,0,2,1,0,3,2,3,1,3,3,3,4,1,3,2,2,1,ENSG00000000938,FGR,1.5,2,1.75,1.25,2,1,3.5,1.5,0,1,1.5,1,2,1,3,2
7,299,286,244,361,332,333,379,405,439,286,451,329,218,155,285,126,209,312,157,369,187,216,133,215,154,339,296,237,236,284,215,273,ENSG00000000971,CFH,390.5,280,253.25,220.25,310,221.75,292.75,256,445,307.5,210.5833333,152,340.5,172,215.5,143.5
8,3602,2984,2820,2654,3269,3649,3115,3937,2299,2727,2591,2968,2582,2019,3177,1927,3554,4065,2518,4754,2427,1510,982,1376,1238,3402,4006,2449,4163,3486,4036,3120,ENSG00000001036,FUCA2,2985.25,3313.75,2842.083333,2744.833333,3730.75,2841.75,2163.75,2356.5,2445,2847.5,2381.25,1851.833333,4409.5,2472.5,1443,1110
9,1865,1387,1453,839,994,4731,847,1155,2356,2255,2493,2442,2921,2327,3324,2280,3999,2148,1785,2349,1654,1458,1236,1641,1539,4161,4817,3524,4136,3936,4156,1434,ENSG00000001084,GCLC,3435.25,3378.25,2099.5,2048.333333,1829.5,1689.25,1196.25,1231,2424.5,2348.5,2055.166667,1803.5,2248.5,1719.5,1549.5,1387.5
10,1573,1233,1133,240,395,1106,200,301,850,727,873,839,741,636,834,655,1076,1093,809,1281,771,1009,596,899,745,951,1191,771,1271,986,1261,1313,ENSG00000001167,NFYA,945,958.25,864.4166667,845.5,1230,1071.5,587,509.25,861.5,783,839.0833333,702,1187,790,954,670.5
11,193,183,147,66,86,249,75,92,175,169,179,247,181,179,257,204,186,451,297,542,306,328,160,294,210,219,202,185,205,248,240,185,ENSG00000001460,STPG1,205.5,201,221.4166667,193.25,340.25,235.75,190.75,137,177,208,284.0833333,226,496.5,301.5,311,185
12,1902,1794,1631,2204,2587,3250,2187,2911,2974,2703,3079,3027,2561,2273,3243,2406,2988,3065,2343,3289,2185,2219,1868,2238,1902,2933,3606,2499,2870,3004,3022,1909,ENSG00000001461,NIPAL3,3059,3081,2421.333333,2325,2514.25,2015.25,2212,2317,3026.5,2865,2466,2162.833333,3177,2264,2228.5,1885
13,838,546,717,503,756,966,517,850,778,939,840,1092,986,904,1142,965,1068,1177,1026,1423,968,556,652,595,773,903,1112,684,1289,908,1245,608,ENSG00000001497,LAS1L,871.75,1052.75,859.5,915.25,938.5,887.25,542.75,757.75,809,1015.5,930.5833333,881.3333333,1300,997,575.5,712.5
14,93,72,58,106,153,179,130,168,209,155,264,186,138,63,165,75,169,95,52,106,49,68,37,54,46,160,186,120,119,144,115,92,ENSG00000001561,ENPP4,203,174,96.58333333,85.66666667,91.25,63,89.5,101,236.5,170.5,79,53.66666667,100.5,50.5,61,41.5
15,1574,1746,1217,1792,1675,2446,2110,2339,1849,1545,1865,1658,1443,1545,1592,1737,2090,2152,2029,2254,1867,1967,1892,2078,2117,2230,2439,2117,1896,2594,1897,1894,ENSG00000001617,SEMA3F,2097.5,1933,1896.833333,1815.416667,2011.5,1671.75,1986.75,2005.75,1857,1601.5,1889.416667,1864.5,2203,1948,2022.5,2004.5
16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000001626,CFTR,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1411,1068,1098,1813,2124,2806,1906,2458,2231,2330,2475,2616,2305,2101,2724,2197,2526,1898,1937,2006,1778,1756,2053,1956,2098,2464,2902,2125,2703,2240,2844,1128,ENSG00000001629,ANKIB1,2494,2593.5,1988.625,2066.833333,1525,1556,1857.75,2183.25,2353,2473,2067.416667,2027.333333,1952,1857.5,1856,2075.5
18,9768,7191,7118,6158,6335,11213,7168,7835,5842,6533,6397,7522,3864,3086,4845,2979,9310,5304,3725,5945,3536,2206,1458,1992,1749,10429,10968,8529,13363,9337,12798,8021,ENSG00000001630,CYP51A1,8470.25,8583.25,6012.916667,6145.833333,6615.25,6036.75,4381,4344.25,6119.5,7027.5,3390.75,2755.5,5624.5,3630.5,2099,1603.5
19,454,345,379,471,598,1320,420,622,889,1010,950,1097,1157,1211,1180,1296,1076,1002,1241,1144,1148,1031,1427,1289,1470,1137,1336,847,1156,1050,1245,369,ENSG00000001631,KRIT1,1074,1129.75,939.6666667,1020.583333,715,805.5,802.75,1029.25,919.5,1053.5,1216.333333,1298.833333,1073,1194.5,1160,1448.5
20,216,214,176,94,156,327,65,125,309,306,324,344,444,654,428,786,306,526,715,587,743,707,915,775,930,276,407,263,343,299,333,204,ENSG00000002016,RAD52,309,340.75,445.75,507.6666667,382.75,462.5,410.25,531.5,316.5,325,684.1666667,790.5,556.5,729,741,922.5
21,688,831,593,790,761,826,1000,949,727,599,787,648,592,446,685,402,693,646,424,719,461,381,272,410,319,780,848,819,920,902,766,910,ENSG00000002330,BAD,780,697,653.5833333,583.4166667,776.5,541.5,645.25,575.25,757,623.5,479.75,387.3333333,682.5,442.5,395.5,295.5
22,2011,1401,1507,1074,1379,1934,1163,1639,1380,1372,1441,1600,1343,981,1568,875,1734,1557,1061,1843,944,919,429,721,565,1801,2049,1445,2066,1800,1942,1564,ENSG00000002549,LAP3,1639,1688.75,1324.875,1283.25,1591.25,1380.75,969.25,1003,1410.5,1486,1067.166667,809.1666667,1700,1002.5,820,497
23,3395,3398,2540,3572,3535,3178,4038,4189,1885,1943,2009,2212,2177,1826,2623,1916,2488,2146,1613,2494,1546,2211,1275,2011,1392,3078,2935,2729,3076,3246,3112,3582,ENSG00000002586,CD99,2537.5,2394.5,2651.75,2451.25,2905,2273.5,2958,2597.75,1947,2077.5,1935.833333,1594.666667,2320,1579.5,2111,1333.5
24,106,99,54,39,34,64,38,34,56,31,60,32,49,36,44,36,40,175,102,204,116,128,26,109,43,66,46,37,100,58,100,71,ENSG00000002587,HS3ST1,61.5,37.25,76.58333333,65.58333333,137.25,94.5,78.5,34.25,58,31.5,89,59.83333333,189.5,109,118.5,34.5
25,8,8,3,6,10,8,10,13,1,5,6,2,1,2,7,6,10,7,5,3,4,7,0,1,4,9,9,7,8,6,6,4,ENSG00000002726,AOC1,6,6.5,5.666666667,5.75,5.5,5,6,6.75,3.5,3.5,3.916666667,3.5,5,4.5,4,2
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSG00000002745,WNT16,0.25,0.25,0.041666667,0.083333333,0,0,0,0.25,0.5,0,0.083333333,0.166666667,0,0,0,0.5
27,0,0,0,2,4,1,3,1,2,1,2,1,0,0,0,0,0,0,1,0,2,3,4,1,2,2,2,0,0,1,1,0,ENSG00000002746,HECW1,1.75,1,1.041666667,1.25,0,0.75,2.25,2.75,2,1,1.083333333,1.5,0,1.5,2,3
28,84,85,89,75,87,415,79,110,352,303,382,409,446,479,484,553,399,299,524,340,510,482,620,544,678,443,448,376,581,453,577,85,ENSG00000002822,MAD1L1,398,389.75,360,407.6666667,202.25,301.75,295,373.75,367,356,496.5833333,560.6666667,319.5,517,513,649
29,5750,6044,4564,6543,6069,9279,7392,8333,6670,6386,7396,6828,6763,5228,7938,4897,7374,9111,5817,9785,5522,4219,2908,4273,3529,8884,8406,7215,8551,9470,8240,6633,ENSG00000002834,LASP1,8057.25,7248.5,6449.75,5784,7893.25,5413.25,5606.75,5209.75,7033,6607,5832.5,4650.166667,9448,5669.5,4246,3218.5
30,582,477,408,155,177,338,132,186,276,256,263,289,274,266,308,217,322,430,302,456,314,367,206,340,256,400,362,370,427,349,401,525,ENSG00000002919,SNX11,319.25,307.25,330.2083333,311.8333333,472,401.5,248.5,206.25,269.5,272.5,311.3333333,260.1666667,443,308,353.5,231
31,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000002933,TMEM176A,0,0,0.125,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0
32,4729,3431,3672,2378,2917,3808,2567,3403,2796,2675,2911,2949,2456,1893,2855,1854,3518,3402,2316,3877,2287,2377,1282,2034,1552,3447,3955,2881,4146,3196,4237,3732,ENSG00000003056,M6PR,3240.5,3274.25,2894.75,2857.333333,3610.5,3251,2339,2288.5,2853.5,2812,2348.75,1864,3639.5,2301.5,2205.5,1417
33,2,0,2,1,3,1,2,4,1,2,0,0,0,1,3,2,1,1,5,0,2,0,1,0,0,2,2,2,1,4,2,1,ENSG00000003096,KLHL13,1,1.25,1.625,2.083333333,0.5,2.75,0.75,2,0.5,1,1.25,1.833333333,0.5,3.5,0,0.5
34,119,124,103,132,99,107,147,133,72,89,80,86,81,119,96,104,53,179,140,178,120,223,135,227,157,96,61,93,67,88,89,138,ENSG00000003137,CYP26B1,88.75,72.25,128.7916667,115.4166667,154.75,120.5,182.25,131,76,87.5,146.5833333,129.1666667,178.5,130,225,146
