gene_id	log_expression	timepoint	condition
ENSG00000000003_TSPAN6	9.603605413369824	4h	Ctrl
ENSG00000000419_DPM1	9.778801369433548	4h	Ctrl
ENSG00000000457_SCYL3	8.701080804134588	4h	Ctrl
ENSG00000000460_C1orf112	8.405070446747837	4h	Ctrl
ENSG00000000971_CFH	8.157831938136086	4h	Ctrl
ENSG00000001036_FUCA2	11.542468657089813	4h	Ctrl
ENSG00000001084_GCLC	11.875670788614201	4h	Ctrl
ENSG00000001167_NFYA	9.764446720911481	4h	Ctrl
ENSG00000001460_STPG1	7.634637347627451	4h	Ctrl
ENSG00000001461_NIPAL3	11.352246321310984	4h	Ctrl
ENSG00000001497_LAS1L	9.628310325482342	4h	Ctrl
ENSG00000001561_ENPP4	7.172553344936213	4h	Ctrl
ENSG00000001617_SEMA3F	10.949632594462495	4h	Ctrl
ENSG00000001629_ANKIB1	11.121192044325129	4h	Ctrl
ENSG00000001630_CYP51A1	13.160019942785205	4h	Ctrl
ENSG00000001631_KRIT1	10.021134489053962	4h	Ctrl
ENSG00000002016_RAD52	7.99949285657811	4h	Ctrl
ENSG00000002330_BAD	9.410053760609982	4h	Ctrl
ENSG00000002549_LAP3	10.626150963801216	4h	Ctrl
ENSG00000002586_CD99	11.370844564774794	4h	Ctrl
ENSG00000002587_HS3ST1	5.809091031242464	4h	Ctrl
ENSG00000002726_AOC1	3.0376250563542517	4h	Ctrl
ENSG00000002822_MAD1L1	8.510370941009935	4h	Ctrl
ENSG00000002834_LASP1	12.907904611153542	4h	Ctrl
ENSG00000002919_SNX11	8.296076465383722	4h	Ctrl
ENSG00000003056_M6PR	11.582904988154699	4h	Ctrl
ENSG00000003137_CYP26B1	6.43951929241678	4h	Ctrl
ENSG00000003147_ICA1	9.801971741267842	4h	Ctrl
ENSG00000003249_DBNDD1	10.305020599082155	4h	Ctrl
ENSG00000003393_ALS2	9.901300744030024	4h	Ctrl
ENSG00000003400_CASP10	8.521009225091479	4h	Ctrl
ENSG00000003402_CFLAR	11.581782430859677	4h	Ctrl
ENSG00000003436_TFPI	11.477899682401054	4h	Ctrl
ENSG00000003509_NDUFAF7	8.72266752329031	4h	Ctrl
ENSG00000003756_RBM5	10.996709702094265	4h	Ctrl
ENSG00000003989_SLC7A2	9.025012761361461	4h	Ctrl
ENSG00000004059_ARF5	11.078530647339901	4h	Ctrl
ENSG00000004139_SARM1	5.567196302830843	4h	Ctrl
ENSG00000004142_POLDIP2	11.48915008170339	4h	Ctrl
ENSG00000004399_PLXND1	6.961157325696101	4h	Ctrl
ENSG00000004455_AK2	12.393576547384766	4h	Ctrl
ENSG00000004478_FKBP4	12.71134868677828	4h	Ctrl
ENSG00000004487_KDM1A	10.80342855808369	4h	Ctrl
ENSG00000004534_RBM6	9.948077147209737	4h	Ctrl
ENSG00000004660_CAMKK1	9.075497498944008	4h	Ctrl
ENSG00000004700_RECQL	9.758563794120525	4h	Ctrl
ENSG00000004766_VPS50	9.771637533743109	4h	Ctrl
ENSG00000004777_ARHGAP33	5.016052382312726	4h	Ctrl
ENSG00000004779_NDUFAB1	10.504011133599372	4h	Ctrl
ENSG00000004799_PDK4	10.170655625048528	4h	Ctrl
ENSG00000004838_ZMYND10	3.0376250563542517	4h	Ctrl
ENSG00000004864_SLC25A13	9.541606408875001	4h	Ctrl
ENSG00000004866_ST7	8.947029496819091	4h	Ctrl
ENSG00000004897_CDC27	11.463898506744403	4h	Ctrl
ENSG00000004961_HCCS	9.664259211329387	4h	Ctrl
ENSG00000004975_DVL2	9.763008831287534	4h	Ctrl
ENSG00000005001_PRSS22	7.712275270560265	4h	Ctrl
ENSG00000005007_UPF1	11.907900741415986	4h	Ctrl
ENSG00000005020_SKAP2	10.786962606517509	4h	Ctrl
ENSG00000005022_SLC25A5	13.283930581894463	4h	Ctrl
ENSG00000005059_MCUB	8.856034118557739	4h	Ctrl
ENSG00000005073_HOXA11	4.122231358516069	4h	Ctrl
ENSG00000005075_POLR2J	8.962415217106965	4h	Ctrl
ENSG00000005100_DHX33	10.569245927191805	4h	Ctrl
ENSG00000005156_LIG3	10.440434875424176	4h	Ctrl
ENSG00000005175_RPAP3	9.762754344872306	4h	Ctrl
