contrast_id	timepoint	numerator	denominator	x	delta_density
D_vs_Ctrl_4h	4h	D	Ctrl	0.0	0.002297239201582814
D_vs_Ctrl_4h	4h	D	Ctrl	0.021505376344086023	0.002225364144889287
D_vs_Ctrl_4h	4h	D	Ctrl	0.043010752688172046	0.0021303168516236606
D_vs_Ctrl_4h	4h	D	Ctrl	0.06451612903225806	0.002015138395890629
D_vs_Ctrl_4h	4h	D	Ctrl	0.08602150537634409	0.0018802164417207334
D_vs_Ctrl_4h	4h	D	Ctrl	0.10752688172043012	0.0017294257334708307
D_vs_Ctrl_4h	4h	D	Ctrl	0.12903225806451613	0.0015664560847926234
D_vs_Ctrl_4h	4h	D	Ctrl	0.15053763440860216	0.0013952477702731687
D_vs_Ctrl_4h	4h	D	Ctrl	0.17204301075268819	0.0012190906202790355
D_vs_Ctrl_4h	4h	D	Ctrl	0.19354838709677422	0.0010399841306883012
D_vs_Ctrl_4h	4h	D	Ctrl	0.21505376344086025	0.0008674630897344687
D_vs_Ctrl_4h	4h	D	Ctrl	0.23655913978494625	0.0007057592699644052
D_vs_Ctrl_4h	4h	D	Ctrl	0.25806451612903225	0.0005552961039249973
D_vs_Ctrl_4h	4h	D	Ctrl	0.2795698924731183	0.00042279461771846556
D_vs_Ctrl_4h	4h	D	Ctrl	0.3010752688172043	0.000306735428984883
D_vs_Ctrl_4h	4h	D	Ctrl	0.32258064516129037	0.00021054590250750224
D_vs_Ctrl_4h	4h	D	Ctrl	0.34408602150537637	0.00013706983561141174
D_vs_Ctrl_4h	4h	D	Ctrl	0.3655913978494624	8.295576257997747e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.38709677419354843	4.952487632188182e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.40860215053763443	3.2831686713235414e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.4301075268817205	2.8124429908897575e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.4516129032258065	3.621094057559143e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.4731182795698925	5.352109775042663e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.49462365591397855	7.435012280891315e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.5161290322580645	9.471286759042685e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.5376344086021506	0.00011292194847348919
D_vs_Ctrl_4h	4h	D	Ctrl	0.5591397849462366	0.0001212752458913495
D_vs_Ctrl_4h	4h	D	Ctrl	0.5806451612903226	0.00012090498667193667
D_vs_Ctrl_4h	4h	D	Ctrl	0.6021505376344086	0.00010720730758330063
D_vs_Ctrl_4h	4h	D	Ctrl	0.6236559139784946	7.549693884376096e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.6451612903225807	2.6746268184336952e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.6666666666666667	-4.0574971803323395e-05
D_vs_Ctrl_4h	4h	D	Ctrl	0.6881720430107527	-0.00012137980474444601
D_vs_Ctrl_4h	4h	D	Ctrl	0.7096774193548387	-0.0002172757751221048
D_vs_Ctrl_4h	4h	D	Ctrl	0.7311827956989247	-0.00032438771417735504
D_vs_Ctrl_4h	4h	D	Ctrl	0.7526881720430109	-0.000443906468053621
D_vs_Ctrl_4h	4h	D	Ctrl	0.7741935483870969	-0.0005696627467074826
D_vs_Ctrl_4h	4h	D	Ctrl	0.7956989247311829	-0.0007034056260833942
D_vs_Ctrl_4h	4h	D	Ctrl	0.8172043010752689	-0.0008410863909586695
D_vs_Ctrl_4h	4h	D	Ctrl	0.8387096774193549	-0.0009826275044808146
D_vs_Ctrl_4h	4h	D	Ctrl	0.860215053763441	-0.00112317138521709
D_vs_Ctrl_4h	4h	D	Ctrl	0.881720430107527	-0.001261132330018195
D_vs_Ctrl_4h	4h	D	Ctrl	0.903225806451613	-0.0013971827668479604
D_vs_Ctrl_4h	4h	D	Ctrl	0.924731182795699	-0.0015291668761242584
D_vs_Ctrl_4h	4h	D	Ctrl	0.946236559139785	-0.001656135513870026
D_vs_Ctrl_4h	4h	D	Ctrl	0.967741935483871	-0.0017813949594263877
D_vs_Ctrl_4h	4h	D	Ctrl	0.9892473118279571	-0.0019025055624936893
D_vs_Ctrl_4h	4h	D	Ctrl	1.010752688172043	-0.0020210471360488508
D_vs_Ctrl_4h	4h	D	Ctrl	1.032258064516129	-0.0021339718538654004
D_vs_Ctrl_4h	4h	D	Ctrl	1.0537634408602152	-0.002241576394925719
D_vs_Ctrl_4h	4h	D	Ctrl	1.0752688172043012	-0.0023438295674958268
D_vs_Ctrl_4h	4h	D	Ctrl	1.0967741935483872	-0.002440608167924428
D_vs_Ctrl_4h	4h	D	Ctrl	1.1182795698924732	-0.002530430293574429
D_vs_Ctrl_4h	4h	D	Ctrl	1.1397849462365592	-0.0026131239804360745
D_vs_Ctrl_4h	4h	D	Ctrl	1.1612903225806452	-0.0026852858432883653
D_vs_Ctrl_4h	4h	D	Ctrl	1.1827956989247312	-0.0027442084997792784
D_vs_Ctrl_4h	4h	D	Ctrl	1.2043010752688172	-0.002790263014751132
D_vs_Ctrl_4h	4h	D	Ctrl	1.2258064516129032	-0.002820173930756273
D_vs_Ctrl_4h	4h	D	Ctrl	1.2473118279569892	-0.0028337551073572623
D_vs_Ctrl_4h	4h	D	Ctrl	1.2688172043010755	-0.00282899090923993
D_vs_Ctrl_4h	4h	D	Ctrl	1.2903225806451615	-0.002806580155085024
D_vs_Ctrl_4h	4h	D	Ctrl	1.3118279569892475	-0.002761385223811509
D_vs_Ctrl_4h	4h	D	Ctrl	1.3333333333333335	-0.0026960176493472654
D_vs_Ctrl_4h	4h	D	Ctrl	1.3548387096774195	-0.002610714487081625
D_vs_Ctrl_4h	4h	D	Ctrl	1.3763440860215055	-0.0025068754915528527
D_vs_Ctrl_4h	4h	D	Ctrl	1.3978494623655915	-0.0023865531995831968
D_vs_Ctrl_4h	4h	D	Ctrl	1.4193548387096775	-0.002248421878468909
D_vs_Ctrl_4h	4h	D	Ctrl	1.4408602150537635	-0.002094821417565375
D_vs_Ctrl_4h	4h	D	Ctrl	1.4623655913978495	-0.0019299072605278161
D_vs_Ctrl_4h	4h	D	Ctrl	1.4838709677419355	-0.001754943582406597
D_vs_Ctrl_4h	4h	D	Ctrl	1.5053763440860217	-0.001573375935252426
D_vs_Ctrl_4h	4h	D	Ctrl	1.5268817204301077	-0.0013872634535445835
D_vs_Ctrl_4h	4h	D	Ctrl	1.5483870967741937	-0.0012021113916201726
D_vs_Ctrl_4h	4h	D	Ctrl	1.5698924731182797	-0.0010145226551494801
D_vs_Ctrl_4h	4h	D	Ctrl	1.5913978494623657	-0.0008318105974788603
D_vs_Ctrl_4h	4h	D	Ctrl	1.6129032258064517	-0.0006562776031921111
D_vs_Ctrl_4h	4h	D	Ctrl	1.6344086021505377	-0.0004883216075593916
D_vs_Ctrl_4h	4h	D	Ctrl	1.6559139784946237	-0.00032654312057376483
D_vs_Ctrl_4h	4h	D	Ctrl	1.6774193548387097	-0.00017448320931826022
D_vs_Ctrl_4h	4h	D	Ctrl	1.6989247311827957	-3.4242459837408035e-05
D_vs_Ctrl_4h	4h	D	Ctrl	1.720430107526882	9.480457411024934e-05
D_vs_Ctrl_4h	4h	D	Ctrl	1.741935483870968	0.0002130401804117804
D_vs_Ctrl_4h	4h	D	Ctrl	1.763440860215054	0.0003207461197495681
D_vs_Ctrl_4h	4h	D	Ctrl	1.78494623655914	0.0004177359843684225
D_vs_Ctrl_4h	4h	D	Ctrl	1.806451612903226	0.0005031253080462067
D_vs_Ctrl_4h	4h	D	Ctrl	1.827956989247312	0.0005822029546222601
D_vs_Ctrl_4h	4h	D	Ctrl	1.849462365591398	0.0006554851344851009
D_vs_Ctrl_4h	4h	D	Ctrl	1.870967741935484	0.0007233237499916778
D_vs_Ctrl_4h	4h	D	Ctrl	1.89247311827957	0.0007872242679402841
D_vs_Ctrl_4h	4h	D	Ctrl	1.913978494623656	0.0008487630964027632
D_vs_Ctrl_4h	4h	D	Ctrl	1.935483870967742	0.0009074109951657805
D_vs_Ctrl_4h	4h	D	Ctrl	1.9569892473118282	0.0009685148074441013
D_vs_Ctrl_4h	4h	D	Ctrl	1.9784946236559142	0.0010310192276891117
D_vs_Ctrl_4h	4h	D	Ctrl	2.0	0.0010967940361434753
D_vs_Ctrl_4h	4h	D	Ctrl	2.021505376344086	0.0011692357622140742
D_vs_Ctrl_4h	4h	D	Ctrl	2.043010752688172	0.0012442279934291034
D_vs_Ctrl_4h	4h	D	Ctrl	2.064516129032258	0.0013259744821207398
D_vs_Ctrl_4h	4h	D	Ctrl	2.0860215053763445	0.0014134578874769044
D_vs_Ctrl_4h	4h	D	Ctrl	2.1075268817204305	0.0015049789732382718
D_vs_Ctrl_4h	4h	D	Ctrl	2.1290322580645165	0.001599256691184145
D_vs_Ctrl_4h	4h	D	Ctrl	2.1505376344086025	0.0016982218808814925
