timepoint	condition	x	density
4h	Ctrl	0.0	0.013696476530626037
4h	Ctrl	0.021505376344086023	0.013939411748790919
4h	Ctrl	0.043010752688172046	0.014132054348805542
4h	Ctrl	0.06451612903225806	0.01427945877797019
4h	Ctrl	0.08602150537634409	0.014387959924512264
4h	Ctrl	0.10752688172043012	0.014465117556974704
4h	Ctrl	0.12903225806451613	0.014519152566742277
4h	Ctrl	0.15053763440860216	0.014558875804204162
4h	Ctrl	0.17204301075268819	0.014594121072111738
4h	Ctrl	0.19354838709677422	0.01463591665264942
4h	Ctrl	0.21505376344086025	0.014687036345435714
4h	Ctrl	0.23655913978494625	0.014756249119467322
4h	Ctrl	0.25806451612903225	0.014850326757719867
4h	Ctrl	0.2795698924731183	0.01497420160304833
4h	Ctrl	0.3010752688172043	0.015131547299207465
4h	Ctrl	0.32258064516129037	0.015324750598120555
4h	Ctrl	0.34408602150537637	0.01555490447214856
4h	Ctrl	0.3655913978494624	0.01582201455407476
4h	Ctrl	0.38709677419354843	0.016125103195636942
4h	Ctrl	0.40860215053763443	0.016463233409595178
4h	Ctrl	0.4301075268817205	0.01683698798652441
4h	Ctrl	0.4516129032258065	0.01723990400078134
4h	Ctrl	0.4731182795698925	0.017669981507655124
4h	Ctrl	0.49462365591397855	0.01812502557749188
4h	Ctrl	0.5161290322580645	0.018603286066589533
4h	Ctrl	0.5376344086021506	0.019103050520387254
4h	Ctrl	0.5591397849462366	0.019622793230756205
4h	Ctrl	0.5806451612903226	0.020161434125000367
4h	Ctrl	0.6021505376344086	0.020718188465041226
4h	Ctrl	0.6236559139784946	0.021293913243531762
4h	Ctrl	0.6451612903225807	0.02188868152301
4h	Ctrl	0.6666666666666667	0.022502452800561432
4h	Ctrl	0.6881720430107527	0.023131630352934772
4h	Ctrl	0.7096774193548387	0.023778009437202034
4h	Ctrl	0.7311827956989247	0.02444161047710895
4h	Ctrl	0.7526881720430109	0.0251218615698712
4h	Ctrl	0.7741935483870969	0.025818212788162483
4h	Ctrl	0.7956989247311829	0.02653000616752662
4h	Ctrl	0.8172043010752689	0.027258393870817542
4h	Ctrl	0.8387096774193549	0.028002220606929126
4h	Ctrl	0.860215053763441	0.02875712339036631
4h	Ctrl	0.881720430107527	0.02952345704906419
4h	Ctrl	0.903225806451613	0.030300942922047023
4h	Ctrl	0.924731182795699	0.0310889218725481
4h	Ctrl	0.946236559139785	0.03188682854496207
4h	Ctrl	0.967741935483871	0.032695124423909205
4h	Ctrl	0.9892473118279571	0.03351489927396656
4h	Ctrl	1.010752688172043	0.03434177694158127
4h	Ctrl	1.032258064516129	0.035181554354191916
4h	Ctrl	1.0537634408602152	0.03603127774677217
4h	Ctrl	1.0752688172043012	0.03689130921909758
4h	Ctrl	1.0967741935483872	0.03776198366919571
4h	Ctrl	1.1182795698924732	0.03864481385204068
4h	Ctrl	1.1397849462365592	0.039540800082122074
4h	Ctrl	1.1612903225806452	0.040447230066845204
4h	Ctrl	1.1827956989247312	0.04136313842501507
4h	Ctrl	1.2043010752688172	0.04228915184293353
4h	Ctrl	1.2258064516129032	0.04322445564732006
4h	Ctrl	1.2473118279569892	0.044168841430576575
4h	Ctrl	1.2688172043010755	0.045121388580186515
4h	Ctrl	1.2903225806451615	0.04607966235298749
4h	Ctrl	1.3118279569892475	0.047040625095536706
4h	Ctrl	1.3333333333333335	0.04800334747222387
4h	Ctrl	1.3548387096774195	0.04896579570112548
4h	Ctrl	1.3763440860215055	0.04992680975988379
4h	Ctrl	1.3978494623655915	0.05088517701661712
4h	Ctrl	1.4193548387096775	0.051835711572384584
4h	Ctrl	1.4408602150537635	0.05277633462657374
4h	Ctrl	1.4623655913978495	0.05370541423315429
4h	Ctrl	1.4838709677419355	0.054621436945289474
4h	Ctrl	1.5053763440860217	0.05552159376597791
4h	Ctrl	1.5268817204301077	0.05640342883379864
4h	Ctrl	1.5483870967741937	0.05726605979014231
4h	Ctrl	1.5698924731182797	0.05810625162569567
4h	Ctrl	1.5913978494623657	0.05892382569262068
4h	Ctrl	1.6129032258064517	0.05971751183826306
4h	Ctrl	1.6344086021505377	0.060483092771106306
4h	Ctrl	1.6559139784946237	0.06122009691424553
4h	Ctrl	1.6774193548387097	0.06192835710461219
4h	Ctrl	1.6989247311827957	0.06260877866610633
4h	Ctrl	1.720430107526882	0.06325918239277731
4h	Ctrl	1.741935483870968	0.06387856415809633
4h	Ctrl	1.763440860215054	0.06446752739151243
4h	Ctrl	1.78494623655914	0.06502711004681566
4h	Ctrl	1.806451612903226	0.06555910291564113
4h	Ctrl	1.827956989247312	0.06605981457706779
4h	Ctrl	1.849462365591398	0.06653176447419411
4h	Ctrl	1.870967741935484	0.06697574182394422
4h	Ctrl	1.89247311827957	0.06739257832976361
4h	Ctrl	1.913978494623656	0.0677836095046346
4h	Ctrl	1.935483870967742	0.0681505394355856
4h	Ctrl	1.9569892473118282	0.06849433118237995
4h	Ctrl	1.9784946236559142	0.0688157457818546
4h	Ctrl	2.0	0.06911452111658395
4h	Ctrl	2.021505376344086	0.06939306410341414
4h	Ctrl	2.043010752688172	0.06965533663481527
4h	Ctrl	2.064516129032258	0.06989911987396093
4h	Ctrl	2.0860215053763445	0.07012756133461645
4h	Ctrl	2.1075268817204305	0.07034390466874162
4h	Ctrl	2.1290322580645165	0.07054926644922782
4h	Ctrl	2.1505376344086025	0.0707437743049708
4h	Ctrl	2.1720430107526885	0.0709304362430549
4h	Ctrl	2.1935483870967745	0.07110965921713719
4h	Ctrl	2.2150537634408605	0.07128652015382188
4h	Ctrl	2.2365591397849465	0.07146095670500319
4h	Ctrl	2.2580645161290325	0.07163407669266664
4h	Ctrl	2.2795698924731185	0.07180416476004839
4h	Ctrl	2.3010752688172045	0.0719736086634704
4h	Ctrl	2.3225806451612905	0.07214244098815045
4h	Ctrl	2.3440860215053765	0.07230852712439645
4h	Ctrl	2.3655913978494625	0.07247260755090759
4h	Ctrl	2.3870967741935485	0.07263351859056648
4h	Ctrl	2.4086021505376345	0.07278787410681939
4h	Ctrl	2.4301075268817205	0.0729340380896341
4h	Ctrl	2.4516129032258065	0.07307307615287122
4h	Ctrl	2.4731182795698925	0.0732019283557555
4h	Ctrl	2.4946236559139785	0.07331911045423549
4h	Ctrl	2.5161290322580645	0.0734201538562224
4h	Ctrl	2.537634408602151	0.07350559912931508
4h	Ctrl	2.559139784946237	0.0735722320800337
4h	Ctrl	2.580645161290323	0.07362008001276457
4h	Ctrl	2.602150537634409	0.07364869594534489
4h	Ctrl	2.623655913978495	0.07365601044280848
4h	Ctrl	2.645161290322581	0.07364452777213137
4h	Ctrl	2.666666666666667	0.07361373425590922
4h	Ctrl	2.688172043010753	0.07356920813928759
4h	Ctrl	2.709677419354839	0.07350913817532485
4h	Ctrl	2.731182795698925	0.0734356001748047
4h	Ctrl	2.752688172043011	0.07335095265538845
4h	Ctrl	2.774193548387097	0.0732575154172636
4h	Ctrl	2.795698924731183	0.07315760833491504
4h	Ctrl	2.817204301075269	0.07305237804118461
4h	Ctrl	2.838709677419355	0.07294565206982814
4h	Ctrl	2.860215053763441	0.07284220801760488
4h	Ctrl	2.881720430107527	0.07274058788814189
4h	Ctrl	2.903225806451613	0.0726422189372307
4h	Ctrl	2.924731182795699	0.07254755345527968
4h	Ctrl	2.946236559139785	0.07245738128468894
4h	Ctrl	2.967741935483871	0.07237043422918167
4h	Ctrl	2.9892473118279574	0.07228628862708135
4h	Ctrl	3.0107526881720434	0.07220440219974501
4h	Ctrl	3.0322580645161294	0.0721260655602982
