x,time,contrast,delta_density,lo,hi
0,24 h,Dox-only,-0.00152886672698931,-0.00270392754459466,-0.000322807247414222
0,24 h,Tam-only,0.000484253695034203,-0.000745434364060775,0.0017137912949585
0,4 h,Dox-only,0.00129088129479582,0.000133659074187639,0.00252486494225876
0,4 h,Tam-only,0.000783436586912992,-0.000351204296770461,0.00190818858407415
0.0410958904109589,24 h,Dox-only,-0.00157348745612236,-0.00275626102782244,-0.000348607578203817
0.0410958904109589,24 h,Tam-only,0.000536837723928995,-0.00068648196481811,0.00178651116366498
0.0410958904109589,4 h,Dox-only,0.00127262213198773,0.00010400982296278,0.00251276415532253
0.0410958904109589,4 h,Tam-only,0.000843463545584684,-0.000308234237740301,0.00198870711526987
0.0821917808219178,24 h,Dox-only,-0.00160941333413845,-0.00279297367636011,-0.00038333237665157
0.0821917808219178,24 h,Tam-only,0.000600557419551952,-0.000627858888278501,0.00186666968766962
0.0821917808219178,4 h,Dox-only,0.0012401636452303,7.39087607307138e-05,0.00248921962961755
0.0821917808219178,4 h,Tam-only,0.00090089627372782,-0.000286176744717636,0.0020768532722527
0.123287671232877,24 h,Dox-only,-0.00163706493287832,-0.00283353799405349,-0.000408203930992251
0.123287671232877,24 h,Tam-only,0.000674884232967261,-0.00056250280934428,0.00193893961602012
0.123287671232877,4 h,Dox-only,0.00119600934149982,2.16498409652421e-05,0.0024415007411952
0.123287671232877,4 h,Tam-only,0.000954722781760431,-0.000250709409323658,0.00215349710237056
0.164383561643836,24 h,Dox-only,-0.00165652263499664,-0.00284619925680599,-0.000438237918798407
0.164383561643836,24 h,Tam-only,0.000758665107386277,-0.000502141661360761,0.00202743444103853
0.164383561643836,4 h,Dox-only,0.00114057952566348,-5.64463334924835e-05,0.00241388461065509
0.164383561643836,4 h,Tam-only,0.00100381770657622,-0.00022878552527274,0.00221236938438242
0.205479452054795,24 h,Dox-only,-0.00166762769675959,-0.00286494232287446,-0.000442221490529272
0.205479452054795,24 h,Tam-only,0.000852185635322482,-0.000415712354874819,0.00212954776687658
0.205479452054795,4 h,Dox-only,0.00107432697932552,-0.000150718086487486,0.00237527997633468
0.205479452054795,4 h,Tam-only,0.00104707425071266,-0.000213148504659382,0.00227142159392014
0.246575342465753,24 h,Dox-only,-0.00167028665888176,-0.00287456859423385,-0.000438775581742704
0.246575342465753,24 h,Tam-only,0.000956656883412154,-0.000330364780408664,0.00226144704419607
0.246575342465753,4 h,Dox-only,0.000997772509818314,-0.000247508514544764,0.00231870199908796
0.246575342465753,4 h,Tam-only,0.00108343140299729,-0.000198535492291721,0.00232904234402012
0.287671232876712,24 h,Dox-only,-0.00166447195882068,-0.00288394501146111,-0.00042230239631763
0.287671232876712,24 h,Tam-only,0.00107381201429519,-0.000244759374485916,0.00239762026024252
0.287671232876712,4 h,Dox-only,0.000911488079306806,-0.000367117153693679,0.00225959449123827
0.287671232876712,4 h,Tam-only,0.00111190216483286,-0.000205072435347787,0.00238894318678271
0.328767123287671,24 h,Dox-only,-0.0016502242900424,-0.00291972349749513,-0.000381925781839571
0.328767123287671,24 h,Tam-only,0.00120361686231872,-0.000153985279497924,0.00254570515571998
0.328767123287671,4 h,Dox-only,0.000813698985642503,-0.000501221917597729,0.00218812684256915
0.328767123287671,4 h,Tam-only,0.00112955526043479,-0.000229431281665043,0.00243953421785062
0.36986301369863,24 h,Dox-only,-0.00162725494011686,-0.00293902567568903,-0.000342780004441441
0.36986301369863,24 h,Tam-only,0.0013447889509685,-3.77861457205096e-05,0.00271857493705465
0.36986301369863,4 h,Dox-only,0.000707854598166517,-0.000639935180127164,0.00212780354095034
0.36986301369863,4 h,Tam-only,0.00113730497682044,-0.000232196349469368,0.00247728601816906
0.410958904109589,24 h,Dox-only,-0.00159527520689771,-0.00292745215169748,-0.00028528198916734
0.410958904109589,24 h,Tam-only,0.00149542050614962,6.81981015880411e-05,0.00289387969245849
0.410958904109589,4 h,Dox-only,0.000594596586034248,-0.00077542296622245,0.00203375730090469
0.410958904109589,4 h,Tam-only,0.00113494264751683,-0.000270231587733311,0.00249121971302894
0.452054794520548,24 h,Dox-only,-0.00155574111097995,-0.00291015006833335,-0.000225838922423736
0.452054794520548,24 h,Tam-only,0.00165540184437725,0.000192381439878975,0.00308357960212554
0.452054794520548,4 h,Dox-only,0.000474634841068883,-0.000944672751284348,0.00195417729600649
0.452054794520548,4 h,Tam-only,0.00112232367260066,-0.000327563170025079,0.00250495423580595
0.493150684931507,24 h,Dox-only,-0.0015091975852577,-0.00291087176582334,-0.000135460991248872
0.493150684931507,24 h,Tam-only,0.00182397779420925,0.000330830399830629,0.00327870476174258
0.493150684931507,4 h,Dox-only,0.000348702596255787,-0.00109753453468289,0.00188931813373377
0.493150684931507,4 h,Tam-only,0.00109951571580382,-0.000393956096198953,0.0025332221300542
0.534246575342466,24 h,Dox-only,-0.00145634255473877,-0.00290197246655582,-4.66316161450463e-05
0.534246575342466,24 h,Tam-only,0.00200480557260617,0.000484280587562281,0.00348834057039129
0.534246575342466,4 h,Dox-only,0.000217568409863068,-0.00130960245574201,0.0017724142430669
0.534246575342466,4 h,Tam-only,0.00106679766392283,-0.000459274854002519,0.00256492470660065
0.575342465753425,24 h,Dox-only,-0.00139803831149681,-0.0029000599155069,5.48873679718909e-05
