type,band,updown_group,hits,promoters,y
EBOX,head,All,1617,1742,928.243398392652
EBOX,head,Down,70,116,603.448275862069
EBOX,head,Up,229,169,1355.02958579882
EBOX,mid,All,11504,13942,825.13269258356
EBOX,mid,Down,1672,2634,634.776006074412
EBOX,mid,Up,2759,2463,1120.17864393017
EBOX,tail,All,1317,1743,755.593803786575
EBOX,tail,Down,287,456,629.385964912281
EBOX,tail,Up,575,694,828.530259365994
TETO,head,All,454,1742,260.619977037887
TETO,head,Down,29,116,250
TETO,head,Up,31,169,183.431952662722
TETO,mid,All,3934,13942,282.168985798307
TETO,mid,Down,797,2634,302.581624905087
TETO,mid,Up,686,2463,278.522127486805
TETO,tail,All,528,1743,302.925989672978
TETO,tail,Down,159,456,348.684210526316
TETO,tail,Up,192,694,276.657060518732
