type,band,updown_group,genes_hit,genes_total,y
EBOX,head,All,837,1742,0.480482204362801
EBOX,head,Down,48,116,0.413793103448276
EBOX,head,Up,104,169,0.615384615384615
EBOX,mid,All,6096,13942,0.437239994261942
EBOX,mid,Down,943,2634,0.358010630220197
EBOX,mid,Up,1341,2463,0.544457978075518
EBOX,tail,All,672,1743,0.385542168674699
EBOX,tail,Down,157,456,0.344298245614035
EBOX,tail,Up,293,694,0.422190201729107
TETO,head,All,355,1742,0.203788748564868
TETO,head,Down,24,116,0.206896551724138
TETO,head,Up,28,169,0.165680473372781
TETO,mid,All,3031,13942,0.217400659876632
TETO,mid,Down,595,2634,0.22589217919514
TETO,mid,Up,539,2463,0.218838814453918
TETO,tail,All,395,1743,0.226620768789444
TETO,tail,Down,112,456,0.245614035087719
TETO,tail,Up,152,694,0.219020172910663
