gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000282885_AL627171.2,ENSG00000282885,1259626.54695722,1259626.54695722,1229758.846836,1259626.54695722,-0.0346206064734353,1,head,Neutral,,,normcounts
ENSG00000198804_MT-CO1,ENSG00000198804,511948.57518953,511948.57518953,485697.050282871,511948.57518953,-0.0759420230013781,2,head,Neutral,,,normcounts
ENSG00000156508_EEF1A1,ENSG00000156508,376750.291661367,376750.291661367,338399.02462909,376750.291661367,-0.15488278453633,3,head,Neutral,,,normcounts
ENSG00000251562_MALAT1,ENSG00000251562,228398.874121157,228398.874121157,312083.299216236,228398.874121157,0.450373922331796,4,head,Up,,,normcounts
ENSG00000259001_AL355075.4,ENSG00000259001,210917.375009466,210917.375009466,193747.901149402,210917.375009466,-0.122496658697486,5,head,Neutral,,,normcounts
ENSG00000198938_MT-CO3,ENSG00000198938,185327.571169039,185327.571169039,198383.786227771,185327.571169039,0.0982160807673971,6,head,Neutral,,,normcounts
ENSG00000167996_FTH1,ENSG00000167996,175943.420791834,175943.420791834,149340.005260363,175943.420791834,-0.236509419455707,7,head,Neutral,,,normcounts
ENSG00000198712_MT-CO2,ENSG00000198712,164970.551264778,164970.551264778,170669.922014087,164970.551264778,0.0490000222627778,8,head,Neutral,,,normcounts
ENSG00000198886_MT-ND4,ENSG00000198886,153970.093356578,153970.093356578,145389.808445033,153970.093356578,-0.0827234582656793,9,head,Neutral,,,normcounts
ENSG00000269900_RMRP,ENSG00000269900,152359.606845714,152359.606845714,144893.429573164,152359.606845714,-0.0724878072738449,10,head,Neutral,,,normcounts
ENSG00000171346_KRT15,ENSG00000171346,144164.836417325,144164.836417325,124831.285139522,144164.836417325,-0.207738219620531,11,head,Neutral,,,normcounts
ENSG00000167658_EEF2,ENSG00000167658,128709.547665252,128709.547665252,116091.127085841,128709.547665252,-0.148860147838231,12,head,Neutral,,,normcounts
ENSG00000198727_MT-CYB,ENSG00000198727,114511.785332619,114511.785332619,113804.241708262,114511.785332619,-0.00894167630080389,13,head,Neutral,,,normcounts
ENSG00000124942_AHNAK,ENSG00000124942,111793.789532837,111793.789532837,126982.774684294,111793.789532837,0.183791219376321,14,head,Neutral,,,normcounts
ENSG00000135480_KRT7,ENSG00000135480,88035.9590840718,88035.9590840718,96683.40997023,88035.9590840718,0.135173965376882,15,head,Neutral,,,normcounts
ENSG00000125730_C3,ENSG00000125730,85386.3910436835,85386.3910436835,68445.7765302047,85386.3910436835,-0.319040446154951,16,head,Neutral,,,normcounts
ENSG00000198763_MT-ND2,ENSG00000198763,83317.4630175583,83317.4630175583,85815.9470380875,83317.4630175583,0.0426263516076482,17,head,Neutral,,,normcounts
ENSG00000178209_PLEC,ENSG00000178209,80381.1166675407,80381.1166675407,101315.065317966,80381.1166675407,0.333916482280198,18,head,Up,,,normcounts
ENSG00000140988_RPS2,ENSG00000140988,79469.6058284739,79469.6058284739,71083.9230577601,79469.6058284739,-0.160877742450385,19,head,Neutral,,,normcounts
ENSG00000198899_MT-ATP6,ENSG00000198899,78739.8718151471,78739.8718151471,81355.894640598,78739.8718151471,0.047151927131015,20,head,Neutral,,,normcounts
ENSG00000205426_KRT81,ENSG00000205426,73411.8001299937,73411.8001299937,75220.0259357744,73411.8001299937,0.0351043525222252,21,head,Neutral,,,normcounts
ENSG00000198786_MT-ND5,ENSG00000198786,71579.7846013732,71579.7846013732,69845.9604169739,71579.7846013732,-0.0353750231607783,22,head,Neutral,,,normcounts
ENSG00000133112_TPT1,ENSG00000133112,67986.4082232347,67986.4082232347,61451.9144562835,67986.4082232347,-0.145786139936719,23,head,Neutral,,,normcounts
ENSG00000111640_GAPDH,ENSG00000111640,66553.3243299772,66553.3243299772,65760.3071272507,66553.3243299772,-0.0172934319564639,24,head,Neutral,,,normcounts
ENSG00000142541_RPL13A,ENSG00000142541,65614.7691560888,65614.7691560888,59127.8594633229,65614.7691560888,-0.150180123993975,25,head,Neutral,,,normcounts
ENSG00000099194_SCD,ENSG00000099194,65192.6335029693,65192.6335029693,74433.7535568669,65192.6335029693,0.19124528770541,26,head,Neutral,,,normcounts
ENSG00000109971_HSPA8,ENSG00000109971,64792.0846190255,64792.0846190255,80393.2483579245,64792.0846190255,0.311252448280543,27,head,Neutral,,,normcounts
ENSG00000174444_RPL4,ENSG00000174444,60439.3721804669,60439.3721804669,57881.6920653293,60439.3721804669,-0.0623805226615133,28,head,Neutral,,,normcounts
ENSG00000070756_PABPC1,ENSG00000070756,59718.8570068067,59718.8570068067,54716.6261641623,59718.8570068067,-0.126205068501211,29,head,Neutral,,,normcounts
ENSG00000089157_RPLP0,ENSG00000089157,59506.4753167635,59506.4753167635,55236.2405932312,59506.4753167635,-0.107429660086902,30,head,Neutral,,,normcounts
ENSG00000100316_RPL3,ENSG00000100316,59232.9670368637,59232.9670368637,56570.8892357272,59232.9670368637,-0.0663393589857257,31,head,Neutral,,,normcounts
ENSG00000198888_MT-ND1,ENSG00000198888,56389.4605814582,56389.4605814582,56414.4209659878,56389.4605814582,0.000638445851816272,32,head,Neutral,,,normcounts
ENSG00000161016_RPL8,ENSG00000161016,53269.3353200597,53269.3353200597,51720.5884611958,53269.3353200597,-0.0425657787030644,33,head,Neutral,,,normcounts
ENSG00000186081_KRT5,ENSG00000186081,52484.581767406,52484.581767406,58108.3737321407,52484.581767406,0.146849749554537,34,head,Neutral,,,normcounts
ENSG00000075624_ACTB,ENSG00000075624,51612.7259732054,51612.7259732054,52249.5077896906,51612.7259732054,0.017690275973191,35,head,Neutral,,,normcounts
ENSG00000272398_CD24,ENSG00000272398,49484.5234498375,49484.5234498375,41152.2539472937,49484.5234498375,-0.266000031664593,36,head,Neutral,,,normcounts
ENSG00000181143_MUC16,ENSG00000181143,47455.2760972796,47455.2760972796,51844.3006748538,47455.2760972796,0.127614330791154,37,head,Neutral,,,normcounts
ENSG00000117984_CTSD,ENSG00000117984,47389.9136578568,47389.9136578568,41725.3916330765,47389.9136578568,-0.183650308940718,38,head,Neutral,,,normcounts
ENSG00000067225_PKM,ENSG00000067225,47367.9781477246,47367.9781477246,44263.2773320266,47367.9781477246,-0.097799682234907,39,head,Neutral,,,normcounts
ENSG00000148303_RPL7A,ENSG00000148303,45524.4911982544,45524.4911982544,45504.7789237789,45524.4911982544,-0.000624813891683118,40,head,Neutral,,,normcounts
