type,band,updown_group,hits,promoters,y
EBOX,head,All,1665,1742,955.797933409874
EBOX,head,Down,189,199,949.748743718593
EBOX,head,Up,250,220,1136.36363636364
EBOX,mid,All,11528,13942,826.854109883804
EBOX,mid,Down,2134,2894,737.387698686939
EBOX,mid,Up,2607,2632,990.501519756839
EBOX,tail,All,1245,1743,714.285714285714
EBOX,tail,Down,286,443,645.598194130926
EBOX,tail,Up,542,720,752.777777777778
TETO,head,All,453,1742,260.045924225029
TETO,head,Down,43,199,216.08040201005
TETO,head,Up,47,220,213.636363636364
TETO,mid,All,3935,13942,282.240711519151
TETO,mid,Down,845,2894,291.983413959917
TETO,mid,Up,704,2632,267.477203647416
TETO,tail,All,528,1743,302.925989672978
TETO,tail,Down,131,443,295.711060948081
TETO,tail,Up,207,720,287.5
