type,band,updown_group,genes_hit,genes_total,y
EBOX,head,All,857,1742,0.491963260619977
EBOX,head,Down,105,199,0.527638190954774
EBOX,head,Up,125,220,0.568181818181818
EBOX,mid,All,6105,13942,0.437885525749534
EBOX,mid,Down,1151,2894,0.397719419488597
EBOX,mid,Up,1296,2632,0.492401215805471
EBOX,tail,All,643,1743,0.368904188181297
EBOX,tail,Down,163,443,0.367945823927765
EBOX,tail,Up,266,720,0.369444444444444
TETO,head,All,354,1742,0.203214695752009
TETO,head,Down,36,199,0.180904522613065
TETO,head,Up,37,220,0.168181818181818
TETO,mid,All,3034,13942,0.217615837039162
TETO,mid,Down,630,2894,0.217691776088459
TETO,mid,Up,573,2632,0.217705167173252
TETO,tail,All,393,1743,0.225473321858864
TETO,tail,Down,95,443,0.214446952595937
TETO,tail,Up,155,720,0.215277777777778
