type,band,updown_group,hits,promoters,y
EBOX,head,All,1664,1742,955.223880597015
EBOX,head,Down,38,58,655.172413793103
EBOX,head,Up,162,150,1080
EBOX,mid,All,11570,13942,829.866590159231
EBOX,mid,Down,1605,2267,707.984119982356
EBOX,mid,Up,1945,2051,948.317893710385
EBOX,tail,All,1204,1743,690.763052208835
EBOX,tail,Down,314,447,702.460850111857
EBOX,tail,Up,435,669,650.224215246637
TETO,head,All,443,1742,254.305396096441
TETO,head,Down,13,58,224.137931034483
TETO,head,Up,40,150,266.666666666667
TETO,mid,All,3966,13942,284.464208865299
TETO,mid,Down,707,2267,311.865902073225
TETO,mid,Up,579,2051,282.301316431009
TETO,tail,All,507,1743,290.877796901893
TETO,tail,Down,136,447,304.250559284116
TETO,tail,Up,190,669,284.005979073244
