type,band,updown_group,genes_hit,genes_total,y
EBOX,head,All,861,1742,0.494259471871412
EBOX,head,Down,28,58,0.482758620689655
EBOX,head,Up,78,150,0.52
EBOX,mid,All,6108,13942,0.438100702912064
EBOX,mid,Down,895,2267,0.394794883105426
EBOX,mid,Up,988,2051,0.481716235982448
EBOX,tail,All,636,1743,0.364888123924269
EBOX,tail,Down,163,447,0.364653243847875
EBOX,tail,Up,235,669,0.351270553064275
TETO,head,All,346,1742,0.198622273249139
TETO,head,Down,11,58,0.189655172413793
TETO,head,Up,34,150,0.226666666666667
TETO,mid,All,3060,13942,0.219480705781093
TETO,mid,Down,522,2267,0.230260255844729
TETO,mid,Up,466,2051,0.227206240858118
TETO,tail,All,375,1743,0.215146299483649
TETO,tail,Down,93,447,0.208053691275168
TETO,tail,Up,151,669,0.225710014947683
