gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000282885_AL627171.2,ENSG00000282885,1347922.75932976,1347922.75932976,1229758.846836,1347922.75932976,-0.132362290804316,1,head,Neutral,,,normcounts
ENSG00000198804_MT-CO1,ENSG00000198804,536543.481339681,536543.481339681,485697.050282871,536543.481339681,-0.143638085180964,2,head,Neutral,,,normcounts
ENSG00000156508_EEF1A1,ENSG00000156508,384311.018098613,384311.018098613,338399.02462909,384311.018098613,-0.183548419205835,3,head,Neutral,,,normcounts
ENSG00000251562_MALAT1,ENSG00000251562,279874.711269722,279874.711269722,312083.299216236,279874.711269722,0.157149488400403,4,head,Neutral,,,normcounts
ENSG00000198938_MT-CO3,ENSG00000198938,217987.172637724,217987.172637724,198383.786227771,217987.172637724,-0.135948468685882,5,head,Neutral,,,normcounts
ENSG00000259001_AL355075.4,ENSG00000259001,217259.680554859,217259.680554859,193747.901149402,217259.680554859,-0.165238973665165,6,head,Neutral,,,normcounts
ENSG00000198712_MT-CO2,ENSG00000198712,191498.174482094,191498.174482094,170669.922014087,191498.174482094,-0.166120892222452,7,head,Neutral,,,normcounts
ENSG00000198886_MT-ND4,ENSG00000198886,170812.533500091,170812.533500091,145389.808445033,170812.533500091,-0.23248621826513,8,head,Neutral,,,normcounts
ENSG00000167996_FTH1,ENSG00000167996,169200.582120985,169200.582120985,149340.005260363,169200.582120985,-0.180132711043807,9,head,Neutral,,,normcounts
ENSG00000269900_RMRP,ENSG00000269900,164760.07407336,164760.07407336,144893.429573164,164760.07407336,-0.185373304299191,10,head,Neutral,,,normcounts
ENSG00000171346_KRT15,ENSG00000171346,150337.068400374,150337.068400374,124831.285139522,150337.068400374,-0.26821926881475,11,head,Neutral,,,normcounts
ENSG00000167658_EEF2,ENSG00000167658,133343.997211526,133343.997211526,116091.127085841,133343.997211526,-0.199893561819348,12,head,Neutral,,,normcounts
ENSG00000198727_MT-CYB,ENSG00000198727,127854.762563414,127854.762563414,113804.241708262,127854.762563414,-0.167950177820899,13,head,Neutral,,,normcounts
ENSG00000124942_AHNAK,ENSG00000124942,115149.431497049,115149.431497049,126982.774684294,115149.431497049,0.141124351549966,14,head,Neutral,,,normcounts
ENSG00000198899_MT-ATP6,ENSG00000198899,92039.6995575083,92039.6995575083,81355.894640598,92039.6995575083,-0.178007335674835,15,head,Neutral,,,normcounts
