type,band,updown_group,hits,promoters,y
EBOX,head,All,1617,1742,928.243398392652
EBOX,head,Down,15,31,483.870967741936
EBOX,head,Up,23,16,1437.5
EBOX,mid,All,11504,13942,825.13269258356
EBOX,mid,Down,917,1487,616.677874915938
EBOX,mid,Up,1358,1150,1180.86956521739
EBOX,tail,All,1317,1743,755.593803786575
EBOX,tail,Down,254,423,600.472813238771
EBOX,tail,Up,596,702,849.002849002849
TETO,head,All,454,1742,260.619977037887
TETO,head,Down,12,31,387.096774193548
TETO,head,Up,5,16,312.5
TETO,mid,All,3934,13942,282.168985798307
TETO,mid,Down,468,1487,314.727639542704
TETO,mid,Up,325,1150,282.608695652174
TETO,tail,All,528,1743,302.925989672978
TETO,tail,Down,140,423,330.96926713948
TETO,tail,Up,206,702,293.447293447293
