type,band,updown_group,genes_hit,genes_total,y
EBOX,head,All,837,1742,0.480482204362801
EBOX,head,Down,10,31,0.32258064516129
EBOX,head,Up,9,16,0.5625
EBOX,mid,All,6096,13942,0.437239994261942
EBOX,mid,Down,501,1487,0.336919973100202
EBOX,mid,Up,621,1150,0.54
EBOX,tail,All,672,1743,0.385542168674699
EBOX,tail,Down,146,423,0.345153664302601
EBOX,tail,Up,293,702,0.417378917378917
TETO,head,All,355,1742,0.203788748564868
TETO,head,Down,10,31,0.32258064516129
TETO,head,Up,5,16,0.3125
TETO,mid,All,3031,13942,0.217400659876632
TETO,mid,Down,358,1487,0.240753194351042
TETO,mid,Up,261,1150,0.22695652173913
TETO,tail,All,395,1743,0.226620768789444
TETO,tail,Down,105,423,0.24822695035461
TETO,tail,Up,159,702,0.226495726495727
