gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000282885_AL627171.2,ENSG00000282885,1259626.54695722,1259626.54695722,1347922.75932976,1259626.54695722,0.0977416843308809,1,head,Neutral,,,normcounts
ENSG00000198804_MT-CO1,ENSG00000198804,511948.57518953,511948.57518953,536543.481339681,511948.57518953,0.0676960621795857,2,head,Neutral,,,normcounts
ENSG00000156508_EEF1A1,ENSG00000156508,376750.291661367,376750.291661367,384311.018098613,376750.291661367,0.0286656346695047,3,head,Neutral,,,normcounts
ENSG00000251562_MALAT1,ENSG00000251562,228398.874121157,228398.874121157,279874.711269722,228398.874121157,0.293224433931393,4,head,Neutral,,,normcounts
ENSG00000259001_AL355075.4,ENSG00000259001,210917.375009466,210917.375009466,217259.680554859,210917.375009466,0.0427423149676791,5,head,Neutral,,,normcounts
ENSG00000198938_MT-CO3,ENSG00000198938,185327.571169039,185327.571169039,217987.172637724,185327.571169039,0.234164549453279,6,head,Neutral,,,normcounts
ENSG00000167996_FTH1,ENSG00000167996,175943.420791834,175943.420791834,169200.582120985,175943.420791834,-0.0563767084119,7,head,Neutral,,,normcounts
ENSG00000198712_MT-CO2,ENSG00000198712,164970.551264778,164970.551264778,191498.174482094,164970.551264778,0.21512091448523,8,head,Neutral,,,normcounts
ENSG00000198886_MT-ND4,ENSG00000198886,153970.093356578,153970.093356578,170812.533500091,153970.093356578,0.149762759999451,9,head,Neutral,,,normcounts
ENSG00000269900_RMRP,ENSG00000269900,152359.606845714,152359.606845714,164760.07407336,152359.606845714,0.112885497025346,10,head,Neutral,,,normcounts
ENSG00000171346_KRT15,ENSG00000171346,144164.836417325,144164.836417325,150337.068400374,144164.836417325,0.0604810491942196,11,head,Neutral,,,normcounts
ENSG00000167658_EEF2,ENSG00000167658,128709.547665252,128709.547665252,133343.997211526,128709.547665252,0.0510334139811164,12,head,Neutral,,,normcounts
ENSG00000198727_MT-CYB,ENSG00000198727,114511.785332619,114511.785332619,127854.762563414,114511.785332619,0.159008501520095,13,head,Neutral,,,normcounts
ENSG00000124942_AHNAK,ENSG00000124942,111793.789532837,111793.789532837,115149.431497049,111793.789532837,0.0426668678263553,14,head,Neutral,,,normcounts
ENSG00000135480_KRT7,ENSG00000135480,88035.9590840718,88035.9590840718,86512.5820856036,88035.9590840718,-0.0251826689137857,15,head,Neutral,,,normcounts
ENSG00000125730_C3,ENSG00000125730,85386.3910436835,85386.3910436835,76869.7057663857,85386.3910436835,-0.151589131955223,16,head,Neutral,,,normcounts
