type,band,a,b,c,d,odds_ratio,conf_low,conf_high,p_value,y,n_up,n_down,min_cell,comparison,stable
EBOX,head,104,65,48,68,2.26666666666667,1.39941997489594,3.67136232863891,0.00107010566772373,2.26666666666667,169,116,48,DT_vs_Ctrl,TRUE
EBOX,mid,1341,1122,943,1691,2.14322534180934,1.91536815129991,2.39818901794744,6.25028524452314e-41,2.14322534180934,2463,2634,943,DT_vs_Ctrl,TRUE
EBOX,tail,293,401,157,299,1.39153708086472,1.08919959418914,1.77779670296613,0.00944956627478616,1.39153708086472,694,456,157,DT_vs_Ctrl,TRUE
TETO,head,28,141,24,92,0.761229314420804,0.415604203901851,1.39428346415479,0.435585703378623,0.761229314420804,169,116,24,DT_vs_Ctrl,TRUE
TETO,mid,539,1924,595,2039,0.960028127675186,0.841183095489404,1.09566396527655,0.566766703216764,0.960028127675186,2463,2634,539,DT_vs_Ctrl,TRUE
TETO,tail,152,542,112,344,0.86136004217185,0.65166731730198,1.1385274396176,0.315770986338016,0.86136004217185,694,456,112,DT_vs_Ctrl,TRUE
EBOX,head,125,95,105,94,1.17794486215539,0.801116874507743,1.73202455525716,0.432275439664902,1.17794486215539,220,199,94,DT_vs_D,TRUE
EBOX,mid,1296,1336,1151,1743,1.46899597850346,1.32034896281439,1.63437791495633,1.72848792012491e-12,1.46899597850346,2632,2894,1151,DT_vs_D,TRUE
EBOX,tail,266,454,163,280,1.00645928488419,0.787492197153799,1.28631152891508,1,1.00645928488419,720,443,163,DT_vs_D,TRUE
TETO,head,37,183,36,163,0.915452337583485,0.552440341811768,1.51700178093188,0.796775590908517,0.915452337583485,220,199,36,DT_vs_D,TRUE
TETO,mid,573,2059,630,2264,1.00007863271584,0.879988853358455,1.13655675046076,1,1.00007863271584,2632,2894,573,DT_vs_D,TRUE
TETO,tail,155,565,95,348,1.00493712156497,0.7533105617339,1.34061391091452,1,1.00493712156497,720,443,95,DT_vs_D,TRUE
EBOX,head,78,72,28,30,1.16071428571429,0.632876996070676,2.12878278310936,0.645922869556814,1.16071428571429,150,58,28,DT_vs_Tam,TRUE
EBOX,mid,988,1063,895,1372,1.42480278751504,1.26266658871523,1.607758533768,9.05186654485767e-09,1.42480278751504,2051,2267,895,DT_vs_Tam,TRUE
EBOX,tail,235,434,163,284,0.943428232167595,0.735046105682244,1.21088571501886,0.655751870715471,0.943428232167595,669,447,163,DT_vs_Tam,TRUE
TETO,head,34,116,11,47,1.25235109717868,0.585883774664847,2.67695290162599,0.707566074320327,1.25235109717868,150,58,11,DT_vs_Tam,TRUE
TETO,mid,466,1585,522,1745,0.982837182880694,0.852537313366481,1.13305178894571,0.827741514407025,0.982837182880694,2051,2267,466,DT_vs_Tam,TRUE
TETO,tail,151,518,93,354,1.10960269024785,0.828967476832184,1.48524298553937,0.506493624805882,1.10960269024785,669,447,93,DT_vs_Tam,TRUE
EBOX,head,9,7,10,21,2.7,0.779721726486734,9.34948937853411,0.130796944303902,2.7,16,31,7,Tam_vs_Ctrl,FALSE
EBOX,mid,621,529,501,986,2.31033585003905,1.97237924911148,2.70619950112545,1.53525250598027e-25,2.31033585003905,1150,1487,501,Tam_vs_Ctrl,TRUE
EBOX,tail,293,409,146,277,1.35916200555984,1.05812546470358,1.74584339851886,0.0165986431832275,1.35916200555984,702,423,146,Tam_vs_Ctrl,TRUE
TETO,head,5,11,10,21,0.954545454545455,0.260680287271513,3.49530466737735,1,0.954545454545455,16,31,5,Tam_vs_Ctrl,FALSE
TETO,mid,261,889,358,1129,0.925869252376972,0.771701114303064,1.11083663948221,0.430990244071983,0.925869252376972,1150,1487,261,Tam_vs_Ctrl,TRUE
TETO,tail,159,543,105,318,0.886819258089976,0.668455683913921,1.17651538530493,0.424634388806131,0.886819258089976,702,423,105,Tam_vs_Ctrl,TRUE
