gene_id	contrast_id	method_raw	method	signed_effect	signed_score_input	baseline_expression	pval	padj	direction_input	method_note	direction_input_norm	q_for_score	has_q	sig_from_q	sig_from_direction_only	sig	direction	neglog10	signed_score	score_for_agreement
ENSG00000287918_AF274853.1	DT_vs_D_24h	DESeq2	DESeq2	0.49147297834286174	NA	-2.5832585785558324	NA	NA	NA	DESeq2 native	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	0.49183754295871773
ENSG00000128581_IFT22	DT_vs_D_24h	DESeq2	DESeq2	-0.3506636808637362	-0.8435648988935791	3.288075849463012	0.06966415981812585	0.1433623466202867	NA	DESeq2 native; rounded RSEM expected counts	NA	0.1433623466202867	TRUE	FALSE	FALSE	FALSE	NS	0.8435648988935791	-0.8435648988935791	-0.7714377539991346
ENSG00000221909_FAM200A	DT_vs_D_24h	DESeq2	DESeq2	-0.49084358359345465	-1.06381467363413	2.72528947579168	0.03719595660103882	0.08633468849520268	NA	DESeq2 native; rounded RSEM expected counts	NA	0.08633468849520268	TRUE	FALSE	FALSE	FALSE	NS	1.06381467363413	-1.06381467363413	-0.8628159485956495
ENSG00000176919_C8G	DT_vs_D_24h	DESeq2	DESeq2	0.924948517625512	NA	-2.03105721145975	NA	NA	NA	DESeq2 native	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	0.790851921214425
ENSG00000163435_ELF3	DT_vs_D_24h	DESeq2	DESeq2	-0.10238076865415702	-0.6687770767572326	9.446423131131551	0.11678516012368942	0.2143990828648293	NA	DESeq2 native; rounded RSEM expected counts	NA	0.2143990828648293	TRUE	FALSE	FALSE	FALSE	NS	0.6687770767572326	-0.6687770767572326	-0.6783765255082101
ENSG00000120437_ACAT2	DT_vs_D_24h	DESeq2	DESeq2	-0.14116513805361983	-0.4573684428497098	5.092066101594471	0.22032331745875924	0.3488442405637837	NA	DESeq2 native; rounded RSEM expected counts	NA	0.3488442405637837	TRUE	FALSE	FALSE	FALSE	NS	0.4573684428497098	-0.4573684428497098	-0.5426394320315433
ENSG00000227544_AC018647.1	DT_vs_D_24h	DESeq2	DESeq2	0	NA	-4.5963897908012	NA	NA	NA	DESeq2 native	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	-0.05676396601424593
ENSG00000185900_POMK	DT_vs_D_24h	DESeq2	DESeq2	0.07961919590959986	0.1789200528442681	4.503763878699225	0.529806309975837	0.6623384191333468	NA	DESeq2 native; rounded RSEM expected counts	NA	0.6623384191333468	TRUE	FALSE	FALSE	FALSE	NS	0.1789200528442681	0.1789200528442681	0.20822344445557522
ENSG00000197381_ADARB1	DT_vs_D_24h	DESeq2	DESeq2	0.754230105548911	6.188066687770276	3.887326661104958	4.262585695947677e-8	6.485348406107284e-7	NA	DESeq2 native; rounded RSEM expected counts	NA	6.485348406107284e-7	TRUE	TRUE	FALSE	TRUE	Up	6.188066687770276	6.188066687770276	1.8428760989480453
ENSG00000242265_PEG10	DT_vs_D_24h	DESeq2	DESeq2	-0.4817371044971771	-6.1953278583521465	7.328379309320216	4.173443378368196e-8	6.377818290294793e-7	NA	DESeq2 native; rounded RSEM expected counts	NA	6.377818290294793e-7	TRUE	FALSE	FALSE	FALSE	NS	6.1953278583521465	-6.1953278583521465	-2.0245410258750662
