method1	method2	inter	union	value	kind
DESeq2	DESeq2	1518	1518	1	All
DESeq2	edgeR	1440	1905	0.7559055118110236	All
DESeq2	limma/voom	1472	2000	0.736	All
DESeq2	RankProd	2	1519	0.0013166556945358788	All
DESeq2	PenDA	1421	2027	0.7010360138135175	All
DESeq2	RankCompV3	777	1798	0.432146829810901	All
edgeR	DESeq2	1440	1905	0.7559055118110236	All
edgeR	edgeR	1827	1827	1	All
edgeR	limma/voom	1632	2149	0.7594229874360168	All
edgeR	RankProd	2	1828	0.0010940919037199124	All
edgeR	PenDA	1776	1981	0.8965169106511862	All
edgeR	RankCompV3	780	2104	0.37072243346007605	All
limma/voom	DESeq2	1472	2000	0.736	All
limma/voom	edgeR	1632	2149	0.7594229874360168	All
limma/voom	limma/voom	1954	1954	1	All
limma/voom	RankProd	3	1954	0.0015353121801432957	All
limma/voom	PenDA	1612	2272	0.7095070422535211	All
limma/voom	RankCompV3	796	2215	0.3593679458239278	All
RankProd	DESeq2	2	1519	0.0013166556945358788	All
RankProd	edgeR	2	1828	0.0010940919037199124	All
RankProd	limma/voom	3	1954	0.0015353121801432957	All
RankProd	RankProd	3	3	1	All
RankProd	PenDA	2	1931	0.0010357327809425167	All
RankProd	RankCompV3	1	1059	9.442870632672333e-4	All
PenDA	DESeq2	1421	2027	0.7010360138135175	All
PenDA	edgeR	1776	1981	0.8965169106511862	All
PenDA	limma/voom	1612	2272	0.7095070422535211	All
PenDA	RankProd	2	1931	0.0010357327809425167	All
PenDA	PenDA	1930	1930	1	All
PenDA	RankCompV3	773	2214	0.34914182475158084	All
RankCompV3	DESeq2	777	1798	0.432146829810901	All
RankCompV3	edgeR	780	2104	0.37072243346007605	All
RankCompV3	limma/voom	796	2215	0.3593679458239278	All
RankCompV3	RankProd	1	1059	9.442870632672333e-4	All
RankCompV3	PenDA	773	2214	0.34914182475158084	All
RankCompV3	RankCompV3	1057	1057	1	All
DESeq2	DESeq2	1167	1167	1	Up
DESeq2	edgeR	1134	1505	0.7534883720930232	Up
DESeq2	limma/voom	1121	1520	0.7375	Up
DESeq2	RankProd	1	1167	8.56898029134533e-4	Up
DESeq2	PenDA	1123	1585	0.7085173501577287	Up
DESeq2	RankCompV3	584	1353	0.43163340724316335	Up
edgeR	DESeq2	1134	1505	0.7534883720930232	Up
edgeR	edgeR	1472	1472	1	Up
edgeR	limma/voom	1284	1662	0.7725631768953068	Up
edgeR	RankProd	1	1472	6.793478260869565e-4	Up
edgeR	PenDA	1431	1582	0.904551201011378	Up
edgeR	RankCompV3	600	1642	0.3654080389768575	Up
limma/voom	DESeq2	1121	1520	0.7375	Up
limma/voom	edgeR	1284	1662	0.7725631768953068	Up
limma/voom	limma/voom	1474	1474	1	Up
limma/voom	RankProd	1	1474	6.784260515603799e-4	Up
limma/voom	PenDA	1269	1746	0.7268041237113402	Up
limma/voom	RankCompV3	562	1682	0.3341260404280618	Up
RankProd	DESeq2	1	1167	8.56898029134533e-4	Up
RankProd	edgeR	1	1472	6.793478260869565e-4	Up
RankProd	limma/voom	1	1474	6.784260515603799e-4	Up
RankProd	RankProd	1	1	1	Up
RankProd	PenDA	1	1541	6.489292667099286e-4	Up
RankProd	RankCompV3	1	770	0.0012987012987012987	Up
PenDA	DESeq2	1123	1585	0.7085173501577287	Up
PenDA	edgeR	1431	1582	0.904551201011378	Up
PenDA	limma/voom	1269	1746	0.7268041237113402	Up
PenDA	RankProd	1	1541	6.489292667099286e-4	Up
PenDA	PenDA	1541	1541	1	Up
PenDA	RankCompV3	594	1717	0.3459522422830518	Up
RankCompV3	DESeq2	584	1353	0.43163340724316335	Up
RankCompV3	edgeR	600	1642	0.3654080389768575	Up
RankCompV3	limma/voom	562	1682	0.3341260404280618	Up
RankCompV3	RankProd	1	770	0.0012987012987012987	Up
