method1	method2	value
DESeq2	DESeq2	1
DESeq2	edgeR	0.9948770795785296
DESeq2	limma/voom	0.9907105910227466
DESeq2	RankProd	0.21636189137298703
DESeq2	PenDA	0.8868386552051699
DESeq2	RankCompV3	0.3998129775353179
edgeR	DESeq2	0.9948770795785296
edgeR	edgeR	0.9999999999999999
edgeR	limma/voom	0.9964254312924187
edgeR	RankProd	0.18172383873273498
edgeR	PenDA	0.9008903490888126
edgeR	RankCompV3	0.4029998064382659
limma/voom	DESeq2	0.9907105910227466
limma/voom	edgeR	0.9964254312924187
limma/voom	limma/voom	1
limma/voom	RankProd	0.17022316381432345
limma/voom	PenDA	0.8955775735417695
limma/voom	RankCompV3	0.402064052628879
RankProd	DESeq2	0.21636189137298703
RankProd	edgeR	0.18172383873273498
RankProd	limma/voom	0.17022316381432345
RankProd	RankProd	0.9999999999999999
RankProd	PenDA	0.14961765621702794
RankProd	RankCompV3	-0.014385185414664284
PenDA	DESeq2	0.8868386552051699
PenDA	edgeR	0.9008903490888126
PenDA	limma/voom	0.8955775735417695
PenDA	RankProd	0.14961765621702794
PenDA	PenDA	1
PenDA	RankCompV3	0.283791678551032
RankCompV3	DESeq2	0.3998129775353179
RankCompV3	edgeR	0.4029998064382659
RankCompV3	limma/voom	0.402064052628879
RankCompV3	RankProd	-0.014385185414664284
RankCompV3	PenDA	0.283791678551032
RankCompV3	RankCompV3	1
