contrast_id	gene_id	baseline_bin	n_methods	spread_iqr	phase
DT_vs_D_24h	ENSG00000000003_TSPAN6	Non-head	6	0.29947518784561833	Late
DT_vs_D_24h	ENSG00000000419_DPM1	Non-head	6	0.1306961154476698	Late
DT_vs_D_24h	ENSG00000000457_SCYL3	Non-head	6	0.5587709886715881	Late
DT_vs_D_24h	ENSG00000000460_C1orf112	Non-head	6	0.11052894438015057	Late
DT_vs_D_24h	ENSG00000000971_CFH	Non-head	6	0.1956596104681867	Late
DT_vs_D_24h	ENSG00000001036_FUCA2	Non-head	6	0.2378750354133392	Late
DT_vs_D_24h	ENSG00000001084_GCLC	Head	6	0.07917642658226476	Late
DT_vs_D_24h	ENSG00000001167_NFYA	Non-head	6	0.1435939950031989	Late
DT_vs_D_24h	ENSG00000001460_STPG1	Non-head	6	0.5844306203077125	Late
DT_vs_D_24h	ENSG00000001461_NIPAL3	Non-head	6	0.08880586253544603	Late
DT_vs_D_24h	ENSG00000001497_LAS1L	Non-head	6	0.4951674561672901	Late
DT_vs_D_24h	ENSG00000001561_ENPP4	Non-head	6	0.4692270528679283	Late
DT_vs_D_24h	ENSG00000001617_SEMA3F	Non-head	6	0.4310800253000727	Late
DT_vs_D_24h	ENSG00000001629_ANKIB1	Non-head	6	0.6255509653370425	Late
DT_vs_D_24h	ENSG00000001630_CYP51A1	Head	6	0.21163687921628327	Late
DT_vs_D_24h	ENSG00000001631_KRIT1	Non-head	6	0.3515662945844178	Late
DT_vs_D_24h	ENSG00000002016_RAD52	Non-head	6	0.1576308211518489	Late
DT_vs_D_24h	ENSG00000002330_BAD	Non-head	6	0.11031244211930336	Late
DT_vs_D_24h	ENSG00000002549_LAP3	Non-head	6	0.3903181438540029	Late
DT_vs_D_24h	ENSG00000002586_CD99	Non-head	6	0.36923701109430074	Late
DT_vs_D_24h	ENSG00000002587_HS3ST1	Non-head	6	0.05347419014356258	Late
DT_vs_D_24h	ENSG00000002726_AOC1	Non-head	6	0.3256219044084939	Late
DT_vs_D_24h	ENSG00000002822_MAD1L1	Non-head	6	0.2754689430919677	Late
DT_vs_D_24h	ENSG00000002834_LASP1	Head	6	0.3457046027494297	Late
DT_vs_D_24h	ENSG00000002919_SNX11	Non-head	6	0.07777928013499891	Late
DT_vs_D_24h	ENSG00000003056_M6PR	Non-head	6	0.14515020435250192	Late
DT_vs_D_24h	ENSG00000003137_CYP26B1	Non-head	6	0.19151069379113173	Late
DT_vs_D_24h	ENSG00000003147_ICA1	Non-head	6	0.0781655278207779	Late
DT_vs_D_24h	ENSG00000003249_DBNDD1	Non-head	6	0.14270878036888546	Late
DT_vs_D_24h	ENSG00000003393_ALS2	Non-head	6	0.36433945783323896	Late
DT_vs_D_24h	ENSG00000003400_CASP10	Non-head	6	0.06586111200903669	Late
DT_vs_D_24h	ENSG00000003402_CFLAR	Head	6	0.6146906551913616	Late
DT_vs_D_24h	ENSG00000003436_TFPI	Head	6	0.16420560426235653	Late
DT_vs_D_24h	ENSG00000003509_NDUFAF7	Non-head	6	0.2101590883589397	Late
DT_vs_D_24h	ENSG00000003756_RBM5	Head	6	0.6929371930375878	Late
DT_vs_D_24h	ENSG00000003989_SLC7A2	Non-head	6	0.7349136338274747	Late
DT_vs_D_24h	ENSG00000004059_ARF5	Non-head	6	0.11111184972396915	Late
DT_vs_D_24h	ENSG00000004139_SARM1	Non-head	6	0.4676686776717729	Late
DT_vs_D_24h	ENSG00000004142_POLDIP2	Non-head	6	0.047361389506171525	Late
DT_vs_D_24h	ENSG00000004399_PLXND1	Non-head	6	0.10074161523672531	Late
DT_vs_D_24h	ENSG00000004455_AK2	Head	6	0.31964681154147667	Late
DT_vs_D_24h	ENSG00000004478_FKBP4	Head	6	0.12010590132208565	Late
DT_vs_D_24h	ENSG00000004487_KDM1A	Non-head	6	0.06138068515869832	Late
DT_vs_D_24h	ENSG00000004534_RBM6	Non-head	6	0.147003537306845	Late
DT_vs_D_24h	ENSG00000004660_CAMKK1	Non-head	6	0.3722259509091085	Late
