gene_id	pval	padj	method_log2FC	signed_score	direction	native_method	method_note
ENSG00000000003_TSPAN6	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000000419_DPM1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000000457_SCYL3	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000000460_C1orf112	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000000971_CFH	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001036_FUCA2	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001084_GCLC	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001167_NFYA	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001460_STPG1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001461_NIPAL3	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001497_LAS1L	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001561_ENPP4	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001617_SEMA3F	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001629_ANKIB1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001630_CYP51A1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000001631_KRIT1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002016_RAD52	NA	NA	1	1	Up	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002330_BAD	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002549_LAP3	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002586_CD99	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002587_HS3ST1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002726_AOC1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002822_MAD1L1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002834_LASP1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000002919_SNX11	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003056_M6PR	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003137_CYP26B1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003147_ICA1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003249_DBNDD1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003393_ALS2	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003400_CASP10	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003402_CFLAR	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003436_TFPI	NA	NA	-1	-1	Down	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003509_NDUFAF7	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000003756_RBM5	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
