contrast_id	rankprod_direction	method	direction	overlaps_other_call	n
DT_vs_D_24h	Down	DESeq2	Down	TRUE	1
DT_vs_D_24h	Down	PenDA	Down	TRUE	1
DT_vs_D_24h	Down	edgeR	Down	TRUE	1
DT_vs_D_24h	Down	limma/voom	Down	TRUE	2
DT_vs_D_24h	Up	DESeq2	Up	TRUE	1
DT_vs_D_24h	Up	PenDA	Up	TRUE	1
DT_vs_D_24h	Up	RankCompV3	Up	TRUE	1
DT_vs_D_24h	Up	edgeR	Up	TRUE	1
DT_vs_D_24h	Up	limma/voom	Up	TRUE	1
DT_vs_D_4h	Down	DESeq2	Down	TRUE	2
DT_vs_D_4h	Down	PenDA	Down	TRUE	2
DT_vs_D_4h	Down	RankCompV3	Down	TRUE	2
DT_vs_D_4h	Down	edgeR	Down	TRUE	2
DT_vs_D_4h	Down	limma/voom	Down	TRUE	2
DT_vs_D_4h	Up	DESeq2	Up	TRUE	1
DT_vs_D_4h	Up	PenDA	Up	TRUE	2
DT_vs_D_4h	Up	edgeR	Up	TRUE	2
DT_vs_D_4h	Up	limma/voom	Up	TRUE	2
