gene_id	pfp	rankprod_table_direction	contrast_id	common_effect	direction_from_effect	called_by_rankprod_table	table_effect_direction_agree
ENSG00000000003_TSPAN6	2.275e-4	Down	DT_vs_D_4h	-0.036182250133760085	Down	FALSE	TRUE
ENSG00000000419_DPM1	0.002792	Down	DT_vs_D_4h	0.2861063685587366	Up	FALSE	FALSE
ENSG00000000457_SCYL3	0.004454	Down	DT_vs_D_4h	-0.46862203275930003	Down	FALSE	TRUE
ENSG00000000460_C1orf112	0.003969	Down	DT_vs_D_4h	0.6327747347028607	Up	TRUE	FALSE
ENSG00000000971_CFH	0.003518	Down	DT_vs_D_4h	-0.5144060208615557	Down	FALSE	TRUE
ENSG00000001036_FUCA2	0.005505	Up	DT_vs_D_4h	0.1756301512249907	Up	FALSE	TRUE
ENSG00000001084_GCLC	0.005195	Up	DT_vs_D_4h	-0.1579259616991484	Down	FALSE	FALSE
ENSG00000001167_NFYA	0.005951	Up	DT_vs_D_4h	0.22511109282742048	Up	FALSE	TRUE
ENSG00000001460_STPG1	0.005959	Up	DT_vs_D_4h	-0.2611129571742197	Down	FALSE	FALSE
ENSG00000001461_NIPAL3	0.006283	Down	DT_vs_D_4h	-0.20847720463245345	Down	FALSE	TRUE
ENSG00000001497_LAS1L	0.01031	Up	DT_vs_D_4h	0.3716999146474187	Up	FALSE	TRUE
ENSG00000001561_ENPP4	0.01053	Up	DT_vs_D_4h	-0.4771252398518413	Down	FALSE	FALSE
ENSG00000001617_SEMA3F	0.01116	Up	DT_vs_D_4h	-0.6176772087712656	Down	TRUE	FALSE
ENSG00000001629_ANKIB1	0.01417	Down	DT_vs_D_4h	0.03303709083270867	Up	FALSE	FALSE
ENSG00000001630_CYP51A1	0.01402	Up	DT_vs_D_4h	0.23860976824917657	Up	FALSE	TRUE
ENSG00000001631_KRIT1	0.01348	Up	DT_vs_D_4h	0.03449058574183539	Up	FALSE	TRUE
ENSG00000002016_RAD52	0.01332	Up	DT_vs_D_4h	-0.046282830859316615	Down	FALSE	FALSE
ENSG00000002330_BAD	0.01627	Up	DT_vs_D_4h	-0.3463031269085217	Down	FALSE	FALSE
ENSG00000002549_LAP3	0.01903	Down	DT_vs_D_4h	-5.105612863154363e-5	Down	FALSE	TRUE
ENSG00000002586_CD99	0.01919	Up	DT_vs_D_4h	-0.25669445112815836	Down	FALSE	FALSE
ENSG00000002587_HS3ST1	0.02003	Up	DT_vs_D_4h	0.7855450853407018	Up	TRUE	TRUE
ENSG00000002822_MAD1L1	0.02027	Down	DT_vs_D_4h	0.1753666427325049	Up	FALSE	FALSE
ENSG00000002834_LASP1	0.02053	Down	DT_vs_D_4h	-0.29048832644284506	Down	FALSE	TRUE
ENSG00000002919_SNX11	0.02	Down	DT_vs_D_4h	-0.10890565464996849	Down	FALSE	TRUE
ENSG00000003056_M6PR	0.02004	Down	DT_vs_D_4h	0.15321065278059365	Up	FALSE	FALSE
ENSG00000003137_CYP26B1	0.02111	Down	DT_vs_D_4h	-0.5345823015117668	Down	FALSE	TRUE
ENSG00000003147_ICA1	0.02492	Down	DT_vs_D_4h	0.23274433951334128	Up	FALSE	FALSE
ENSG00000003249_DBNDD1	0.025	Up	DT_vs_D_4h	0.07156372643200548	Up	FALSE	TRUE
ENSG00000003393_ALS2	0.024140000000000002	Up	DT_vs_D_4h	0.11485153337245002	Up	FALSE	TRUE
ENSG00000003400_CASP10	0.0237	Up	DT_vs_D_4h	-0.9877420129856418	Down	TRUE	FALSE
ENSG00000003402_CFLAR	0.02513	Up	DT_vs_D_4h	-0.16154842666936275	Down	FALSE	FALSE
ENSG00000003436_TFPI	0.02584	Up	DT_vs_D_4h	-0.1186024182097194	Down	FALSE	FALSE
ENSG00000003509_NDUFAF7	0.0255	Up	DT_vs_D_4h	0.22180291960499154	Up	FALSE	TRUE
ENSG00000003756_RBM5	0.02599	Up	DT_vs_D_4h	-0.13486722664439643	Down	FALSE	FALSE
ENSG00000003989_SLC7A2	0.02589	Up	DT_vs_D_4h	0.30629531129951726	Up	FALSE	TRUE
ENSG00000004059_ARF5	0.02642	Up	DT_vs_D_4h	-0.2130529723765786	Down	FALSE	FALSE
ENSG00000004139_SARM1	0.02837	Up	DT_vs_D_4h	-0.27745890082198854	Down	FALSE	FALSE
ENSG00000004142_POLDIP2	0.0283	Up	DT_vs_D_4h	0.03259760691778446	Up	FALSE	TRUE
ENSG00000004399_PLXND1	0.03529	Up	DT_vs_D_4h	-0.3650930119505771	Down	FALSE	FALSE
ENSG00000004455_AK2	0.03744	Up	DT_vs_D_4h	0.27581795728827174	Up	FALSE	TRUE
ENSG00000004478_FKBP4	0.03874	Up	DT_vs_D_4h	0.39069412293864403	Up	FALSE	TRUE
ENSG00000004487_KDM1A	0.04505	Down	DT_vs_D_4h	0.2652850578981809	Up	FALSE	FALSE
ENSG00000004534_RBM6	0.04401	Down	DT_vs_D_4h	0.4568473604839589	Up	FALSE	FALSE
ENSG00000004660_CAMKK1	0.0465	Up	DT_vs_D_4h	0.26951539573363714	Up	FALSE	TRUE
ENSG00000004700_RECQL	0.04633	Up	DT_vs_D_4h	0.09192109292294237	Up	FALSE	TRUE
ENSG00000004766_VPS50	0.04985	Down	DT_vs_D_4h	-0.07651218363120726	Down	FALSE	TRUE
ENSG00000004779_NDUFAB1	0.04892	Down	DT_vs_D_4h	0.21138173586127706	Up	FALSE	FALSE
ENSG00000004799_PDK4	0.05011	Down	DT_vs_D_4h	-0.6510675001122364	Down	FALSE	TRUE
ENSG00000004864_SLC25A13	0.04943	Down	DT_vs_D_4h	0.10536862013364523	Up	FALSE	FALSE
ENSG00000004866_ST7	0.05444	Up	DT_vs_D_4h	0.3215862369831761	Up	FALSE	TRUE
