contrast_id	numerator	denominator	time_h	cpt_level	nA	nB	n_genes_tested	Up	Down	UpFrac	slope_rlm	slope_lm	spearman_baseline_effect	contrast_label	time_label	contrast_family
D_vs_Ctrl_4h	D	Ctrl	4	none	2	2	12940	1	1	0.5	-0.0032433538382438684	-0.0037056600776882833	-0.0332512737949216	D vs Ctrl (4 h)	4 h	Dox-only control
Tam_vs_Ctrl_4h	Tam	Ctrl	4	none	2	2	12939	117	121	0.49159663865546216	-0.004959689158031256	-0.007230828958213505	-0.060369505991895486	Tam vs Ctrl (4 h)	4 h	Tam-only control
DT_vs_D_4h	DT	D	4	none	2	2	12946	698	705	0.49750534568781185	0.00468482536285482	-0.001057447872914594	0.029428694502805636	DT vs D (4 h)	4 h	MYC on Dox
D_L_CPT_vs_D_4h	D_L_CPT	D	4	low	2	2	13107	2043	2822	0.4199383350462487	-0.05165914543808786	-0.06582152507509677	-0.1478497035337413	D_L_CPT vs D (4 h)	4 h	CPT+Dox control
DT_L_CPT_vs_D_L_CPT_4h	DT_L_CPT	D_L_CPT	4	low	2	2	13024	252	355	0.41515650741350907	-0.009461305772422551	-0.014405958872506383	-0.06584055412478419	DT_L_CPT vs D_L_CPT (4 h)	4 h	MYC on CPT+Dox
D_H_CPT_vs_D_4h	D_H_CPT	D	4	high	2	2	13354	2801	3428	0.4496708942045272	-0.0808653109236371	-0.13781772653451105	-0.11594038311081055	D_H_CPT vs D (4 h)	4 h	CPT+Dox control
DT_H_CPT_vs_D_H_CPT_4h	DT_H_CPT	D_H_CPT	4	high	2	2	13269	115	34	0.7718120805369127	-0.02384107443142596	-0.02567410710685704	-0.1974592935138989	DT_H_CPT vs D_H_CPT (4 h)	4 h	MYC on CPT+Dox
D_vs_Ctrl_24h	D	Ctrl	24	none	2	2	13281	692	585	0.5418950665622553	-0.004444509450991805	-0.007705333899565331	-0.010485659194241478	D vs Ctrl (24 h)	24 h	Dox-only control
Tam_vs_Ctrl_24h	Tam	Ctrl	24	none	2	2	13190	350	491	0.4161712247324614	0.021406034128713593	0.02177607560795926	0.1807450136774428	Tam vs Ctrl (24 h)	24 h	Tam-only control
DT_vs_D_24h	DT	D	24	none	2	2	13486	1474	357	0.8050245767340252	-0.06836141342724016	-0.06846842422612621	-0.318882740776915	DT vs D (24 h)	24 h	MYC on Dox
D_L_CPT_vs_D_24h	D_L_CPT	D	24	low	2	2	13504	1963	2254	0.46549679867204174	-0.07453042990609865	-0.11597427172730702	-0.2191369073418695	D_L_CPT vs D (24 h)	24 h	CPT+Dox control
DT_L_CPT_vs_D_L_CPT_24h	DT_L_CPT	D_L_CPT	24	low	2	2	13740	2147	760	0.738562091503268	-0.07517027247881243	-0.0815360580394654	-0.28203848570373846	DT_L_CPT vs D_L_CPT (24 h)	24 h	MYC on CPT+Dox
D_H_CPT_vs_D_24h	D_H_CPT	D	24	high	2	2	13935	3074	2942	0.510970744680851	-0.18031003120029493	-0.19126007907268713	-0.49301089445980445	D_H_CPT vs D (24 h)	24 h	CPT+Dox control
DT_H_CPT_vs_D_H_CPT_24h	DT_H_CPT	D_H_CPT	24	high	2	2	14250	545	2176	0.20029400955531054	-0.015178121625934734	-0.011950104685910705	-0.0422118432013068	DT_H_CPT vs D_H_CPT (24 h)	24 h	MYC on CPT+Dox
