condition_label,time_h,dox,tam,cpt_level,n_samples,sample_ids
4 h Ctrl,4,None_Dox,None_MYC,None_CPT,2,1_4_ctrl_RP1;3_4_ctrl_RP2
4 h Tam,4,None_Dox,MYC,None_CPT,2,2_4_Tam_RP1;4_4_Tam_RP2
4 h D,4,Dox,None_MYC,None_CPT,2,5_4D_RP1;7_4D_RP2
4 h DT,4,Dox,MYC,None_CPT,2,6_4DT_RP1;8_4DT_RP2
4D_L_CPT,4,Dox,None_MYC,LCPT,2,9_4D_L_CPT_RP1;11_4D_L_CPT_RP2
4DT_L_CPT,4,Dox,MYC,LCPT,2,10_4DT_L_CPT_RP1;12_4DT_L_CPT_RP2
4D_H_CPT,4,Dox,None_MYC,HCPT,2,13_4D_H_CPT_RP1;15_4D_H_CPT_RP2
4DT_H_CPT,4,Dox,MYC,HCPT,2,14_4DT_H_CPT_RP1;16_4DT_H_CPT_RP2
24 h Ctrl,24,None_Dox,None_MYC,None_CPT,2,17_24_ctrl_RP1;19_24_ctrl_RP2
24 h Tam,24,None_Dox,MYC,None_CPT,2,18_24_Tam_RP1;20_24_Tam_RP2
24 h D,24,Dox,None_MYC,None_CPT,2,21_24D_RP1;23_24D_RP2
24 h DT,24,Dox,MYC,None_CPT,2,22_24DT_RP1;24_24DT_RP2
24D_L_CPT,24,Dox,None_MYC,LCPT,2,25_24D_L_CPT_RP1;27_24D_L_CPT_RP2
24DT_L_CPT,24,Dox,MYC,LCPT,2,26_24DT_L_CPT_RP1;28_24DT_L_CPT_RP2
24D_H_CPT,24,Dox,None_MYC,HCPT,2,29_24D_H_CPT_RP1;31_24D_H_CPT_RP2
24DT_H_CPT,24,Dox,MYC,HCPT,2,30_24DT_H_CPT_RP1;32_24DT_H_CPT_RP2
