gene_id,x_comparison_id,x_baseline_mode,x_baseline_label,x_condition_label,x_baseline_rank,x_condition_rank,x_rank_shift,x_band,y_comparison_id,y_baseline_mode,y_baseline_label,y_condition_label,y_baseline_rank,y_condition_rank,y_rank_shift,y_band,x_axis_label,y_axis_label
ENSG00000282885_AL627171.2,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,1,1,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,1,1,0,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198804_MT-CO1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,2,2,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,2,4,-2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000251562_MALAT1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,3,3,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,3,2,1,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000156508_EEF1A1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,4,4,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,4,5,-1,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000259001_AL355075.4,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,5,5,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,6,6,0,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198938_MT-CO3,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,6,6,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,8,11,-3,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000269900_RMRP,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,7,8,-1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,5,3,2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198712_MT-CO2,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,8,9,-1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,10,14,-4,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198886_MT-ND4,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,9,7,2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,7,10,-3,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000167996_FTH1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,10,10,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,9,9,0,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000171346_KRT15,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,11,14,-3,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,12,7,5,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000167658_EEF2,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,12,12,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,14,15,-1,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198727_MT-CYB,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,13,11,2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,13,17,-4,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000124942_AHNAK,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,14,13,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,11,8,3,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000125730_C3,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,15,16,-1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,17,18,-1,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198763_MT-ND2,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,16,17,-1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,16,22,-6,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198899_MT-ATP6,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,17,15,2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,15,21,-6,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198786_MT-ND5,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,18,18,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,19,23,-4,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000181143_MUC16,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,19,23,-4,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,18,12,6,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000133112_TPT1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,20,19,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,23,34,-11,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000140988_RPS2,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,21,20,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,22,24,-2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000135480_KRT7,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,22,21,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,20,19,1,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000142541_RPL13A,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,23,22,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,24,29,-5,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000198888_MT-ND1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,24,30,-6,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,27,43,-16,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000089157_RPLP0,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,25,27,-2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,29,31,-2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000205426_KRT81,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,26,33,-7,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,34,30,4,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000100316_RPL3,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,27,24,3,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,26,26,0,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000070756_PABPC1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,28,29,-1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,28,37,-9,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000174444_RPL4,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,29,28,1,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,30,35,-5,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000111640_GAPDH,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,30,26,4,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,25,27,-2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000161016_RPL8,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,31,31,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,31,33,-2,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
