sample_id,legacy_position,group_label,time_h,dox,myc,cpt_level,replicate,background_context,label_text,label,task_name,context_value,context_col,dim1,dim2
29_24D_H_CPT_RP1,29,24D_H_CPT,24,Dox,None_MYC,HCPT,1,HCPT,None_MYC,0,MYC@24h,HCPT,cpt_level,14.23102853,17.50976061
31_24D_H_CPT_RP2,31,24D_H_CPT,24,Dox,None_MYC,HCPT,2,HCPT,None_MYC,0,MYC@24h,HCPT,cpt_level,9.085231857,17.03603889
30_24DT_H_CPT_RP1,30,24DT_H_CPT,24,Dox,MYC,HCPT,1,HCPT,MYC,1,MYC@24h,HCPT,cpt_level,-8.992660693,10.29915733
32_24DT_H_CPT_RP2,32,24DT_H_CPT,24,Dox,MYC,HCPT,2,HCPT,MYC,1,MYC@24h,HCPT,cpt_level,-3.910069706,10.91875442
25_24D_L_CPT_RP1,25,24D_L_CPT,24,Dox,None_MYC,LCPT,1,LCPT,None_MYC,0,MYC@24h,LCPT,cpt_level,20.20972412,-13.53877838
27_24D_L_CPT_RP2,27,24D_L_CPT,24,Dox,None_MYC,LCPT,2,LCPT,None_MYC,0,MYC@24h,LCPT,cpt_level,21.83275092,-13.47762903
26_24DT_L_CPT_RP1,26,24DT_L_CPT,24,Dox,MYC,LCPT,1,LCPT,MYC,1,MYC@24h,LCPT,cpt_level,10.87683952,-3.481912213
28_24DT_L_CPT_RP2,28,24DT_L_CPT,24,Dox,MYC,LCPT,2,LCPT,MYC,1,MYC@24h,LCPT,cpt_level,11.56128411,-4.711949612
21_24D_RP1,21,24D,24,Dox,None_MYC,None_CPT,1,baseline_background,None_MYC,0,MYC@24h,None_CPT,cpt_level,-19.98548649,-7.729666255
23_24D_RP2,23,24D,24,Dox,None_MYC,None_CPT,2,baseline_background,None_MYC,0,MYC@24h,None_CPT,cpt_level,-18.76579132,-8.265194271
22_24DT_RP1,22,24DT,24,Dox,MYC,None_CPT,1,MYC_background,MYC,1,MYC@24h,None_CPT,cpt_level,-17.8810838,-3.317902906
24_24DT_RP2,24,24DT,24,Dox,MYC,None_CPT,2,MYC_background,MYC,1,MYC@24h,None_CPT,cpt_level,-18.26176705,-1.240678576
