gene,baseline_mean,region
ENSG00000282885_AL627171.2,20.27505525,head
ENSG00000198804_MT-CO1,18.96281073,head
ENSG00000156508_EEF1A1,18.500883,head
ENSG00000251562_MALAT1,17.91110596,head
ENSG00000259001_AL355075.4,17.67092748,head
ENSG00000198938_MT-CO3,17.58000072,head
ENSG00000198712_MT-CO2,17.40266167,head
ENSG00000167996_FTH1,17.35983637,head
ENSG00000198886_MT-ND4,17.26947192,head
ENSG00000269900_RMRP,17.23549366,head
ENSG00000171346_KRT15,17.13094505,head
ENSG00000167658_EEF2,16.96254103,head
ENSG00000198727_MT-CYB,16.84750251,head
ENSG00000124942_AHNAK,16.75518993,head
ENSG00000135480_KRT7,16.37652887,head
ENSG00000198763_MT-ND2,16.37055272,head
ENSG00000198899_MT-ATP6,16.33898075,head
ENSG00000125730_C3,16.2692649,head
ENSG00000140988_RPS2,16.24888314,head
ENSG00000198786_MT-ND5,16.1791971,head
ENSG00000178209_PLEC,16.13711592,head
ENSG00000205426_KRT81,16.0665899,head
ENSG00000142541_RPL13A,16.02773312,head
ENSG00000133112_TPT1,16.00575289,head
ENSG00000111640_GAPDH,15.99135984,head
ENSG00000109971_HSPA8,15.98129908,head
ENSG00000099194_SCD,15.95818033,head
ENSG00000174444_RPL4,15.89286804,head
ENSG00000100316_RPL3,15.86720069,head
ENSG00000089157_RPLP0,15.86074948,head
ENSG00000070756_PABPC1,15.82035884,head
ENSG00000198888_MT-ND1,15.80376465,head
ENSG00000161016_RPL8,15.69403572,head
ENSG00000186081_KRT5,15.68171663,head
ENSG00000075624_ACTB,15.50103053,head
ENSG00000148303_RPL7A,15.47667108,head
ENSG00000254772_EEF1G,15.46549142,head
ENSG00000117984_CTSD,15.45072762,head
ENSG00000272398_CD24,15.44080207,head
ENSG00000181143_MUC16,15.42414795,head
ENSG00000067225_PKM,15.40950219,head
ENSG00000170421_KRT8,15.32407499,head
ENSG00000174748_RPL15,15.31354877,head
ENSG00000137154_RPS6,15.30604618,head
ENSG00000145425_RPS3A,15.30213371,head
ENSG00000167526_RPL13,15.27013856,head
ENSG00000169710_FASN,15.26118054,head
ENSG00000182718_ANXA2,15.20844729,head
ENSG00000149273_RPS3,15.20070193,head
ENSG00000204628_RACK1,15.17343365,head
ENSG00000198034_RPS4X,15.16874904,head
ENSG00000229117_RPL41,15.15310166,head
ENSG00000103257_SLC7A5,15.13714321,head
ENSG00000181163_NPM1,15.13479971,head
ENSG00000168028_RPSA,15.11855151,head
ENSG00000163931_TKT,15.08751832,head
ENSG00000063046_EIF4B,15.08735789,head
ENSG00000147604_RPL7,15.06935775,head
ENSG00000231500_RPS18,15.06402934,head
