gene,gene_symbol,auc_DOX@24h,fdr_DOX@24h,auc_DOX@4h,fdr_DOX@4h,baseline_mean,region,is_DDR
ENSG00000003402_CFLAR,CFLAR,1,0.09595375723,0,0.3887587822,11.53595359,head,False
ENSG00000032219_ARID4A,ARID4A,1,0.09595375723,0,0.3887587822,9.251970889,mid,False
ENSG00000048342_CC2D2A,CC2D2A,1,0.09595375723,0,0.3887587822,9.624015738,mid,False
ENSG00000048471_SNX29,SNX29,1,0.09595375723,0,0.3887587822,9.831213764,mid,False
ENSG00000066933_MYO9A,MYO9A,1,0.09595375723,0,0.3887587822,11.2315159,mid,False
ENSG00000077157_PPP1R12B,PPP1R12B,1,0.09595375723,0,0.3887587822,9.474634536,mid,False
ENSG00000088970_KIZ,KIZ,1,0.09595375723,0,0.3887587822,8.318624888,mid,False
ENSG00000089177_KIF16B,KIF16B,1,0.09595375723,0,0.3887587822,9.153064723,mid,False
ENSG00000096696_DSP,DSP,1,0.09595375723,0,0.3887587822,15.00719192,head,False
ENSG00000103657_HERC1,HERC1,1,0.09595375723,0,0.3887587822,11.23625108,mid,False
ENSG00000105877_DNAH11,DNAH11,1,0.09595375723,0,0.3887587822,9.389356585,mid,False
ENSG00000106006_HOXA6,HOXA6,1,0.09595375723,0,0.3887587822,6.161901764,mid,False
ENSG00000112763_BTN2A1,BTN2A1,1,0.09595375723,0,0.3887587822,8.901610365,mid,False
ENSG00000114107_CEP70,CEP70,1,0.09595375723,0,0.3887587822,9.278872881,mid,False
ENSG00000115548_KDM3A,KDM3A,1,0.09595375723,0,0.3887587822,10.28890015,mid,False
ENSG00000117724_CENPF,CENPF,1,0.09595375723,0,0.3887587822,12.23902947,head,False
ENSG00000119509_INVS,INVS,1,0.09595375723,0,0.3887587822,9.273490179,mid,False
ENSG00000124177_CHD6,CHD6,1,0.09595375723,0,0.3887587822,10.45297992,mid,False
ENSG00000127914_AKAP9,AKAP9,1,0.09595375723,0,0.3887587822,12.10282615,head,False
ENSG00000134245_WNT2B,WNT2B,1,0.09595375723,0,0.3887587822,5.555380439,mid,False
ENSG00000134313_KIDINS220,KIDINS220,1,0.09595375723,0,0.3887587822,11.21360952,mid,False
ENSG00000134899_ERCC5,ERCC5,1,0.09595375723,0,0.3887587822,10.92016734,mid,False
ENSG00000135205_CCDC146,CCDC146,1,0.09595375723,0,0.3887587822,7.633651213,mid,False
ENSG00000136169_SETDB2,SETDB2,1,0.09595375723,0,0.3887587822,8.850234146,mid,False
ENSG00000136861_CDK5RAP2,CDK5RAP2,1,0.09595375723,0,0.3887587822,10.79628027,mid,False
ENSG00000137601_NEK1,NEK1,1,0.09595375723,0,0.3887587822,9.173905334,mid,False
ENSG00000138193_PLCE1,PLCE1,1,0.09595375723,0,0.3887587822,10.33060835,mid,False
ENSG00000139144_PIK3C2G,PIK3C2G,1,0.09595375723,0,0.3887587822,9.495359487,mid,False
ENSG00000140386_SCAPER,SCAPER,1,0.09595375723,0,0.3887587822,8.852078157,mid,False
ENSG00000143951_WDPCP,WDPCP,1,0.09595375723,0,0.3887587822,6.90243189,mid,False
ENSG00000149262_INTS4,INTS4,1,0.09595375723,0,0.3887587822,9.235444843,mid,False
ENSG00000150627_WDR17,WDR17,1,0.09595375723,0,0.3887587822,6.145923931,mid,False
ENSG00000152818_UTRN,UTRN,1,0.09595375723,0,0.3887587822,11.72590113,head,False
ENSG00000157796_WDR19,WDR19,1,0.09595375723,0,0.3887587822,9.709565239,mid,False
ENSG00000165115_KIF27,KIF27,1,0.09595375723,0,0.3887587822,8.27683672,mid,False
ENSG00000165494_PCF11,PCF11,1,0.09595375723,0,0.3887587822,11.08616752,mid,False
ENSG00000166317_SYNPO2L,SYNPO2L,1,0.09595375723,0,0.3975642125,2.032796236,tail,False
ENSG00000166589_CDH16,CDH16,1,0.09595375723,0,0.3887587822,3.80665704,mid,False
ENSG00000171988_JMJD1C,JMJD1C,1,0.09595375723,0,0.3887587822,11.44437457,mid,False
ENSG00000173575_CHD2,CHD2,1,0.09595375723,0,0.3887587822,11.96641356,head,False
ENSG00000176809_LRRC37A3,LRRC37A3,1,0.09595375723,0,0.3887587822,7.278260973,mid,False
ENSG00000185261_KIAA0825,KIAA0825,1,0.09595375723,0,0.3887587822,7.018405069,mid,False
ENSG00000187240_DYNC2H1,DYNC2H1,1,0.09595375723,0,0.3887587822,9.828503582,mid,False
ENSG00000197535_MYO5A,MYO5A,1,0.09595375723,0,0.3887587822,10.13475459,mid,False
ENSG00000198707_CEP290,CEP290,1,0.09595375723,0,0.3887587822,9.748270764,mid,False
ENSG00000204049_AL391421.1,AL391421.1,1,0.09595375723,0,0.3887587822,5.377643871,mid,False
ENSG00000217128_FNIP1,FNIP1,1,0.09595375723,0,0.3887587822,10.26989349,mid,False
ENSG00000226403_AL392089.1,AL392089.1,1,0.09595375723,0,0.3887587822,4.451366981,mid,False
ENSG00000227292_AC009229.1,AC009229.1,1,0.09595375723,0,0.3887587822,6.16998965,mid,False
ENSG00000238083_LRRC37A2,LRRC37A2,1,0.09595375723,0,0.3887587822,7.846380691,mid,False
ENSG00000242759_LINC00882,LINC00882,1,0.09595375723,0,0.3887587822,5.274437494,mid,False
ENSG00000242808_SOX2-OT,SOX2-OT,1,0.09595375723,0,0.3887587822,2.257187452,mid,False
ENSG00000260470_AC023794.6,AC023794.6,1,0.09595375723,0,0.3887587822,4.390454096,mid,False
ENSG00000262877_AC110285.2,AC110285.2,1,0.09595375723,0,0.3887587822,4.339844672,mid,False
ENSG00000265190_ANXA8,ANXA8,1,0.09595375723,0,0.3887587822,11.50386879,head,False
ENSG00000267288_AC138150.2,AC138150.2,1,0.09595375723,0,0.3887587822,5.384713419,mid,False
ENSG00000268043_NBPF12,NBPF12,1,0.09595375723,0,0.3887587822,8.958851229,mid,False
ENSG00000272799_AC006238.1,AC006238.1,1,0.09595375723,0,0.3887587822,2.572506219,mid,False
ENSG00000272994_AC012360.3,AC012360.3,1,0.09595375723,0,0.3887587822,6.148634472,mid,False
