gene,gene_symbol,auc,max_auc,mean_positive,mean_negative,mean_delta,pvalue,n_positive,n_negative,fdr
ENSG00000087303_NID2,NID2,1,1,1.341174493,0,1.341174493,0.02107057013,4,4,0.3887587822
ENSG00000240224_UGT1A5,UGT1A5,0,1,0,3.671773872,-3.671773872,0.02107057013,4,4,0.3887587822
ENSG00000115297_TLX2,TLX2,0,1,0.2067258472,1.171862621,-0.9651367742,0.02651872196,4,4,0.3887587822
ENSG00000188365_AC092171.1,AC092171.1,1,1,1.6551595,0.2038550741,1.451304426,0.02651872196,4,4,0.3887587822
ENSG00000001561_ENPP4,ENPP4,0,1,6.756413513,7.177002032,-0.4205885193,0.02857142857,4,4,0.3887587822
ENSG00000002822_MAD1L1,MAD1L1,1,1,8.725155042,8.468564529,0.2565905135,0.02857142857,4,4,0.3887587822
ENSG00000003249_DBNDD1,DBNDD1,1,1,10.50605344,10.31048639,0.1955670552,0.02857142857,4,4,0.3887587822
ENSG00000003402_CFLAR,CFLAR,0,1,11.39018632,11.53595359,-0.1457672744,0.02857142857,4,4,0.3887587822
ENSG00000005020_SKAP2,SKAP2,0,1,10.55979132,10.71765663,-0.157865309,0.02857142857,4,4,0.3887587822
ENSG00000005884_ITGA3,ITGA3,1,1,12.81978401,12.5754349,0.2443491154,0.02857142857,4,4,0.3887587822
ENSG00000006695_COX10,COX10,0,1,9.821021617,9.908284046,-0.08726242909,0.02857142857,4,4,0.3887587822
ENSG00000006757_PNPLA4,PNPLA4,0,1,8.571734613,8.777308326,-0.2055737126,0.02857142857,4,4,0.3887587822
ENSG00000006837_CDKL3,CDKL3,0,1,3.396925164,4.209765728,-0.8128405642,0.02857142857,4,4,0.3887587822
ENSG00000007376_RPUSD1,RPUSD1,1,1,11.11497043,10.83722407,0.277746361,0.02857142857,4,4,0.3887587822
ENSG00000007392_LUC7L,LUC7L,1,1,9.70528734,9.629943041,0.07534429923,0.02857142857,4,4,0.3887587822
ENSG00000007520_TSR3,TSR3,1,1,9.989744625,9.687160073,0.3025845516,0.02857142857,4,4,0.3887587822
ENSG00000008323_PLEKHG6,PLEKHG6,1,1,7.472114333,7.183512272,0.288602061,0.02857142857,4,4,0.3887587822
ENSG00000008853_RHOBTB2,RHOBTB2,1,1,10.49283631,10.1940835,0.2987528109,0.02857142857,4,4,0.3887587822
ENSG00000009307_CSDE1,CSDE1,0,1,13.94938451,14.07061185,-0.1212273327,0.02857142857,4,4,0.3887587822
ENSG00000010165_EEF1AKNMT,EEF1AKNMT,1,1,10.31576086,10.23978835,0.07597251249,0.02857142857,4,4,0.3887587822
ENSG00000010404_IDS,IDS,1,1,10.41174273,10.16579302,0.24594971,0.02857142857,4,4,0.3887587822
ENSG00000011198_ABHD5,ABHD5,0,1,10.98065419,11.32621066,-0.3455564704,0.02857142857,4,4,0.3887587822
ENSG00000011304_PTBP1,PTBP1,1,1,13.21982592,13.14397711,0.07584880253,0.02857142857,4,4,0.3887587822
ENSG00000012171_SEMA3B,SEMA3B,1,1,10.46709951,9.959524811,0.5075747028,0.02857142857,4,4,0.3887587822
ENSG00000014123_UFL1,UFL1,0,1,10.36165573,10.63398922,-0.2723334859,0.02857142857,4,4,0.3887587822
ENSG00000014138_POLA2,POLA2,1,1,8.536983316,8.032240365,0.504742951,0.02857142857,4,4,0.3887587822
ENSG00000014824_SLC30A9,SLC30A9,0,1,11.42134858,11.53610738,-0.1147587979,0.02857142857,4,4,0.3887587822
ENSG00000018869_ZNF582,ZNF582,0,1,2.481210206,3.416918381,-0.9357081756,0.02857142857,4,4,0.3887587822
ENSG00000022567_SLC45A4,SLC45A4,1,1,10.04534445,9.582901244,0.4624432062,0.02857142857,4,4,0.3887587822
ENSG00000023287_RB1CC1,RB1CC1,0,1,11.35155041,11.48464863,-0.133098214,0.02857142857,4,4,0.3887587822
ENSG00000023445_BIRC3,BIRC3,0,1,12.7443464,12.91288648,-0.1685400758,0.02857142857,4,4,0.3887587822
ENSG00000025770_NCAPH2,NCAPH2,1,1,9.251180907,8.964248995,0.286931912,0.02857142857,4,4,0.3887587822
