gene,gene_symbol,auc,max_auc,mean_positive,mean_negative,mean_delta,pvalue,n_positive,n_negative,fdr
ENSG00000003509_NDUFAF7,NDUFAF7,1,1,8.872797275,8.544518499,0.3282787755,0.002164502165,6,6,0.2028347996
ENSG00000007384_RHBDF1,RHBDF1,0,1,9.484534955,10.01223491,-0.5276999582,0.002164502165,6,6,0.2028347996
ENSG00000011347_SYT7,SYT7,1,1,6.85509142,5.997280998,0.8578104223,0.002164502165,6,6,0.2028347996
ENSG00000024422_EHD2,EHD2,0,1,10.95492531,11.37709399,-0.4221686805,0.002164502165,6,6,0.2028347996
ENSG00000025708_TYMP,TYMP,0,1,10.6734983,11.18554073,-0.5120424309,0.002164502165,6,6,0.2028347996
ENSG00000025772_TOMM34,TOMM34,1,1,10.35713927,9.94726882,0.4098704455,0.002164502165,6,6,0.2028347996
ENSG00000027847_B4GALT7,B4GALT7,1,1,8.73673702,8.398670983,0.3380660379,0.002164502165,6,6,0.2028347996
ENSG00000049246_PER3,PER3,1,1,7.452708854,5.808903475,1.643805379,0.002164502165,6,6,0.2028347996
ENSG00000049449_RCN1,RCN1,1,1,12.45859093,12.18839005,0.2702008798,0.002164502165,6,6,0.2028347996
ENSG00000050344_NFE2L3,NFE2L3,1,1,7.883582311,7.036865019,0.8467172924,0.002164502165,6,6,0.2028347996
ENSG00000059122_FLYWCH1,FLYWCH1,0,1,9.054916197,9.556258368,-0.5013421717,0.002164502165,6,6,0.2028347996
ENSG00000065427_KARS,KARS,1,1,12.52481442,12.12321521,0.4015992123,0.002164502165,6,6,0.2028347996
ENSG00000069011_PITX1,PITX1,0,1,11.62828049,12.10550939,-0.4772288975,0.002164502165,6,6,0.2028347996
ENSG00000072041_SLC6A15,SLC6A15,1,1,11.0955055,10.35141759,0.7440879184,0.002164502165,6,6,0.2028347996
ENSG00000072274_TFRC,TFRC,1,1,13.70291329,13.21778512,0.4851281732,0.002164502165,6,6,0.2028347996
ENSG00000074696_HACD3,HACD3,1,1,11.75593416,11.26316658,0.4927675775,0.002164502165,6,6,0.2028347996
ENSG00000076248_UNG,UNG,1,1,10.90011088,10.28771786,0.6123930173,0.002164502165,6,6,0.2028347996
ENSG00000077454_LRCH4,LRCH4,0,1,9.983406858,10.56504766,-0.581640798,0.002164502165,6,6,0.2028347996
ENSG00000079337_RAPGEF3,RAPGEF3,0,1,6.932977047,7.458611628,-0.5256345808,0.002164502165,6,6,0.2028347996
ENSG00000083312_TNPO1,TNPO1,1,1,12.53247743,12.20805571,0.324421722,0.002164502165,6,6,0.2028347996
ENSG00000083807_SLC27A5,SLC27A5,1,1,9.278299279,8.111626102,1.166673178,0.002164502165,6,6,0.2028347996
ENSG00000087266_SH3BP2,SH3BP2,0,1,10.24065105,10.60271929,-0.362068239,0.002164502165,6,6,0.2028347996
ENSG00000088727_KIF9,KIF9,1,1,8.479888608,7.631606766,0.8482818414,0.002164502165,6,6,0.2028347996
ENSG00000089159_PXN,PXN,0,1,12.31940464,12.6109959,-0.2915912571,0.002164502165,6,6,0.2028347996
ENSG00000090487_SPG21,SPG21,1,1,11.26733805,10.91028544,0.3570526113,0.002164502165,6,6,0.2028347996
ENSG00000095209_TMEM38B,TMEM38B,1,1,9.258388252,8.928097855,0.330290397,0.002164502165,6,6,0.2028347996
ENSG00000099901_RANBP1,RANBP1,1,1,11.22007443,10.95042705,0.2696473765,0.002164502165,6,6,0.2028347996
ENSG00000100302_RASD2,RASD2,1,1,6.607701871,4.632970414,1.974731457,0.002164502165,6,6,0.2028347996
ENSG00000100439_ABHD4,ABHD4,0,1,9.414471176,9.8142061,-0.399734924,0.002164502165,6,6,0.2028347996
ENSG00000101187_SLCO4A1,SLCO4A1,1,1,10.07340197,9.417681817,0.6557201492,0.002164502165,6,6,0.2028347996
ENSG00000104140_RHOV,RHOV,0,1,9.807947034,10.37529143,-0.5673443921,0.002164502165,6,6,0.2028347996
ENSG00000104332_SFRP1,SFRP1,1,1,12.00858295,11.67917776,0.3294051973,0.002164502165,6,6,0.2028347996
ENSG00000104518_GSDMD,GSDMD,0,1,8.191018005,8.584511392,-0.393493387,0.002164502165,6,6,0.2028347996
ENSG00000106028_SSBP1,SSBP1,1,1,10.9463679,10.56173015,0.384637751,0.002164502165,6,6,0.2028347996
ENSG00000106355_LSM5,LSM5,1,1,9.928640502,9.511079646,0.4175608558,0.002164502165,6,6,0.2028347996
ENSG00000106484_MEST,MEST,1,1,10.87356996,10.56785649,0.3057134671,0.002164502165,6,6,0.2028347996
ENSG00000106991_ENG,ENG,1,1,10.13855686,9.653472252,0.4850846067,0.002164502165,6,6,0.2028347996
ENSG00000107738_VSIR,VSIR,0,1,11.08843631,11.72013492,-0.6316986129,0.002164502165,6,6,0.2028347996
ENSG00000107949_BCCIP,BCCIP,1,1,11.02665047,10.49142157,0.5352288987,0.002164502165,6,6,0.2028347996
ENSG00000108064_TFAM,TFAM,1,1,11.69686903,11.41684186,0.2800271663,0.002164502165,6,6,0.2028347996
ENSG00000108578_BLMH,BLMH,1,1,9.612775151,8.916828677,0.6959464746,0.002164502165,6,6,0.2028347996
ENSG00000108784_NAGLU,NAGLU,0,1,9.251786556,9.54670109,-0.2949145339,0.002164502165,6,6,0.2028347996
ENSG00000108924_HLF,HLF,1,1,6.01582658,4.012397519,2.003429061,0.002164502165,6,6,0.2028347996
ENSG00000110172_CHORDC1,CHORDC1,1,1,11.00316303,10.55009785,0.4530651879,0.002164502165,6,6,0.2028347996
ENSG00000110237_ARHGEF17,ARHGEF17,0,1,10.53097069,11.10183583,-0.5708651448,0.002164502165,6,6,0.2028347996
ENSG00000113739_STC2,STC2,1,1,11.1384412,10.37168142,0.7667597728,0.002164502165,6,6,0.2028347996
ENSG00000114251_WNT5A,WNT5A,0,1,6.388522646,7.158339554,-0.7698169081,0.002164502165,6,6,0.2028347996
ENSG00000114446_IFT57,IFT57,1,1,9.484678099,9.170410548,0.3142675509,0.002164502165,6,6,0.2028347996
ENSG00000114631_PODXL2,PODXL2,1,1,10.19869984,9.805186211,0.3935136257,0.002164502165,6,6,0.2028347996
ENSG00000114646_CSPG5,CSPG5,1,1,7.439684054,5.648251066,1.791432988,0.002164502165,6,6,0.2028347996
ENSG00000115652_UXS1,UXS1,1,1,10.39070323,10.05848134,0.3322218847,0.002164502165,6,6,0.2028347996
ENSG00000115875_SRSF7,SRSF7,1,1,12.04113254,11.65198519,0.3891473455,0.002164502165,6,6,0.2028347996
ENSG00000116985_BMP8B,BMP8B,1,1,4.46180719,3.249998716,1.211808474,0.002164502165,6,6,0.2028347996
ENSG00000117143_UAP1,UAP1,1,1,10.76066953,10.38683046,0.3738390686,0.002164502165,6,6,0.2028347996
ENSG00000117791_MARC2,MARC2,1,1,8.452149628,8.161181072,0.2909685559,0.002164502165,6,6,0.2028347996
ENSG00000118960_HS1BP3,HS1BP3,0,1,8.90367177,9.300498671,-0.3968269006,0.002164502165,6,6,0.2028347996
ENSG00000119669_IRF2BPL,IRF2BPL,0,1,11.7741506,12.36992827,-0.5957776721,0.002164502165,6,6,0.2028347996
ENSG00000119888_EPCAM,EPCAM,1,1,12.66976272,12.42081273,0.2489499952,0.002164502165,6,6,0.2028347996
ENSG00000120963_ZNF706,ZNF706,1,1,10.63479876,10.16919168,0.465607084,0.002164502165,6,6,0.2028347996
ENSG00000121207_LRAT,LRAT,1,1,10.36852937,9.752490931,0.6160384388,0.002164502165,6,6,0.2028347996
ENSG00000122565_CBX3,CBX3,1,1,12.44001777,12.14048486,0.2995329077,0.002164502165,6,6,0.2028347996
ENSG00000124102_PI3,PI3,0,1,8.387431673,9.145313822,-0.7578821498,0.002164502165,6,6,0.2028347996
ENSG00000125877_ITPA,ITPA,1,1,10.04448269,9.824099095,0.2203835979,0.002164502165,6,6,0.2028347996
ENSG00000125931_CITED1,CITED1,1,1,4.596996149,2.557923327,2.039072823,0.002164502165,6,6,0.2028347996
ENSG00000125967_NECAB3,NECAB3,0,1,8.714919051,9.10559456,-0.3906755095,0.002164502165,6,6,0.2028347996
ENSG00000126226_PCID2,PCID2,1,1,10.13522937,9.790028486,0.3452008816,0.002164502165,6,6,0.2028347996
ENSG00000126561_STAT5A,STAT5A,0,1,7.82217577,8.335328058,-0.5131522879,0.002164502165,6,6,0.2028347996
ENSG00000126602_TRAP1,TRAP1,1,1,12.4865868,12.2232465,0.2633402939,0.002164502165,6,6,0.2028347996
ENSG00000127554_GFER,GFER,0,1,9.593533417,9.946673268,-0.3531398519,0.002164502165,6,6,0.2028347996
ENSG00000127585_FBXL16,FBXL16,0,1,11.47412777,11.7863184,-0.3121906255,0.002164502165,6,6,0.2028347996
ENSG00000127838_PNKD,PNKD,0,1,9.957612732,10.17721121,-0.2195984805,0.002164502165,6,6,0.2028347996
ENSG00000128309_MPST,MPST,0,1,11.10916935,11.51294711,-0.4037777647,0.002164502165,6,6,0.2028347996
ENSG00000129007_CALML4,CALML4,1,1,8.475502253,7.85403914,0.6214631129,0.002164502165,6,6,0.2028347996
ENSG00000130475_FCHO1,FCHO1,1,1,7.918762745,7.126713032,0.7920497129,0.002164502165,6,6,0.2028347996
ENSG00000131187_F12,F12,1,1,8.556145109,7.91480506,0.6413400496,0.002164502165,6,6,0.2028347996
ENSG00000131368_MRPS25,MRPS25,1,1,10.79085662,10.36758536,0.4232712639,0.002164502165,6,6,0.2028347996
ENSG00000132207_SLX1A,SLX1A,0,1,9.382748804,9.802669122,-0.4199203184,0.002164502165,6,6,0.2028347996
ENSG00000132300_PTCD3,PTCD3,1,1,11.3744573,10.9625484,0.4119089049,0.002164502165,6,6,0.2028347996
ENSG00000133661_SFTPD,SFTPD,0,1,8.204356973,8.765962082,-0.5616051091,0.002164502165,6,6,0.2028347996
ENSG00000133706_LARS,LARS,1,1,12.15040708,11.82372223,0.3266848501,0.002164502165,6,6,0.2028347996
ENSG00000134198_TSPAN2,TSPAN2,0,1,5.918039463,6.495880754,-0.5778412911,0.002164502165,6,6,0.2028347996
ENSG00000134575_ACP2,ACP2,0,1,8.689679199,8.991545433,-0.3018662333,0.002164502165,6,6,0.2028347996
ENSG00000135709_KIAA0513,KIAA0513,0,1,8.470418222,9.006440716,-0.5360224933,0.002164502165,6,6,0.2028347996
ENSG00000135956_TMEM127,TMEM127,0,1,11.23040884,11.46188917,-0.2314803363,0.002164502165,6,6,0.2028347996
ENSG00000136305_CIDEB,CIDEB,1,1,6.837799889,4.934489476,1.903310413,0.002164502165,6,6,0.2028347996
ENSG00000136682_CBWD2,CBWD2,1,1,9.824668315,9.437938833,0.3867294823,0.002164502165,6,6,0.2028347996
ENSG00000137074_APTX,APTX,1,1,9.736928619,9.463215246,0.2737133731,0.002164502165,6,6,0.2028347996
ENSG00000137822_TUBGCP4,TUBGCP4,1,1,11.15095965,10.87778444,0.2731752151,0.002164502165,6,6,0.2028347996
ENSG00000138107_ACTR1A,ACTR1A,0,1,11.15051597,11.37559661,-0.225080634,0.002164502165,6,6,0.2028347996
ENSG00000138834_MAPK8IP3,MAPK8IP3,0,1,11.8612582,12.41189673,-0.5506385345,0.002164502165,6,6,0.2028347996
ENSG00000139192_TAPBPL,TAPBPL,0,1,6.761597068,7.415017959,-0.6534208905,0.002164502165,6,6,0.2028347996
ENSG00000139343_SNRPF,SNRPF,1,1,9.27594755,8.839930244,0.4360173065,0.002164502165,6,6,0.2028347996
ENSG00000140263_SORD,SORD,1,1,12.47829139,11.88855159,0.5897398078,0.002164502165,6,6,0.2028347996
ENSG00000141424_SLC39A6,SLC39A6,1,1,12.19346719,11.59753556,0.5959316326,0.002164502165,6,6,0.2028347996
ENSG00000141738_GRB7,GRB7,0,1,7.190094791,7.90499702,-0.7149022288,0.002164502165,6,6,0.2028347996
ENSG00000143258_USP21,USP21,0,1,8.600061086,8.999334576,-0.3992734898,0.002164502165,6,6,0.2028347996
