gene,baseline_value,baseline_band,baseline_source_matrix
A1BG,38.226402972030755,mid,size_factor_normalized_counts
A1BG-AS1,97.19973964018837,mid,size_factor_normalized_counts
A2M-AS1,4.9071304400925495,NA,size_factor_normalized_counts
A2ML1,2900.243514766197,head,size_factor_normalized_counts
A4GALT,1031.5549041589907,mid,size_factor_normalized_counts
AAAS,869.7691688846419,mid,size_factor_normalized_counts
AACS,2318.521067790359,NA,size_factor_normalized_counts
AADAT,90.59114531856778,mid,size_factor_normalized_counts
AAGAB,1475.1927695735467,NA,size_factor_normalized_counts
AAK1,1421.6283372855532,NA,size_factor_normalized_counts
AAMDC,76.92099383421925,mid,size_factor_normalized_counts
AAMP,2011.291174437768,NA,size_factor_normalized_counts
AAR2,804.7031177408076,mid,size_factor_normalized_counts
AARD,158.17255954410683,mid,size_factor_normalized_counts
AARS,2865.7093272437523,head,size_factor_normalized_counts
AARS2,435.57276037168526,mid,size_factor_normalized_counts
AARSD1,375.22307184479905,mid,size_factor_normalized_counts
AASDH,384.814097995104,mid,size_factor_normalized_counts
AASDHPPT,1612.8633485818045,NA,size_factor_normalized_counts
AASS,157.07474689556966,mid,size_factor_normalized_counts
AATBC,21.12623105605955,NA,size_factor_normalized_counts
AATF,1260.1211412213959,NA,size_factor_normalized_counts
AATK,216.30490434352114,mid,size_factor_normalized_counts
ABALON,6.533809697267857,NA,size_factor_normalized_counts
ABAT,42.67945142783789,mid,size_factor_normalized_counts
ABCA1,30.330347321906654,mid,size_factor_normalized_counts
ABCA10,18.272769188861105,NA,size_factor_normalized_counts
ABCA12,1828.7141709410403,NA,size_factor_normalized_counts
ABCA2,1602.3630393197504,NA,size_factor_normalized_counts
ABCA3,343.3744159399836,mid,size_factor_normalized_counts
ABCA4,44.59116327655173,mid,size_factor_normalized_counts
ABCA5,483.7023147541262,mid,size_factor_normalized_counts
ABCA6,42.27955478068572,mid,size_factor_normalized_counts
ABCA7,1396.5691927146215,NA,size_factor_normalized_counts
ABCA9,4.988408445792414,NA,size_factor_normalized_counts
ABCB10,989.5592628266654,mid,size_factor_normalized_counts
ABCB11,3.334636520050483,tail,size_factor_normalized_counts
ABCB6,973.9568002063836,mid,size_factor_normalized_counts
ABCB7,1100.3890745199415,mid,size_factor_normalized_counts
ABCB8,682.9135405630232,mid,size_factor_normalized_counts
ABCB9,198.02564177331288,mid,size_factor_normalized_counts
ABCC1,2252.322498804896,NA,size_factor_normalized_counts
ABCC10,569.9823683410671,mid,size_factor_normalized_counts
ABCC11,2.053668572894103,tail,size_factor_normalized_counts
ABCC2,446.95302179056523,mid,size_factor_normalized_counts
ABCC3,2602.6122600884364,NA,size_factor_normalized_counts
ABCC4,84.17981220143874,mid,size_factor_normalized_counts
ABCC5,626.7253745190585,mid,size_factor_normalized_counts
ABCC6,7.414880997272067,NA,size_factor_normalized_counts
ABCD1,493.61733378405256,mid,size_factor_normalized_counts
ABCD3,2719.921696141847,NA,size_factor_normalized_counts
ABCD4,397.0226517729793,mid,size_factor_normalized_counts
ABCE1,5577.778404596271,head,size_factor_normalized_counts
ABCF1,1820.4041127378914,NA,size_factor_normalized_counts
ABCF2,2219.9125093847065,NA,size_factor_normalized_counts
ABCF3,1094.7298427413307,mid,size_factor_normalized_counts
ABCG2,116.18453073630678,mid,size_factor_normalized_counts
