legacy_position,sample_id,group_label,time_h,dox,myc,cpt_level,replicate,background_context,Sample,Time,Induction,Stress,Condition
1,1_4_ctrl_RP1,4_ctrl,4,None_Dox,None_MYC,None_CPT,1,baseline_background,1_4_ctrl_RP1,4 hours,CTRL,NoCPT,CTRL
2,2_4_Tam_RP1,4_Tam,4,None_Dox,MYC,None_CPT,1,MYC_background,2_4_Tam_RP1,4 hours,TAM,NoCPT,TAM
3,3_4_ctrl_RP2,4_ctrl,4,None_Dox,None_MYC,None_CPT,2,baseline_background,3_4_ctrl_RP2,4 hours,CTRL,NoCPT,CTRL
4,4_4_Tam_RP2,4_Tam,4,None_Dox,MYC,None_CPT,2,MYC_background,4_4_Tam_RP2,4 hours,TAM,NoCPT,TAM
5,5_4D_RP1,4D,4,Dox,None_MYC,None_CPT,1,baseline_background,5_4D_RP1,4 hours,DOX,NoCPT,DOX
6,6_4DT_RP1,4DT,4,Dox,MYC,None_CPT,1,MYC_background,6_4DT_RP1,4 hours,DOX+TAM,NoCPT,DOX+TAM
7,7_4D_RP2,4D,4,Dox,None_MYC,None_CPT,2,baseline_background,7_4D_RP2,4 hours,DOX,NoCPT,DOX
8,8_4DT_RP2,4DT,4,Dox,MYC,None_CPT,2,MYC_background,8_4DT_RP2,4 hours,DOX+TAM,NoCPT,DOX+TAM
9,9_4D_L_CPT_RP1,4D_L_CPT,4,Dox,None_MYC,LCPT,1,LCPT,9_4D_L_CPT_RP1,4 hours,DOX,CPT_low,DOX+CPT_low
10,10_4DT_L_CPT_RP1,4DT_L_CPT,4,Dox,MYC,LCPT,1,LCPT,10_4DT_L_CPT_RP1,4 hours,DOX+TAM,CPT_low,DOX+TAM+CPT_low
11,11_4D_L_CPT_RP2,4D_L_CPT,4,Dox,None_MYC,LCPT,2,LCPT,11_4D_L_CPT_RP2,4 hours,DOX,CPT_low,DOX+CPT_low
12,12_4DT_L_CPT_RP2,4DT_L_CPT,4,Dox,MYC,LCPT,2,LCPT,12_4DT_L_CPT_RP2,4 hours,DOX+TAM,CPT_low,DOX+TAM+CPT_low
13,13_4D_H_CPT_RP1,4D_H_CPT,4,Dox,None_MYC,HCPT,1,HCPT,13_4D_H_CPT_RP1,4 hours,DOX,CPT_high,DOX+CPT_high
14,14_4DT_H_CPT_RP1,4DT_H_CPT,4,Dox,MYC,HCPT,1,HCPT,14_4DT_H_CPT_RP1,4 hours,DOX+TAM,CPT_high,DOX+TAM+CPT_high
15,15_4D_H_CPT_RP2,4D_H_CPT,4,Dox,None_MYC,HCPT,2,HCPT,15_4D_H_CPT_RP2,4 hours,DOX,CPT_high,DOX+CPT_high
16,16_4DT_H_CPT_RP2,4DT_H_CPT,4,Dox,MYC,HCPT,2,HCPT,16_4DT_H_CPT_RP2,4 hours,DOX+TAM,CPT_high,DOX+TAM+CPT_high
17,17_24_ctrl_RP1,24_ctrl,24,None_Dox,None_MYC,None_CPT,1,baseline_background,17_24_ctrl_RP1,24 hours,CTRL,NoCPT,CTRL
18,18_24_Tam_RP1,24_Tam,24,None_Dox,MYC,None_CPT,1,MYC_background,18_24_Tam_RP1,24 hours,TAM,NoCPT,TAM
19,19_24_ctrl_RP2,24_ctrl,24,None_Dox,None_MYC,None_CPT,2,baseline_background,19_24_ctrl_RP2,24 hours,CTRL,NoCPT,CTRL
20,20_24_Tam_RP2,24_Tam,24,None_Dox,MYC,None_CPT,2,MYC_background,20_24_Tam_RP2,24 hours,TAM,NoCPT,TAM
21,21_24D_RP1,24D,24,Dox,None_MYC,None_CPT,1,baseline_background,21_24D_RP1,24 hours,DOX,NoCPT,DOX
22,22_24DT_RP1,24DT,24,Dox,MYC,None_CPT,1,MYC_background,22_24DT_RP1,24 hours,DOX+TAM,NoCPT,DOX+TAM
23,23_24D_RP2,24D,24,Dox,None_MYC,None_CPT,2,baseline_background,23_24D_RP2,24 hours,DOX,NoCPT,DOX
24,24_24DT_RP2,24DT,24,Dox,MYC,None_CPT,2,MYC_background,24_24DT_RP2,24 hours,DOX+TAM,NoCPT,DOX+TAM
25,25_24D_L_CPT_RP1,24D_L_CPT,24,Dox,None_MYC,LCPT,1,LCPT,25_24D_L_CPT_RP1,24 hours,DOX,CPT_low,DOX+CPT_low
26,26_24DT_L_CPT_RP1,24DT_L_CPT,24,Dox,MYC,LCPT,1,LCPT,26_24DT_L_CPT_RP1,24 hours,DOX+TAM,CPT_low,DOX+TAM+CPT_low
27,27_24D_L_CPT_RP2,24D_L_CPT,24,Dox,None_MYC,LCPT,2,LCPT,27_24D_L_CPT_RP2,24 hours,DOX,CPT_low,DOX+CPT_low
28,28_24DT_L_CPT_RP2,24DT_L_CPT,24,Dox,MYC,LCPT,2,LCPT,28_24DT_L_CPT_RP2,24 hours,DOX+TAM,CPT_low,DOX+TAM+CPT_low
29,29_24D_H_CPT_RP1,24D_H_CPT,24,Dox,None_MYC,HCPT,1,HCPT,29_24D_H_CPT_RP1,24 hours,DOX,CPT_high,DOX+CPT_high
30,30_24DT_H_CPT_RP1,24DT_H_CPT,24,Dox,MYC,HCPT,1,HCPT,30_24DT_H_CPT_RP1,24 hours,DOX+TAM,CPT_high,DOX+TAM+CPT_high
31,31_24D_H_CPT_RP2,24D_H_CPT,24,Dox,None_MYC,HCPT,2,HCPT,31_24D_H_CPT_RP2,24 hours,DOX,CPT_high,DOX+CPT_high
32,32_24DT_H_CPT_RP2,24DT_H_CPT,24,Dox,MYC,HCPT,2,HCPT,32_24DT_H_CPT_RP2,24 hours,DOX+TAM,CPT_high,DOX+TAM+CPT_high
