Sample,Time_sheet,Induction_sheet,Stress_sheet,Condition_sheet,Time_parsed,Induction_parsed,Stress_parsed,Condition_parsed,Time_match,Induction_match,Stress_match,Condition_match
5_4D_RP1,4 hours,DOX,NoCPT,DOX,NA,OTHER,NoCPT,OTHER,NA,FALSE,TRUE,FALSE
6_4DT_RP1,4 hours,DOX+TAM,NoCPT,DOX+TAM,NA,OTHER,NoCPT,OTHER,NA,FALSE,TRUE,FALSE
7_4D_RP2,4 hours,DOX,NoCPT,DOX,NA,OTHER,NoCPT,OTHER,NA,FALSE,TRUE,FALSE
8_4DT_RP2,4 hours,DOX+TAM,NoCPT,DOX+TAM,NA,OTHER,NoCPT,OTHER,NA,FALSE,TRUE,FALSE
9_4D_L_CPT_RP1,4 hours,DOX,CPT_low,DOX+CPT_low,NA,OTHER,CPT_low,OTHER+CPT_low,NA,FALSE,TRUE,FALSE
10_4DT_L_CPT_RP1,4 hours,DOX+TAM,CPT_low,DOX+TAM+CPT_low,NA,OTHER,CPT_low,OTHER+CPT_low,NA,FALSE,TRUE,FALSE
11_4D_L_CPT_RP2,4 hours,DOX,CPT_low,DOX+CPT_low,NA,OTHER,CPT_low,OTHER+CPT_low,NA,FALSE,TRUE,FALSE
12_4DT_L_CPT_RP2,4 hours,DOX+TAM,CPT_low,DOX+TAM+CPT_low,NA,OTHER,CPT_low,OTHER+CPT_low,NA,FALSE,TRUE,FALSE
13_4D_H_CPT_RP1,4 hours,DOX,CPT_high,DOX+CPT_high,NA,OTHER,CPT_high,OTHER+CPT_high,NA,FALSE,TRUE,FALSE
14_4DT_H_CPT_RP1,4 hours,DOX+TAM,CPT_high,DOX+TAM+CPT_high,NA,OTHER,CPT_high,OTHER+CPT_high,NA,FALSE,TRUE,FALSE
15_4D_H_CPT_RP2,4 hours,DOX,CPT_high,DOX+CPT_high,NA,OTHER,CPT_high,OTHER+CPT_high,NA,FALSE,TRUE,FALSE
16_4DT_H_CPT_RP2,4 hours,DOX+TAM,CPT_high,DOX+TAM+CPT_high,NA,OTHER,CPT_high,OTHER+CPT_high,NA,FALSE,TRUE,FALSE
21_24D_RP1,24 hours,DOX,NoCPT,DOX,NA,OTHER,NoCPT,OTHER,NA,FALSE,TRUE,FALSE
22_24DT_RP1,24 hours,DOX+TAM,NoCPT,DOX+TAM,NA,OTHER,NoCPT,OTHER,NA,FALSE,TRUE,FALSE
23_24D_RP2,24 hours,DOX,NoCPT,DOX,NA,OTHER,NoCPT,OTHER,NA,FALSE,TRUE,FALSE
24_24DT_RP2,24 hours,DOX+TAM,NoCPT,DOX+TAM,24 hours,OTHER,NoCPT,OTHER,TRUE,FALSE,TRUE,FALSE
25_24D_L_CPT_RP1,24 hours,DOX,CPT_low,DOX+CPT_low,NA,OTHER,CPT_low,OTHER+CPT_low,NA,FALSE,TRUE,FALSE
26_24DT_L_CPT_RP1,24 hours,DOX+TAM,CPT_low,DOX+TAM+CPT_low,NA,OTHER,CPT_low,OTHER+CPT_low,NA,FALSE,TRUE,FALSE
27_24D_L_CPT_RP2,24 hours,DOX,CPT_low,DOX+CPT_low,NA,OTHER,CPT_low,OTHER+CPT_low,NA,FALSE,TRUE,FALSE
28_24DT_L_CPT_RP2,24 hours,DOX+TAM,CPT_low,DOX+TAM+CPT_low,NA,OTHER,CPT_low,OTHER+CPT_low,NA,FALSE,TRUE,FALSE
29_24D_H_CPT_RP1,24 hours,DOX,CPT_high,DOX+CPT_high,NA,OTHER,CPT_high,OTHER+CPT_high,NA,FALSE,TRUE,FALSE
30_24DT_H_CPT_RP1,24 hours,DOX+TAM,CPT_high,DOX+TAM+CPT_high,NA,OTHER,CPT_high,OTHER+CPT_high,NA,FALSE,TRUE,FALSE
31_24D_H_CPT_RP2,24 hours,DOX,CPT_high,DOX+CPT_high,NA,OTHER,CPT_high,OTHER+CPT_high,NA,FALSE,TRUE,FALSE
32_24DT_H_CPT_RP2,24 hours,DOX+TAM,CPT_high,DOX+TAM+CPT_high,NA,OTHER,CPT_high,OTHER+CPT_high,NA,FALSE,TRUE,FALSE
