gs_name,gene_symbol
HALLMARK_APOPTOSIS,ANXA1
HALLMARK_APOPTOSIS,APP
HALLMARK_APOPTOSIS,EMP1
HALLMARK_APOPTOSIS,HSPB1
HALLMARK_APOPTOSIS,KRT18
HALLMARK_APOPTOSIS,LGALS3
HALLMARK_DNA_REPAIR,ARL6IP1
HALLMARK_DNA_REPAIR,DDB1
HALLMARK_DNA_REPAIR,IMPDH2
HALLMARK_DNA_REPAIR,SEC61A1
HALLMARK_DNA_REPAIR,SSRP1
HALLMARK_DNA_REPAIR,TMED2
HALLMARK_E2F_TARGETS,HMGA1
HALLMARK_E2F_TARGETS,IPO7
HALLMARK_E2F_TARGETS,NAP1L1
HALLMARK_E2F_TARGETS,PRKDC
HALLMARK_E2F_TARGETS,RAN
HALLMARK_E2F_TARGETS,TUBB
HALLMARK_G2M_CHECKPOINT,HMGA1
HALLMARK_G2M_CHECKPOINT,HNRNPU
HALLMARK_G2M_CHECKPOINT,HSPA8
HALLMARK_G2M_CHECKPOINT,NCL
HALLMARK_G2M_CHECKPOINT,SLC38A1
HALLMARK_G2M_CHECKPOINT,SLC7A5
HALLMARK_GLYCOLYSIS,ALDOA
HALLMARK_GLYCOLYSIS,DDIT4
HALLMARK_GLYCOLYSIS,ENO1
HALLMARK_GLYCOLYSIS,LDHA
HALLMARK_GLYCOLYSIS,PKM
HALLMARK_GLYCOLYSIS,PPIA
HALLMARK_MTORC1_SIGNALING,ALDOA
HALLMARK_MTORC1_SIGNALING,GAPDH
HALLMARK_MTORC1_SIGNALING,LDHA
HALLMARK_MTORC1_SIGNALING,PPIA
HALLMARK_MTORC1_SIGNALING,SCD
HALLMARK_MTORC1_SIGNALING,SLC7A5
HALLMARK_MYC_TARGETS_V1,PABPC1
HALLMARK_MYC_TARGETS_V1,RACK1
HALLMARK_MYC_TARGETS_V1,RPLP0
HALLMARK_MYC_TARGETS_V1,RPS2
HALLMARK_MYC_TARGETS_V1,RPS3
HALLMARK_MYC_TARGETS_V1,RPS6
HALLMARK_OXIDATIVE_PHOSPHORYLATION,ATP5F1A
HALLMARK_OXIDATIVE_PHOSPHORYLATION,ATP5F1B
HALLMARK_OXIDATIVE_PHOSPHORYLATION,GPI
HALLMARK_OXIDATIVE_PHOSPHORYLATION,LDHA
HALLMARK_OXIDATIVE_PHOSPHORYLATION,SLC25A3
HALLMARK_OXIDATIVE_PHOSPHORYLATION,SLC25A6
HALLMARK_P53_PATHWAY,APP
HALLMARK_P53_PATHWAY,CTSD
HALLMARK_P53_PATHWAY,DDIT4
HALLMARK_P53_PATHWAY,PERP
HALLMARK_P53_PATHWAY,RACK1
HALLMARK_P53_PATHWAY,RPS12
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,MGST1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,NQO1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,PRDX1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,PRDX6
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,SOD2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,TXNRD1
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,ATR
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,MCM3
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,MCM4
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,MCM6
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,MCM7
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,RPA1
WP_DNA_REPLICATION,MCM3
WP_DNA_REPLICATION,MCM4
WP_DNA_REPLICATION,MCM7
WP_DNA_REPLICATION,POLD2
WP_DNA_REPLICATION,UBA52
WP_DNA_REPLICATION,UBC
