pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,Contrast,Time,Stress,Numerator,Denominator,N_num,N_den,RankStatistic,sig,LeadingEdgeSize,LeadingEdgeHeadFrac
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,0.9404860307488841,1,0.17202816623455214,0.786294154914714,5688,167,FASTK;POLRMT;MRPL12;THAP11;MRPS34;SLC25A33;MRPL41;MTG1;MRPL23;MRPL55;RCC1L;GTPBP3;AURKAIP1;MRPS16;CHCHD10;TBRG4;MRPL4;GADD45GIP1;FASTKD5;TWNK;MRPL38;AARS2;MRPS26;MRPS12;MTG2;YARS2;TACO1;MRPL37;SUPV3L1;MRPL30;MRPS24;MRPL51;DARS2;GATC;MRPL2;HSD17B10;MRPL54;TRUB2;TUFM;MRPL52;MRPS18B;MRPL16;RPUSD4;KANSL3;TFB1M;MRPS2;MRPL28;MRPL53;MRPL1;TARS2;MTO1;MRPL57;MRPS30;MRPL44;EARS2,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,55,0.01818181818181818
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,0.13705054715997916,0.3825994441549418,0.28861125500041296,1.2122119649909655,788,96,ATP5F1D;NDUFAF8;SDHAF4;NDUFS6;UQCC3;MT-ND6;SLC25A33;SDHAF1;COX17;SCO2;NDUFS7;SURF1;ECSIT;NDUFC2;NDUFS5;NDUFB2;HIGD2A;TMEM223;NDUFS8;TACO1;NDUFAF1;UQCRFS1;COX19;FXN,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,0.41725566525649327,24,0.125
GOBP_MITOCHONDRIAL_TRANSLATION,0.9998305946129087,1,0.12792578827106044,0.5627453381337029,5901,129,MRPL12;MRPS34;MRPL41;MTG1;MRPL23;MRPL55;RCC1L;AURKAIP1;MRPS16;MRPL4;GADD45GIP1;MRPL38;AARS2;MRPS26;MRPS12;MTG2;YARS2;TACO1;MRPL37;MRPL30;MRPS24;MRPL51;DARS2;GATC;MRPL2;MRPL54;TRUB2;TUFM;MRPL52;MRPS18B;MRPL16;RPUSD4;MRPS2;MRPL28;MRPL53;MRPL1;TARS2;MRPL57;MRPS30;MRPL44;EARS2,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,41,0.024390243902439025
GOMF_HEAT_SHOCK_PROTEIN_BINDING,1,1,0.1198176516162815,0.5183217023268186,5836,115,ETFBKMT;TELO2;HSPA1B;ZFP36;USP19;CDK5;STUB1;HSPA6;HSF1;PDXP;UNC45A;IRAK1;DNAJB2;DNAJB1;TSC2;METTL23;EEF1D;EEF1AKMT3;ITGAM,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,19,0.2631578947368421
GOMF_RNA_ENDONUCLEASE_ACTIVITY,0.46366906474820146,1,0.25302349902655163,0.9942168208418435,2577,66,NUDT16L1;ENDOG;PLD6;MBLAC1;RNASEK;RNASET2;ENDOV;TSEN34;RPP25;CWF19L1;KHNYN;ERN2;POP7;TMBIM6;INTS11;NYNRIN,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,16,0.0625
HALLMARK_ADIPOGENESIS,0.03197389885807504,0.1260147778524134,0.2854687382041299,1.3226892108824686,195,186,LTC4S;HSPB8;PEMT;PIM3;TST;DGAT1;ECHS1;ESRRA;SLC19A1;PLIN2;SLC27A1;UQCR11;REEP6;UCK1;GPX4;ADCY6;CYC1;SORBS1;ABCB8;PFKL;OMD;SLC25A1;SLC25A10;MIGA2;CHCHD10;ETFB;RAB34;VEGFB;DDT;ACADS;SLC1A5;ALDOA;CD151;AGPAT3;EPHX2;ALDH2;DHRS7B;NDUFB7;SLC5A6;PREB;SNCG;ARAF;GADD45A;RTN3;RNF11;MTCH2;STAT5A;CS;SULT1A1;CYP4B1;COX8A,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,0.8995785218393864,51,0.19607843137254902
HALLMARK_ANDROGEN_RESPONSE,0.025821596244131457,0.10812793427230047,-0.32046938754212656,-1.400303472226511,109,95,NDRG1;HMGCS1;INPP4B;IDI1;ABCC4;MYL12A;FADS1;HMGCR;TNFAIP8;NKX3-1;FKBP5;PIAS1;IQGAP2;SRP19;CENPN;B2M;LMAN1;ELL2;UAP1;LIFR;ALDH1A3;SELENOP;ACSL3;ARID5B;PLPP1;SMS;PGM3;RPS6KA3;ABHD2;SEC24D;PTPN21;PDLIM5;XRCC6;ELOVL5;APPBP2;DNAJB9;TPD52;ELK4;PA2G4;STEAP4;GNAI3;RAB4A;XRCC5;UBE2J1;ANKH;INSIG1;ITGAV;CDK6;MAP7;HERC3;SCD;TMPRSS2;BMPR1B,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,0.9660620938995922,53,0.4339622641509434
HALLMARK_ANGIOGENESIS,0.4617363344051447,1,-0.3105272430337095,-0.9945439357080212,2153,23,STC1;VEGFA,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,2,0.5
HALLMARK_APICAL_JUNCTION,0.6800200300450676,1,0.2006790375978872,0.9073591017653879,4073,156,AMH;PKD1;MAPK11;SPEG;ACTA1;PARD6G;CLDN4;TSPAN4;CLDN15;MDK;WNK4;NECTIN1;ADAM15;CRB3;NECTIN4;NECTIN2;GRB7;CLDN6;ICAM5;HRAS;FSCN1;SYMPK;NLGN2;VASP;INPPL1;SORBS3;TAOK2;TMEM8B;SRC;CLDN7;JUP;B4GALT1;ACTB;GAMT;ADRA1B;IKBKG;NLGN3;CD99;ZYX;CLDN8;SDC3;ACTG1;RHOF;CRAT;DHX16;MVD;COL16A1;AKT2;LDLRAP1;CD276;PIK3CB;LAMB3;NRTN;MAP4K2,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,54,0.24074074074074073
HALLMARK_APICAL_SURFACE,0.7388717496694579,1,-0.24063040962121612,-0.834389310666648,3352,32,ATP6V0A4;AFAP1L2;BRCA1;SULF2;SHROOM2,D_vs_Ctrl,4 hours,NoCPT,DOX,CTRL,2,2,vst_mean_diff,-0,5,0.2
