pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_ADIPOGENESIS,2.9976019184652276e-4,5.635580802957553e-4,-0.548577129942832,-2.759518567989599,0,186,SOWAHC;IDH1;APOE;COX7B;GADD45A;GPX4;CMPK1;PRDX3;ALDOA;GHITM;COX8A;MGST3;UQCR10;ATP5PO;COX6A1;SOD1;DECR1;TOB1;PTGER3;MDH2;GRPEL1;SNCG;PHYH;UQCRQ;SCP2;PGM1;NDUFA5;CRAT;RTN3;RNF11;ECHS1;DLD;SUCLG1;CHCHD10;SLC66A3;REEP5;SDHC;NDUFAB1;CAT;ECH1;DBT;ACADM;CD302;DDT;TALDO1;DNAJC15;G3BP2;SLC25A1;DRAM2;CAVIN1;SQOR;CS;ACAA2;UQCR11;UQCRC1;TST;ME1;SDHB;ACOX1;YWHAG;APLP2;TKT;NDUFS3;STOM;REEP6;CMBL;COQ5;NDUFB7;MTCH2;AIFM1;SSPN;BCKDHA;DHRS7;CPT2;MRPL15;VEGFB;UBC;IDH3A;ATP1B3;DHCR7;ACO2;DLAT;CYC1;COQ3;HADH;IMMT;PDCD4;IDH3G;DNAJB9;QDPR;ETFB;RAB34;GBE1;LIFR;UBQLN1;LTC4S;CAVIN2;PEMT;ACLY;ADIPOR2;ANGPTL4;GPD2;ACADS
HALLMARK_ALLOGRAFT_REJECTION,2.722570106180234e-4,5.635580802957553e-4,-0.4247887672825132,-1.983941789216194,0,115,SOCS1;RPL39;RPS3A;RPL9;IL6;EIF5A;CTSS;EREG;B2M;NPM1;GALNT1;LIF;INHBA;RPS19;TPD52;CD79A;CAPG;RPS9;DEGS1;UBE2N;TNF;IL18;TLR3;SRGN;MRPL3;CD4;CD47;NME1;HLA-E;EIF3D;CCL22;PRKCG;UBE2D1;TIMP1;GBP2;TAPBP;ABCE1;PSMB10;EIF3J;TGFB2;TGFB1;BCL10;HLA-A;BCAT1
HALLMARK_ANDROGEN_RESPONSE,2.6308866087871614e-4,5.635580802957553e-4,-0.5239909735637059,-2.374336667434138,0,95,NKX3-1;IDI1;HPGD;SCD;DBI;STEAP4;ALDH1A3;B2M;MYL12A;LMAN1;NCOA4;B4GALT1;SMS;SELENOP;KRT8;XRCC6;CCND1;TPD52;INSIG1;SPCS3;NDRG1;TMEM50A;ADRM1;RAB4A;GSR;TSC22D1;UBE2J1;GPD1L;SRF;ITGAV;KRT19;XRCC5;ELOVL5;PMEPA1;HMGCS1;CENPN;SAT1;SORD;HMGCR;SLC26A2;GNAI3;DNAJB9;PA2G4;RPS6KA3;ABHD2;UBE2I
HALLMARK_ANGIOGENESIS,0.028715828164484265,0.038805173195249,-0.46389824211309,-1.5370306797918336,124,23,STC1;SERPINA5;S100A4;PDGFA;FSTL1;ITGAV;JAG1;APP;TIMP1
HALLMARK_APICAL_JUNCTION,0.13611667143265657,0.1659959407715324,-0.23634173756990376,-1.160035318202973,475,156,ACTG1;ACTB;MSN;MYL12B;CNN2;B4GALT1;CRAT;ITGB1;PFN1;CLDN9;YWHAH;RSU1;SKAP2;CAP1;FSCN1;INSIG1;ADAM9;MMP2;GNAI2;CD99;RRAS;CTNNA1;RAC2;PARVA;ARPC2;MDK;CLDN8;PTEN;VASP;TGFBI;CDH1;HADH;RHOF;CLDN6;MPZL2
HALLMARK_APICAL_SURFACE,0.7658647140864714,0.7658647140864714,0.2365183600753387,0.8093218856775045,4392,32,CROCC;RTN4RL1;NCOA6;BRCA1;EFNA5;AFAP1L2;GAS1
HALLMARK_APOPTOSIS,2.8129395218002813e-4,5.635580802957553e-4,-0.515901733057751,-2.4897747278666165,0,140,IER3;PMAIP1;RHOB;JUN;EGR3;ATF3;CCNA1;BTG2;GADD45A;IL1A;SC5D;GPX4;IL6;HSPB1;BNIP3L;SOD2;LGALS3;CDKN1A;SOD1;EREG;ANXA1;CASP3;TSPO;NEDD9;DAP;PEA15;CAV1;CCND1;EBP;VDAC2;TNFRSF12A;GSN;MMP2;IFITM3;KRT18;DNAJC3;TIMP2;TNF;IL18;BIK;GSR;IGFBP6;PPT1;DNAJA1;CLU;EMP1;ISG20;BTG3;APP;SAT1;CTNNB1;TIMP1;ETF1;PDCD4;BID;DIABLO;BMP2;CASP4;LMNA;CDKN1B;GADD45B;TGFB2;BCL10;CTH;CASP1;MGMT
HALLMARK_BILE_ACID_METABOLISM,0.006522306287503261,0.009317580410718944,-0.3447248487257044,-1.5417411116951902,24,89,IDI1;IDH1;PRDX5;SOD1;PHYH;SCP2;ALDH9A1;CAT;IDH2;SULT1B1;ACSL1;BBOX1;HSD17B4;RBP1;ISOC1;ALDH1A1;PXMP2;ABCD3;GCLM;ABCG4;PEX12;DIO2;FADS2;GNPAT;AMACR;CH25H;PEX19;SLC35B2;PECR;HSD17B11;NUDT12;ACSL5;FADS1;FDXR;GSTK1;RETSAT;DHCR24
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.5406504065040653e-4,5.635580802957553e-4,-0.6001335977679029,-2.5628728251950847,0,69,ATF3;IDI1;ACTG1;SC5D;CYP51A1;SCD;ALDOC;ACAT2;ATF5;LGALS3;ANXA5;S100A11;PDK3;ECH1;MAL2;EBP;FABP5;STARD4;TNFRSF12A;TMEM97;CD9;ETHE1;ALCAM;CLU;FDFT1;JAG1;HMGCS1;NFIL3;CXCL16;GPX8;CTNNB1;PMVK;DHCR7;HMGCR;FADS2;NSDHL;FDPS
HALLMARK_COAGULATION,2.6062027625749283e-4,5.635580802957553e-4,-0.5555988616159994,-2.4931024935878408,0,90,DUSP6;GNG12;ARF4;LAMP2;ANXA1;MSRB2;PRSS23;CTSV;CTSO;RAC1;MAFF;PROS1;LTA4H;ADAM9;GSN;CTSH;MMP2;CD9;DUSP14;MMP7;PLAU;GNB2;HMGCS2;THBS1;CLU;SERPINE1;FN1;F3;CTSB;WDR1;F8;CFH;ISCU;CAPN5;CFI;TIMP1;CSRP1;PEF1;ACOX2;APOC1;KLK8;CRIP2;FGG;ANG;FURIN;LGMN;CAPN2;RABIF;HTRA1;CFD;TIMP3;CPQ
