Cluster,Description,score,FDR,Count,TermLabel,Dominant,ModuleLabel
M1,HALLMARK_MYC_TARGETS_V1,4.434527454085802e-8,0.9999998978912371,4,MYC Targets V1,Mitotic Spindle,M1 - Mitotic Spindle
M1,HALLMARK_E2F_TARGETS,5.017286626108124,9.609778419279156e-6,46,E2F Targets,Mitotic Spindle,M1 - Mitotic Spindle
M1,HALLMARK_G2M_CHECKPOINT,6.8780928339082505,1.3240584768862567e-7,50,G2M Checkpoint,Mitotic Spindle,M1 - Mitotic Spindle
M1,HALLMARK_GLYCOLYSIS,4.434527454085802e-8,0.9999998978912371,10,Glycolysis,Mitotic Spindle,M1 - Mitotic Spindle
M1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.434527454085802e-8,0.9999998978912371,4,"Oxidative
Phosphorylation",Mitotic Spindle,M1 - Mitotic Spindle
M1,REACTOME_MITOCHONDRIAL_TRANSLATION,4.434527454085802e-8,0.9999998978912371,1,"Mitochondrial
Translation",Mitotic Spindle,M1 - Mitotic Spindle
M1,HALLMARK_DNA_REPAIR,4.434527454085802e-8,0.9999998978912371,17,DNA Repair,Mitotic Spindle,M1 - Mitotic Spindle
M1,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,4.434527454085802e-8,0.9999998978912371,4,"Activation Of
ATR In Response
To Replic...",Mitotic Spindle,M1 - Mitotic Spindle
M1,HALLMARK_P53_PATHWAY,4.434527454085802e-8,0.9999998978912371,17,P53 Pathway,Mitotic Spindle,M1 - Mitotic Spindle
M1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,4.434527454085802e-8,0.9999998978912371,3,"Reactive Oxygen
Species Pathway",Mitotic Spindle,M1 - Mitotic Spindle
M2,HALLMARK_MYC_TARGETS_V1,1.8147389295205495e-11,0.9999999999582141,20,MYC Targets V1,Mitochondrial Translation,M2 - Mitochondrial Translation
M2,HALLMARK_E2F_TARGETS,1.8147389295205495e-11,0.9999999999582141,23,E2F Targets,Mitochondrial Translation,M2 - Mitochondrial Translation
M2,HALLMARK_G2M_CHECKPOINT,1.8147389295205495e-11,0.9999999999582141,13,G2M Checkpoint,Mitochondrial Translation,M2 - Mitochondrial Translation
M2,HALLMARK_GLYCOLYSIS,1.8147389295205495e-11,0.9999999999582141,33,Glycolysis,Mitochondrial Translation,M2 - Mitochondrial Translation
M2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.605080196617806,2.4826746134206126e-5,65,"Oxidative
Phosphorylation",Mitochondrial Translation,M2 - Mitochondrial Translation
M2,REACTOME_MITOCHONDRIAL_TRANSLATION,18.113129364964465,7.706738712860907e-19,58,"Mitochondrial
Translation",Mitochondrial Translation,M2 - Mitochondrial Translation
