Cluster,Description,score,FDR,Count
M1,HALLMARK_MITOTIC_SPINDLE,16.613716254972594,2.4337936016588338e-17,68
M1,HALLMARK_G2M_CHECKPOINT,6.8780928339082505,1.3240584768862567e-7,50
M1,HALLMARK_E2F_TARGETS,5.017286626108124,9.609778419279156e-6,46
M1,REACTOME_CELL_CYCLE_CHECKPOINTS,2.090422862749608,0.008120394665848294,44
M1,HALLMARK_UV_RESPONSE_DN,1.057784307253576,0.08754184446396913,24
M1,WP_RAS_SIGNALING,0.5632233608760246,0.2733862318989389,24
M1,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.25687734037785953,0.553506416293005,27
M1,HALLMARK_TGF_BETA_SIGNALING,0.25687734037785953,0.553506416293005,10
M1,WP_CELL_CYCLE,0.21155900570872122,0.6143855521330929,18
M1,WP_PYRIMIDINE_METABOLISM,0.14026301547952516,0.7239973632365295,12
M1,HALLMARK_HEDGEHOG_SIGNALING,0.14026301547952516,0.7239973632365295,5
M1,HALLMARK_APICAL_JUNCTION,4.434527454085802e-8,0.9999998978912371,19
M1,HALLMARK_INTERFERON_GAMMA_RESPONSE,4.434527454085802e-8,0.9999998978912371,18
M1,HALLMARK_DNA_REPAIR,4.434527454085802e-8,0.9999998978912371,17
M1,HALLMARK_ESTROGEN_RESPONSE_LATE,4.434527454085802e-8,0.9999998978912371,17
M1,HALLMARK_HEME_METABOLISM,4.434527454085802e-8,0.9999998978912371,17
M1,HALLMARK_P53_PATHWAY,4.434527454085802e-8,0.9999998978912371,17
M1,HALLMARK_IL2_STAT5_SIGNALING,4.434527454085802e-8,0.9999998978912371,15
M1,HALLMARK_INTERFERON_ALPHA_RESPONSE,4.434527454085802e-8,0.9999998978912371,13
M1,HALLMARK_KRAS_SIGNALING_DN,4.434527454085802e-8,0.9999998978912371,13
M1,REACTOME_MRNA_SPLICING,4.434527454085802e-8,0.9999998978912371,13
M1,GOBP_MITOCHONDRIAL_GENE_EXPRESSION,4.434527454085802e-8,0.9999998978912371,12
M1,GOMF_HEAT_SHOCK_PROTEIN_BINDING,4.434527454085802e-8,0.9999998978912371,12
M1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,4.434527454085802e-8,0.9999998978912371,12
M1,HALLMARK_ADIPOGENESIS,4.434527454085802e-8,0.9999998978912371,11
M1,HALLMARK_HYPOXIA,4.434527454085802e-8,0.9999998978912371,11
M1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,4.434527454085802e-8,0.9999998978912371,11
M1,WP_APOPTOSIS,4.434527454085802e-8,0.9999998978912371,11
