gene,cluster,module_membership,lfc_sur,pc_loading,NRI,rank_early,rank_late,delta_rank
A1BG,M3,0.34725192030349084,-0.3583366685111189,-0.005301636886914796,1,0.6691729323308271,0.7117603168225908,0.04258738449176369
A1BG-AS1,M4,0.19057420079606668,0.43910754779257744,0.005916146728207559,1,0.6310049933995293,0.6117775354416576,-0.01922745795787173
A2M-AS1,M3,0.846516362194079,-0.09398348147115065,-9.573735314351902e-4,1,0.870286403030477,0.9094300637088906,0.03914366067841357
A2ML1,M5,0.550014897883522,-0.3407721216023418,-0.006156336148245951,1,0.0718590369052402,0.0840842564426333,0.012225219537393098
A4GALT,M1,0.6409467718415788,0.4986653237245111,0.008050090848683208,1,0.30052229811169145,0.217069391034839,-0.08345290707685246
AAAS,M6,0.34078955213603035,0.11037717669477054,0.0022054543007941365,1,0.32382482924869427,0.3064340239912759,-0.017390805257418374
AACS,M6,0.7581964738164877,-0.036987888864846497,3.676045819641221e-4,1,0.11318372266544223,0.10009757217471159,-0.013086150490730641
AADAT,M7,0.18614228759770857,0.5006722649364272,0.008974867079553913,1,0.6512081731045171,0.6290535499052976,-0.02215462319921946
AAGAB,M2,0.2551044318778318,-0.6465173788710636,-0.009098845521120724,1,0.20633645181656432,0.30763932732594845,0.10130287550938413
AAK1,M6,0.046872772639296234,0.3049995380581745,0.006290371288777336,1,0.29093726683120014,0.24048671296562016,-0.05045055386557998
AAMDC,M2,0.08449324251870682,-0.4719409401790067,-0.009470482307920036,1,0.629857085461746,0.678298800436205,0.04844171497445904
AAMP,M5,0.6741352648576187,-0.35951414265828774,-0.0055224075812320235,1,0.1124949779027722,0.138839465074901,0.026344487172128797
AAR2,M2,0.48457773736106813,-0.4811000479777512,-0.007342113459905186,1,0.2595419847328244,0.3404694943465534,0.08092750961372897
AARD,M4,0.028114855707711106,-0.25512570972038073,-0.005648000209018213,0.9743589743589743,0.6060953911496298,0.637318487057338,0.03122309590770811
AARS,M6,0.04849235536915075,-0.3047533035074217,-0.0019753857624692024,1,0.11777535441657579,0.13952820983757103,0.02175285542099524
AARS2,M1,0.7482492078944694,0.8450970412801873,0.01261880512550967,1,0.47661137576766344,0.36182058198932443,-0.114790793778339
AARSD1,M4,0.6466822136502063,0.23824476235755832,0.003230036831401072,1,0.47207713941341906,0.45336624002754977,-0.018710899385869284
AASDH,M4,0.01707157370900869,0.4830762184284829,0.008693602247992885,1,0.5288411869368077,0.4818343568845779,-0.04700683005222983
AASDHPPT,M5,0.08015515749147151,-0.5782483397385487,-0.008775612696086722,1,0.17654824083108533,0.26195259140216953,0.0854043505710842
AASS,M4,0.7246924542220634,0.2179326247599489,0.0011137389519964215,1,0.6064397635309648,0.6024794811456121,-0.003960282385352731
AATBC,M7,0.5130247467487659,0.8890045354108072,0.009251341074641945,0.9743589743589743,0.7994030878723526,0.7236985593755381,-0.07570452849681453
