gene,NRI,rank_early,rank_late,delta_rank
A1BG,1,0.6691729323308271,0.7117603168225908,0.04258738449176369
A1BG-AS1,1,0.6310049933995293,0.6117775354416576,-0.01922745795787173
A2M-AS1,1,0.870286403030477,0.9094300637088906,0.03914366067841357
A2ML1,1,0.0718590369052402,0.0840842564426333,0.012225219537393098
A4GALT,1,0.30052229811169145,0.217069391034839,-0.08345290707685246
AAAS,1,0.32382482924869427,0.3064340239912759,-0.017390805257418374
AACS,1,0.11318372266544223,0.10009757217471159,-0.013086150490730641
AADAT,1,0.6512081731045171,0.6290535499052976,-0.02215462319921946
AAGAB,1,0.20633645181656432,0.30763932732594845,0.10130287550938413
AAK1,1,0.29093726683120014,0.24048671296562016,-0.05045055386557998
AAMDC,1,0.629857085461746,0.678298800436205,0.04844171497445904
AAMP,1,0.1124949779027722,0.138839465074901,0.026344487172128797
AAR2,1,0.2595419847328244,0.3404694943465534,0.08092750961372897
AARD,0.9743589743589743,0.6060953911496298,0.637318487057338,0.03122309590770811
AARS,1,0.11777535441657579,0.13952820983757103,0.02175285542099524
AARS2,1,0.47661137576766344,0.36182058198932443,-0.114790793778339
AARSD1,1,0.47207713941341906,0.45336624002754977,-0.018710899385869284
AASDH,1,0.5288411869368077,0.4818343568845779,-0.04700683005222983
AASDHPPT,1,0.17654824083108533,0.26195259140216953,0.0854043505710842
AASS,1,0.6064397635309648,0.6024794811456121,-0.003960282385352731
AATBC,0.9743589743589743,0.7994030878723526,0.7236985593755381,-0.07570452849681453
AATF,1,0.29443838604143946,0.24995695345233312,-0.044481432589106334
AATK,1,0.5452562704471101,0.5860643976353096,0.04080812718819948
ABALON,0.9743589743589743,0.7874074499225162,0.8262067382195948,0.03879928829707857
ABAT,1,0.707111289674568,0.7011995637949836,-0.00591172587958444
ABCA1,1,0.7541181197267979,0.693565976008724,-0.060552143718073825
ABCA10,1,0.7748952534006772,0.7121046892039259,-0.06279056419675133
ABCA12,1,0.17603168225908283,0.13292773919531653,-0.043103943063766303
ABCA2,0.9743589743589743,0.15318831429719337,0.11232279171210469,-0.04086552258508869
ABCA3,1,0.4811456121219078,0.41250071744246114,-0.06864489467944668
ABCA4,1,0.6983297939505252,0.7282327957297825,0.02990300177925731
ABCA5,1,0.4580726625724617,0.35435918039373243,-0.10371348217872928
ABCA6,1,0.7294954944613442,0.680307639327326,-0.049187855134018243
ABCA7,0.9743589743589743,0.1762612638466395,0.09378407851690294,-0.08247718532973657
ABCA9,1,0.9399644148539287,0.830339206795615,-0.10962520805831366
ABCB10,1,0.30540090684727084,0.34150261149055844,0.0361017046432876
ABCB11,1,0.9609137347184756,0.933306548814785,-0.0276071859036906
ABCB6,1,0.27624404522757273,0.2635596625150663,-0.012684382712506437
