contrast,time_point,model,n_genes,beta_expr,beta_expr_CI_low,beta_expr_CI_high,gamma_length,gamma_length_CI_low,gamma_length_CI_high,spearman_expr_length,p_value_or_bootstrap_p,length_adjusted_head_effect,head_effect_CI_low,head_effect_CI_high
DT_H_CPT_vs_D_H_CPT_24h,24,A_spearman_baseline_expression_vs_log10_length,14109,NA,NA,NA,NA,NA,NA,0.18158830045740515,NA,NA,NA,NA
DT_H_CPT_vs_D_H_CPT_4h,4,A_spearman_baseline_expression_vs_log10_length,13173,NA,NA,NA,NA,NA,NA,0.08354818672851438,NA,NA,NA,NA
DT_vs_D_24h,24,A_spearman_baseline_expression_vs_log10_length,13373,NA,NA,NA,NA,NA,NA,0.2100004568120035,NA,NA,NA,NA
DT_vs_D_4h,4,A_spearman_baseline_expression_vs_log10_length,12863,NA,NA,NA,NA,NA,NA,0.14045026869523278,NA,NA,NA,NA
DT_H_CPT_vs_D_H_CPT_24h,24,B_unadjusted_amplifier_slope,14109,-0.014373407705824274,-0.018641338555092122,-0.010041054692159077,NA,NA,NA,NA,0,NA,NA,NA
DT_H_CPT_vs_D_H_CPT_4h,4,B_unadjusted_amplifier_slope,13173,-0.023906115099469924,-0.026052694364418857,-0.021916788768087787,NA,NA,NA,NA,0,NA,NA,NA
DT_L_CPT_vs_D_L_CPT_24h,24,B_unadjusted_amplifier_slope,13628,-0.07471140712345586,-0.07924587719671056,-0.07026393326609072,NA,NA,NA,NA,0,NA,NA,NA
DT_L_CPT_vs_D_L_CPT_4h,4,B_unadjusted_amplifier_slope,12938,-0.009530657580300094,-0.012000844880372454,-0.006999921351771623,NA,NA,NA,NA,0,NA,NA,NA
DT_vs_D_24h,24,B_unadjusted_amplifier_slope,13373,-0.06795566773675746,-0.07134556252122358,-0.06434055022807281,NA,NA,NA,NA,0,NA,NA,NA
DT_vs_D_4h,4,B_unadjusted_amplifier_slope,12863,0.004883755548444693,0.001667910152998481,0.008351135641775923,NA,NA,NA,NA,0,NA,NA,NA
D_H_CPT_vs_D_24h,24,B_unadjusted_amplifier_slope,13805,-0.18060454983563232,-0.18566101280258304,-0.17570623543876937,NA,NA,NA,NA,0,NA,NA,NA
D_H_CPT_vs_D_4h,4,B_unadjusted_amplifier_slope,13261,-0.08000918608899325,-0.09070038467941142,-0.06965283840734429,NA,NA,NA,NA,0,NA,NA,NA
D_L_CPT_vs_D_24h,24,B_unadjusted_amplifier_slope,13398,-0.0762500539021847,-0.08302648683396695,-0.06964098938214995,NA,NA,NA,NA,0,NA,NA,NA
D_L_CPT_vs_D_4h,4,B_unadjusted_amplifier_slope,13020,-0.051759119721972766,-0.0582806148322311,-0.04558594499176413,NA,NA,NA,NA,0,NA,NA,NA
D_vs_Ctrl_24h,24,B_unadjusted_amplifier_slope,13178,-0.004229362365509243,-0.007235915588330141,-0.0012233999971599432,NA,NA,NA,NA,0.01,NA,NA,NA
