contrast_id	time_h	numerator	denominator	cpt_level	n_genes	unadjusted_beta_expr	unadjusted_beta_CI_low	unadjusted_beta_CI_high	unadjusted_bootstrap_p	length_adjusted_beta_expr	length_adjusted_beta_CI_low	length_adjusted_beta_CI_high	length_adjusted_bootstrap_p	gamma_length	gamma_length_CI_low	gamma_length_CI_high	gamma_length_bootstrap_p	contrast_label	time_label
DT_H_CPT_vs_D_H_CPT_24h	24	DT_H_CPT	D_H_CPT	high	14109	-0.014373407705824274	-0.018641338555092122	-0.010041054692159077	0	-0.025013992983814046	-0.02939557944228298	-0.02082599578603607	0	0.1835745877490471	0.1684600722069325	0.1975057589470378	0	DT_H_CPT vs D_H_CPT (24 h)	24 h
DT_H_CPT_vs_D_H_CPT_4h	4	DT_H_CPT	D_H_CPT	high	13173	-0.023906115099469924	-0.026052694364418857	-0.021916788768087787	0	-0.025226167231085585	-0.02717665690652539	-0.023126907974538112	0	0.07789093647621333	0.07064150639819398	0.08557373602588794	0	DT_H_CPT vs D_H_CPT (4 h)	4 h
DT_L_CPT_vs_D_L_CPT_24h	24	DT_L_CPT	D_L_CPT	low	13628	-0.07471140712345586	-0.07924587719671056	-0.07026393326609072	0	-0.08010681877542145	-0.08454324754907552	-0.07534337802707139	0	0.1583430588058843	0.1419546771606306	0.17522343991451128	0	DT_L_CPT vs D_L_CPT (24 h)	24 h
DT_L_CPT_vs_D_L_CPT_4h	4	DT_L_CPT	D_L_CPT	low	12938	-0.009530657580300094	-0.012000844880372454	-0.006999921351771623	0	-0.008947645764011258	-0.011726576674273487	-0.006279747962915723	0	0.08452606948471345	0.07608279623509717	0.0929450026269172	0	DT_L_CPT vs D_L_CPT (4 h)	4 h
DT_vs_D_24h	24	DT	D	none	13373	-0.06795566773675746	-0.07134556252122358	-0.06434055022807281	0	-0.0692700807450521	-0.07248911177308807	-0.06606309006155474	0	0.02676755171209656	0.015503992966174905	0.03741951000326615	0	DT vs D (24 h)	24 h
DT_vs_D_4h	4	DT	D	none	12863	0.004883755548444693	0.001667910152998481	0.008351135641775923	0	0.002267151026645722	-9.777197319377575e-4	0.005675238091061973	0.192	0.06932716006005143	0.05870664748865018	0.08013145464148183	0	DT vs D (4 h)	4 h
D_H_CPT_vs_D_24h	24	D_H_CPT	D	high	13805	-0.18060454983563232	-0.18566101280258304	-0.17570623543876937	0	-0.17337090170584687	-0.17862760665316624	-0.16774318351988476	0	-0.11926719100530797	-0.1390913690272471	-0.09958326914126583	0	D_H_CPT vs D (24 h)	24 h
D_H_CPT_vs_D_4h	4	D_H_CPT	D	high	13261	-0.08000918608899325	-0.09070038467941142	-0.06965283840734429	0	-0.06339960906345694	-0.07282560718324059	-0.05377889145250605	0	-0.4179291485320308	-0.44841260437068325	-0.38886339319836055	0	D_H_CPT vs D (4 h)	4 h
D_L_CPT_vs_D_24h	24	D_L_CPT	D	low	13398	-0.0762500539021847	-0.08302648683396695	-0.06964098938214995	0	-0.05818537818416553	-0.06474628437678695	-0.05145145125060202	0	-0.31504260764236663	-0.3382113923442147	-0.2918298324870555	0	D_L_CPT vs D (24 h)	24 h
D_L_CPT_vs_D_4h	4	D_L_CPT	D	low	13020	-0.051759119721972766	-0.0582806148322311	-0.04558594499176413	0	-0.02562774542215111	-0.031106874826457343	-0.02001793783396172	0	-0.6942081707659638	-0.719022284955561	-0.6691901785296105	0	D_L_CPT vs D (4 h)	4 h
D_vs_Ctrl_24h	24	D	Ctrl	none	13178	-0.004229362365509243	-0.007235915588330141	-0.0012233999971599432	0.01	-0.006753986091055458	-0.009918803173116676	-0.003673086189263293	0	0.050111781317301214	0.040605000076597515	0.059522104008454924	0	D vs Ctrl (24 h)	24 h
D_vs_Ctrl_4h	4	D	Ctrl	none	12852	-0.0035886873809286173	-0.005176058593778082	-0.0017789672674042524	0	-4.5574247494812106e-4	-0.0021397458984167956	0.0011900496512415129	0.576	-0.09335774684355208	-0.09862991908264604	-0.0879076842735673	0	D vs Ctrl (4 h)	4 h
Tam_vs_Ctrl_24h	24	Tam	Ctrl	none	13089	0.021309849772344035	0.018755813707548204	0.023807937433157983	0	0.02043781112309946	0.01802483821604191	0.023151957458740522	0	0.0167908275568025	0.008919197664048584	0.024030181654910512	0	Tam vs Ctrl (24 h)	24 h
Tam_vs_Ctrl_4h	4	Tam	Ctrl	none	12853	-0.005291699760998892	-0.007204872598112195	-0.003600516931057954	0	-0.003674427178179787	-0.005481810023804339	-0.0019786639390125147	0	-0.04157578701966732	-0.04719177808771359	-0.036323752277967546	0	Tam vs Ctrl (4 h)	4 h
