contrast_id	time_h	length_tertile	n_genes	beta_expr	beta_expr_CI_low	beta_expr_CI_high	p_value_or_bootstrap_p	contrast_label	time_label
DT_H_CPT_vs_D_H_CPT_24h	24	Short	4910	-0.047994720835511574	-0.055337458717080915	-0.04071751780740128	0	DT_H_CPT vs D_H_CPT (24 h)	24 h
DT_H_CPT_vs_D_H_CPT_24h	24	Medium	4590	-0.013176090134074137	-0.021298542341262265	-0.004992713096729102	0.004	DT_H_CPT vs D_H_CPT (24 h)	24 h
DT_H_CPT_vs_D_H_CPT_24h	24	Long	4609	0.00997732675627	0.003113610109973873	0.017371566286101005	0.004	DT_H_CPT vs D_H_CPT (24 h)	24 h
DT_L_CPT_vs_D_L_CPT_24h	24	Short	4611	-0.0773014607064341	-0.08388937113438094	-0.07118735144746845	0	DT_L_CPT vs D_L_CPT (24 h)	24 h
DT_L_CPT_vs_D_L_CPT_24h	24	Medium	4511	-0.06674718073082309	-0.07501951859628869	-0.058754334223779764	0	DT_L_CPT vs D_L_CPT (24 h)	24 h
DT_L_CPT_vs_D_L_CPT_24h	24	Long	4506	-0.08277444791450367	-0.09269492622242559	-0.07215128811560546	0	DT_L_CPT vs D_L_CPT (24 h)	24 h
DT_vs_D_24h	24	Short	4484	-0.0813449454238689	-0.08627695580834965	-0.07588217698707725	0	DT vs D (24 h)	24 h
DT_vs_D_24h	24	Medium	4432	-0.06481583817193694	-0.07111288104977863	-0.058680390255285625	0	DT vs D (24 h)	24 h
DT_vs_D_24h	24	Long	4457	-0.0536146027549436	-0.06019219020199659	-0.046965422641474255	0	DT vs D (24 h)	24 h
DT_vs_D_4h	4	Short	4155	0.00280571835999857	-0.002665316951544115	0.007849706143236155	0.294	DT vs D (4 h)	4 h
DT_vs_D_4h	4	Medium	4341	-0.001913668438594326	-0.007917421303173872	0.004474368972064314	0.506	DT vs D (4 h)	4 h
DT_vs_D_4h	4	Long	4367	0.006197482365514592	6.629209814527234e-5	0.012769434914774048	0.048	DT vs D (4 h)	4 h
D_H_CPT_vs_D_24h	24	Short	4728	-0.1716194739700738	-0.17992165139874436	-0.16326417209697056	0	D_H_CPT vs D (24 h)	24 h
D_H_CPT_vs_D_24h	24	Medium	4524	-0.18465542843993774	-0.19468301654428433	-0.17347749288911313	0	D_H_CPT vs D (24 h)	24 h
D_H_CPT_vs_D_24h	24	Long	4553	-0.16874776214908274	-0.1786129851547479	-0.15837250197996108	0	D_H_CPT vs D (24 h)	24 h
