gene_core,gene,gene_raw,type,start,stop,strand,score,pval,qval,dist_to_tss,band,updown_group
ENSG00000000457,ENSG00000000457_SCYL3,ENSG00000000457.15_SCYL3(-),TETO,847,865,-,9.92,5.2e-05,1,-145,mid,Neutral
ENSG00000000938,ENSG00000000938_FGR,ENSG00000000938.14_FGR(-),TETO,38,56,-,21.11,3.27e-08,1,-954,,
ENSG00000000938,ENSG00000000938_FGR,ENSG00000000938.14_FGR(-),TETO,38,56,+,11.225,2.69e-05,1,-954,,
ENSG00000001036,ENSG00000001036_FUCA2,ENSG00000001036.15_FUCA2(-),EBOX,1298,1309,+,10.9919,7.15e-05,0.63,302.5,head,Neutral
ENSG00000001036,ENSG00000001036_FUCA2,ENSG00000001036.15_FUCA2(-),TETO,438,456,+,9.725,5.7e-05,1,-554,head,Neutral
ENSG00000001460,ENSG00000001460_STPG1,ENSG00000001460.19_STPG1(-),EBOX,1319,1330,-,15.8293,1.15e-06,0.366,323.5,mid,Neutral
ENSG00000001460,ENSG00000001460_STPG1,ENSG00000001460.19_STPG1(-),EBOX,1319,1330,+,11.6179,4.82e-05,0.63,323.5,mid,Neutral
ENSG00000001617,ENSG00000001617_SEMA3F,ENSG00000001617.13_SEMA3F(+),EBOX,569,580,+,11.3252,5.8e-05,0.63,-426.5,mid,Neutral
ENSG00000001626,ENSG00000001626_CFTR,ENSG00000001626.19_CFTR(+),TETO,1057,1075,-,13.8,5.87e-06,1,65,,
ENSG00000001629,ENSG00000001629_ANKIB1,ENSG00000001629.11_ANKIB1(+),EBOX,811,822,+,11.5854,4.92e-05,0.63,-184.5,mid,Neutral
ENSG00000001630,ENSG00000001630_CYP51A1,ENSG00000001630.19_CYP51A1(-),EBOX,1602,1613,+,10.8049,8.04e-05,0.63,606.5,head,Neutral
ENSG00000001630,ENSG00000001630_CYP51A1,ENSG00000001630.19_CYP51A1(-),EBOX,1293,1304,-,10.5772,9.2e-05,0.63,297.5,head,Neutral
ENSG00000001631,ENSG00000001631_KRIT1,ENSG00000001631.18_KRIT1(-),EBOX,1372,1383,-,11.5854,4.92e-05,0.63,376.5,mid,Neutral
ENSG00000002016,ENSG00000002016_RAD52,ENSG00000002016.19_RAD52(-),TETO,1922,1940,-,9.955,5.12e-05,1,930,mid,Neutral
ENSG00000002330,ENSG00000002330_BAD,ENSG00000002330.15_BAD(-),EBOX,716,727,+,11.3333,5.76e-05,0.63,-279.5,mid,Neutral
ENSG00000002330,ENSG00000002330_BAD,ENSG00000002330.15_BAD(-),EBOX,828,839,+,10.7236,8.41e-05,0.63,-167.5,mid,Neutral
