gene_key	gene_name	gene_start	gene_end	gene_length_bp	length_source	log10_gene_length
ENSG00000000003	TSPAN6	100627080	100639991	12912	GTF gene span	4.110993517377995
ENSG00000000005	TNMD	100584929	100601108	16180	GTF gene span	4.208978517276254
ENSG00000000419	DPM1	50932897	50959145	26249	GTF gene span	4.419112762875142
ENSG00000000457	SCYL3	169816039	169894267	78229	GTF gene span	4.893367778702401
ENSG00000000460	FIRRM	169662007	169873258	211252	GTF gene span	5.3248008292660005
ENSG00000000938	FGR	27611388	27635565	24178	GTF gene span	4.383420373245697
ENSG00000000971	CFH	196651754	196753075	101322	GTF gene span	5.005703753763508
ENSG00000001036	FUCA2	143493954	143511842	17889	GTF gene span	4.252586064065402
ENSG00000001084	GCLC	53497341	53616970	119630	GTF gene span	5.077840102734994
ENSG00000001167	NFYA	41072040	41103063	31024	GTF gene span	4.49169779173463
ENSG00000001460	STPG1	24355830	24416934	61105	GTF gene span	4.786076748435112
ENSG00000001461	NIPAL3	24413515	24476735	63221	GTF gene span	4.800861361023446
ENSG00000001497	LAS1L	65438549	65534818	96270	GTF gene span	4.983490971815167
ENSG00000001561	ENPP4	46129959	46152554	22596	GTF gene span	4.35403156606429
ENSG00000001617	SEMA3F	50155012	50189075	34064	GTF gene span	4.532295644094248
ENSG00000001626	CFTR	117287120	117715971	428852	GTF gene span	5.632307439800026
ENSG00000001629	ANKIB1	92245960	92402070	156111	GTF gene span	5.193433505695271
ENSG00000001630	CYP51A1	92084502	92134803	50302	GTF gene span	4.701585252882888
ENSG00000001631	KRIT1	92197498	92246166	48669	GTF gene span	4.687252422903798
ENSG00000002016	RAD52	910870	990053	79184	GTF gene span	4.898637436467081
ENSG00000002330	BAD	64269828	64291946	22119	GTF gene span	4.344765488622761
ENSG00000002549	LAP3	17577167	17608089	30923	GTF gene span	4.490281620441758
ENSG00000002586	CD99	2690988	2741312	50325	GTF gene span	4.701783783560692
ENSG00000002587	HS3ST1	11393150	11429564	36415	GTF gene span	4.561280314290289
ENSG00000002726	AOC1	150824627	150872465	47839	GTF gene span	4.679782092823561
ENSG00000002745	WNT16	121325367	121341252	15886	GTF gene span	4.201014558213372
ENSG00000002746	HECW1	43112629	43566001	453373	GTF gene span	5.656455652755285
ENSG00000002822	MAD1L1	1815787	2233243	417457	GTF gene span	5.620611747784945
ENSG00000002834	LASP1	38869185	38921771	52587	GTF gene span	4.720878395749592
ENSG00000002919	SNX11	48103357	48128226	24870	GTF gene span	4.395675785269936
ENSG00000002933	TMEM176A	150799598	150805122	5525	GTF gene span	3.742332282357148
ENSG00000003056	M6PR	8940358	8951856	11499	GTF gene span	4.060660073974015
ENSG00000003096	KLHL13	117897794	118117340	219547	GTF gene span	5.341527507063967
ENSG00000003137	CYP26B1	72129238	72148430	19193	GTF gene span	4.283142863303242
ENSG00000003147	ICA1	8113181	8262693	149513	GTF gene span	5.174678955756155
ENSG00000003249	DBNDD1	90004648	90019890	15243	GTF gene span	4.183070449629958
ENSG00000003393	ALS2	201700267	201782112	81846	GTF gene span	4.912997459308414
ENSG00000003400	CASP10	201182693	201229428	46736	GTF gene span	4.669651539629474
ENSG00000003402	CFLAR	201116005	201176687	60683	GTF gene span	4.78306704296571
ENSG00000003436	TFPI	187463823	187565846	102024	GTF gene span	5.008702346678729
ENSG00000003509	NDUFAF7	37231628	37271420	39793	GTF gene span	4.599806681904171
ENSG00000003756	RBM5	50088898	50119021	30124	GTF gene span	4.478912638929306
ENSG00000003987	MTMR7	17294951	17413528	118578	GTF gene span	5.074004121027592
ENSG00000003989	SLC7A2	17496975	17570573	73599	GTF gene span	4.866871913557168
ENSG00000004059	ARF5	127588359	127591705	3347	GTF gene span	3.5246557123577773
ENSG00000004139	SARM1	28364356	28404049	39694	GTF gene span	4.598724865357054
ENSG00000004142	POLDIP2	28343133	28357623	14491	GTF gene span	4.161098356450925
ENSG00000004399	PLXND1	129555213	129606826	51614	GTF gene span	4.712767517481338
ENSG00000004455	AK2	33006560	33080996	74437	GTF gene span	4.8717888616416944
ENSG00000004468	CD38	15778275	15853232	74958	GTF gene span	4.874817990359026
ENSG00000004478	FKBP4	2794290	2806410	12121	GTF gene span	4.083538451230139
ENSG00000004487	KDM1A	23019395	23083704	64310	GTF gene span	4.808278509582768
ENSG00000004534	RBM6	49940007	50100045	160039	GTF gene span	5.204225829036385
ENSG00000004660	CAMKK1	3860315	3894891	34577	GTF gene span	4.53878730993371
ENSG00000004700	RECQL	21464720	21501669	36950	GTF gene span	4.567614442730845
ENSG00000004766	VPS50	93232340	93361123	128784	GTF gene span	5.109861910047527
ENSG00000004776	HSPB6	35754566	35758079	3514	GTF gene span	3.545801757159276
ENSG00000004777	ARHGAP33	35774532	35788822	14291	GTF gene span	4.155062619223921
ENSG00000004779	NDUFAB1	23580952	23596328	15377	GTF gene span	4.186871614364535
ENSG00000004799	PDK4	95583497	95597638	14142	GTF gene span	4.150510832907967
ENSG00000004809	SLC22A16	110424687	110476681	51995	GTF gene span	4.715961582542223
ENSG00000004838	ZMYND10	50341110	50345746	4637	GTF gene span	3.6662370958958044
ENSG00000004846	ABCB5	20615667	20777038	161372	GTF gene span	5.2078281815607275
ENSG00000004848	ARX	25003694	25016420	12727	GTF gene span	4.104726044109975
ENSG00000004864	SLC25A13	96120218	96322181	201964	GTF gene span	5.305273963532286
ENSG00000004866	ST7	116952980	117230812	277833	GTF gene span	5.4437838283948805
ENSG00000004897	CDC27	47117703	47189422	71720	GTF gene span	4.855640280890145
ENSG00000004939	SLC4A1	44248390	44268162	19773	GTF gene span	4.296072566359835
ENSG00000004948	CALCR	93424486	93575738	151253	GTF gene span	5.179703997344505
ENSG00000004961	HCCS	11111299	11123086	11788	GTF gene span	4.071440127177888
ENSG00000004975	DVL2	7225338	7234538	9201	GTF gene span	3.963835030702148
ENSG00000005001	PRSS22	2852728	2858677	5950	GTF gene span	3.7745169657285498
ENSG00000005007	UPF1	18831905	18868232	36328	GTF gene span	4.560241488892911
ENSG00000005020	SKAP2	26667003	26995239	328237	GTF gene span	5.516187534639457
ENSG00000005022	SLC25A5	119468395	119472949	4555	GTF gene span	3.658488381309017
ENSG00000005059	MCUB	109560209	109688799	128591	GTF gene span	5.109210573665063
ENSG00000005073	HOXA11	27181157	27185253	4097	GTF gene span	3.6124659639531425
ENSG00000005075	POLR2J	102473110	102478936	5827	GTF gene span	3.76544501809015
ENSG00000005100	DHX33	5440917	5469031	28115	GTF gene span	4.448938087845422
