ensg	lfcA	lfcB	band	EBOX	TETO	motif_class	dd
ENSG00000000003	-0.0267372042217371	-0.132909012990886	mid	FALSE	FALSE	None	0.106171808769149
ENSG00000000419	0.300512199743901	-0.0209526921568468	mid	FALSE	FALSE	None	0.321464891900748
ENSG00000000457	-0.454943583123514	-0.140867731661428	mid	FALSE	TRUE	TETO	-0.314075851462086
ENSG00000000460	0.649678996893917	-0.117543942421756	mid	FALSE	FALSE	None	0.767222939315673
ENSG00000000971	-0.49777534019029	-0.457293632808153	mid	FALSE	FALSE	None	-0.040481707382137
ENSG00000001036	0.185190024846598	0.0683040482629878	head	TRUE	TRUE	Both	0.11688597658361
ENSG00000001084	-0.14393536992454	-0.0469362221350167	head	FALSE	FALSE	None	-0.0969991477895233
ENSG00000001167	0.239110937266119	0.11080981344721	mid	FALSE	FALSE	None	0.128301123818909
ENSG00000001460	-0.244131617384686	-0.297586512809173	mid	TRUE	FALSE	EBOX	0.053454895424487
ENSG00000001461	-0.19318016362754	0.05754925155113	mid	FALSE	FALSE	None	-0.25072941517867
ENSG00000001497	0.384745274516749	0.19397597263862	mid	FALSE	FALSE	None	0.190769301878129
ENSG00000001561	-0.461693028703309	0.0363812160536741	mid	FALSE	FALSE	None	-0.498074244756983
ENSG00000001617	-0.602915809076771	-0.0796851898801414	mid	TRUE	FALSE	EBOX	-0.52323061919663
ENSG00000001629	0.0454336145403342	0.0107272393346349	mid	TRUE	FALSE	EBOX	0.0347063752056993
ENSG00000001630	0.252374056784182	-0.12854659781938	head	TRUE	FALSE	EBOX	0.380920654603562
ENSG00000001631	0.0500241145022891	-0.0625957089840039	mid	TRUE	FALSE	EBOX	0.112619823486293
ENSG00000002016	-0.0292227387481425	0.203484488943056	mid	FALSE	TRUE	TETO	-0.232707227691199
ENSG00000002330	-0.326576465020597	-0.0965768208390259	mid	TRUE	FALSE	EBOX	-0.229999644181571
ENSG00000002549	0.01518765640167	-0.016407843081339	mid	TRUE	FALSE	EBOX	0.031595499483009
