contrast_id	gene_id	gene_key	baseline_expression	spread_i	n_methods	gene_name	gene_start	gene_end	gene_length_bp	length_source	log10_gene_length	baseline_rank_pct	baseline_bin	head_indicator	time_bin
DT_vs_D_24h	ENSG00000000003_TSPAN6	ENSG00000000003	4.700385499684868	0.2994751878456181	6	TSPAN6	100627080	100639991	12912	GTF gene span	4.110993517377995	0.5856443719412724	Non-head	0	Late
DT_vs_D_24h	ENSG00000000419_DPM1	ENSG00000000419	4.670602902339255	0.1306961154476698	6	DPM1	50932897	50959145	26249	GTF gene span	4.419112762875142	0.5809251922628758	Non-head	0	Late
DT_vs_D_24h	ENSG00000000457_SCYL3	ENSG00000000457	4.243353470936297	0.5587709886715881	6	SCYL3	169816039	169894267	78229	GTF gene span	4.893367778702401	0.5219645770216733	Non-head	0	Late
DT_vs_D_24h	ENSG00000000460_C1orf112	ENSG00000000460	4.255469589315302	0.11052894438015057	6	FIRRM	169662007	169873258	211252	GTF gene span	5.3248008292660005	0.52342111395945	Non-head	0	Late
DT_vs_D_24h	ENSG00000000971_CFH	ENSG00000000971	3.260926793566615	0.19565961046818647	6	CFH	196651754	196753075	101322	GTF gene span	5.005703753763508	0.41959916103472383	Non-head	0	Late
DT_vs_D_24h	ENSG00000001036_FUCA2	ENSG00000001036	6.777585406264626	0.2378750354133392	6	FUCA2	143493954	143511842	17889	GTF gene span	4.252586064065402	0.8939641109298532	Non-head	0	Late
DT_vs_D_24h	ENSG00000001084_GCLC	ENSG00000001084	6.899155604419004	0.07917642658226476	6	GCLC	53497341	53616970	119630	GTF gene span	5.077840102734994	0.905558144954556	Head	1	Late
DT_vs_D_24h	ENSG00000001167_NFYA	ENSG00000001167	4.913776928542765	0.14359399500319892	6	NFYA	41072040	41103063	31024	GTF gene span	4.49169779173463	0.6186786296900489	Non-head	0	Late
DT_vs_D_24h	ENSG00000001460_STPG1	ENSG00000001460	3.0531540887884754	0.5844306203077125	6	STPG1	24355830	24416934	61105	GTF gene span	4.786076748435112	0.4025868096014915	Non-head	0	Late
DT_vs_D_24h	ENSG00000001461_NIPAL3	ENSG00000001461	6.786523412256949	0.08880586253544603	6	NIPAL3	24413515	24476735	63221	GTF gene span	4.800861361023446	0.8947797716150081	Non-head	0	Late
DT_vs_D_24h	ENSG00000001497_LAS1L	ENSG00000001497	5.346042549210501	0.4951674561672901	6	LAS1L	65438549	65534818	96270	GTF gene span	4.983490971815167	0.6871358657655559	Non-head	0	Late
DT_vs_D_24h	ENSG00000001561_ENPP4	ENSG00000001561	2.540889045014758	0.4692270528679281	6	ENPP4	46129959	46152554	22596	GTF gene span	4.35403156606429	0.36943602889769284	Non-head	0	Late
DT_vs_D_24h	ENSG00000001617_SEMA3F	ENSG00000001617	5.859947849041875	0.4310800253000727	6	SEMA3F	50155012	50189075	34064	GTF gene span	4.532295644094248	0.7699254253087858	Non-head	0	Late
DT_vs_D_24h	ENSG00000001629_ANKIB1	ENSG00000001629	6.584832626786575	0.6255509653370425	6	ANKIB1	92245960	92402070	156111	GTF gene span	5.193433505695271	0.8733395478909345	Non-head	0	Late
DT_vs_D_24h	ENSG00000001630_CYP51A1	ENSG00000001630	7.372620506373147	0.21163687921628327	6	CYP51A1	92084502	92134803	50302	GTF gene span	4.701585252882888	0.9403402470286647	Head	1	Late
DT_vs_D_24h	ENSG00000001631_KRIT1	ENSG00000001631	5.484887532948571	0.3515662945844178	6	KRIT1	92197498	92246166	48669	GTF gene span	4.687252422903798	0.7100908879049173	Non-head	0	Late
DT_vs_D_24h	ENSG00000002016_RAD52	ENSG00000002016	4.066324871628286	0.1576308211518489	6	RAD52	910870	990053	79184	GTF gene span	4.898637436467081	0.4990095548823118	Non-head	0	Late
DT_vs_D_24h	ENSG00000002330_BAD	ENSG00000002330	4.610330632101951	0.11031244211930313	6	BAD	64269828	64291946	22119	GTF gene span	4.344765488622761	0.5720111862036821	Non-head	0	Late
